bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Gardner,"Bellerive Oval, Hobart",T20I,2,48,53.0,3,17,6.62,17.67,35.42
A Gardner,"Boland Park, Paarl",T20I,1,18,12.0,5,12,4.0,2.4,66.67
A Gardner,Brabourne Stadium,T20I,5,66,79.0,6,20,7.18,13.17,30.3
A Gardner,"Brabourne Stadium, Mumbai",T20I,3,66,61.0,6,33,5.55,10.17,50.0
A Gardner,"Bready Cricket Club, Magheramason, Bready",T20I,4,72,59.0,3,32,4.92,19.67,44.44
A Gardner,Carrara Oval,T20I,3,66,62.0,6,27,5.64,10.33,40.91
A Gardner,Carrara Oval,Test,1,240,83.0,2,194,2.08,41.5,80.83
A Gardner,"Castle Avenue, Dublin",ODI,2,96,59.0,4,60,3.69,14.75,62.5
A Gardner,"Coolidge Cricket Ground, Antigua",ODI,1,30,13.0,1,23,2.6,13.0,76.67
A Gardner,County Ground,ODI,7,390,269.0,5,226,4.14,53.8,57.95
A Gardner,County Ground,T20I,1,12,16.0,2,2,8.0,8.0,16.67
A Gardner,"County Ground, Bristol",ODI,1,60,42.0,3,34,4.2,14.0,56.67
A Gardner,"Dr DY Patil Sports Academy, Mumbai",T20I,5,114,164.0,3,46,8.63,54.67,40.35
A Gardner,"Dr DY Patil Sports Academy, Navi Mumbai",ODI,1,48,55.0,1,18,6.88,55.0,37.5
A Gardner,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",ODI,2,96,88.0,3,55,5.5,29.33,57.29
A Gardner,Dubai International Cricket Stadium,T20I,2,42,47.0,4,20,6.71,11.75,47.62
A Gardner,"Eden Park, Auckland",ODI,1,36,34.0,0,24,5.67,34.0,66.67
A Gardner,"Eden Park, Auckland",T20I,1,14,14.0,0,7,6.0,14.0,50.0
A Gardner,"Edgbaston, Birmingham",T20I,6,108,90.0,7,55,5.0,12.86,50.93
A Gardner,Grace Road,ODI,3,144,91.0,7,86,3.79,13.0,59.72
A Gardner,"Great Barrier Reef Arena, Mackay",T20I,1,24,16.0,3,12,4.0,5.33,50.0
A Gardner,"Hagley Oval, Christchurch",ODI,1,12,15.0,1,3,7.5,15.0,25.0
A Gardner,"Headingley, Leeds",T20I,1,12,17.0,0,5,8.5,17.0,41.67
A Gardner,"Holkar Cricket Stadium, Indore",ODI,3,114,105.0,3,55,5.53,35.0,48.25
A Gardner,Junction Oval,ODI,1,54,49.0,3,25,5.44,16.33,46.3
A Gardner,Junction Oval,T20I,3,40,67.0,0,8,10.05,67.0,20.0
A Gardner,"Junction Oval, Melbourne",ODI,2,81,36.0,2,58,2.67,18.0,71.6
A Gardner,Karen Rolton Oval,ODI,1,36,29.0,0,20,4.83,29.0,55.56
