bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
GC Smith,Buffalo Park,ODI,1,12,17.0,0,3,8.5,17.0,25.0
GC Smith,"Buffalo Park, East London",ODI,1,6,10.0,0,2,10.0,10.0,33.33
GC Smith,Docklands Stadium,ODI,2,84,74.0,3,33,5.29,24.67,39.29
GC Smith,Eden Gardens,Test,1,42,16.0,0,32,2.29,16.0,76.19
GC Smith,Eden Park,Test,1,30,19.0,1,17,3.8,19.0,56.67
GC Smith,"Gaddafi Stadium, Lahore",Test,1,79,27.0,1,61,2.05,27.0,77.22
GC Smith,"Iqbal Stadium, Faisalabad",Test,1,30,37.0,0,15,7.4,37.0,50.0
GC Smith,Kensington Oval,Test,1,60,31.0,0,35,3.1,31.0,58.33
GC Smith,Kingsmead,ODI,2,54,59.0,1,21,6.56,59.0,38.89
GC Smith,Mangaung Oval,ODI,1,12,10.0,0,5,5.0,10.0,41.67
GC Smith,Melbourne Cricket Ground,Test,1,45,41.0,1,24,5.47,41.0,53.33
GC Smith,"National Cricket Stadium, St George's",ODI,1,30,56.0,2,8,11.2,28.0,26.67
GC Smith,National Stadium,Test,1,54,51.0,0,32,5.67,51.0,59.26
GC Smith,New Wanderers Stadium,ODI,1,24,29.0,0,5,7.25,29.0,20.83
GC Smith,New Wanderers Stadium,T20I,3,26,57.0,0,5,13.15,57.0,19.23
GC Smith,"New Wanderers Stadium, Johannesburg",Test,1,24,17.0,0,14,4.25,17.0,58.33
GC Smith,Newlands,ODI,1,12,10.0,0,6,5.0,10.0,50.0
GC Smith,Newlands,Test,4,150,106.0,1,90,4.24,106.0,60.0
GC Smith,Providence Stadium,ODI,3,42,37.0,1,16,5.29,37.0,38.1
GC Smith,"Queen's Park Oval, Port of Spain",Test,1,3,4.0,0,2,8.0,4.0,66.67
GC Smith,"Sabina Park, Kingston",ODI,1,6,7.0,0,1,7.0,7.0,16.67
GC Smith,Sawai Mansingh Stadium,ODI,1,60,43.0,1,33,4.3,43.0,55.0
GC Smith,Sinhalese Sports Club,ODI,1,42,48.0,1,17,6.86,48.0,40.48
GC Smith,St George's Park,ODI,4,72,56.0,0,28,4.67,56.0,38.89
GC Smith,St George's Park,Test,1,6,10.0,0,2,10.0,10.0,33.33
GC Smith,SuperSport Park,ODI,3,34,36.0,1,13,6.35,36.0,38.24
GC Smith,SuperSport Park,Test,2,60,50.0,0,37,5.0,50.0,61.67
GC Smith,Sydney Cricket Ground,ODI,1,60,52.0,1,20,5.2,52.0,33.33
GC Smith,The Wanderers Stadium,Test,1,18,26.0,0,8,8.67,26.0,44.44
GC Smith,"Warner Park, Basseterre",ODI,3,78,59.0,2,42,4.54,29.5,53.85
GC Smith,Western Australia Cricket Association Ground,ODI,1,60,30.0,4,40,3.0,7.5,66.67
GC Tonge,New Wanderers Stadium,ODI,3,182,116.0,6,122,3.82,19.33,67.03
GC Tonge,"Warner Park, Basseterre",ODI,1,60,59.0,0,27,5.9,59.0,45.0
GC Tonge,"Warner Park, Basseterre",T20I,1,24,25.0,1,11,6.25,25.0,45.83
GC Tonge,Western Australia Cricket Association Ground,Test,1,176,113.0,1,119,3.85,113.0,67.61
GC Tonge,"Windsor Park, Roseau",ODI,1,60,49.0,0,22,4.9,49.0,36.67
GC Viljoen,Arun Jaitley Stadium,IPL,1,48,78.0,6,14,9.75,13.0,29.17
GC Viljoen,Dubai International Cricket Stadium,PSL,4,78,116.0,4,27,8.92,29.0,34.62
GC Viljoen,Eden Gardens,IPL,1,24,36.0,1,11,9.0,36.0,45.83
GC Viljoen,M.Chinnaswamy Stadium,IPL,1,48,102.0,2,12,12.75,51.0,25.0
GC Viljoen,National Stadium,PSL,1,12,23.0,0,3,11.5,23.0,25.0
GC Viljoen,New Wanderers Stadium,Test,1,116,94.0,1,76,4.86,94.0,65.52
GC Viljoen,Punjab Cricket Association IS Bindra Stadium,IPL,2,42,62.0,3,17,8.86,20.67,40.48
GC Viljoen,Wankhede Stadium,IPL,1,48,68.0,0,12,8.5,68.0,25.0
GD Arta,"Bayuemas Oval, Kuala Lumpur",T20I,3,54,62.0,3,27,6.89,20.67,50.0
GD Arta,Gelephu International Cricket Ground,T20I,5,103,105.0,4,61,6.12,26.25,59.22
GD Arta,Sano International Cricket Ground,T20I,6,108,140.0,3,40,7.78,46.67,37.04
GD Arta,Singapore National Cricket Ground,T20I,3,60,72.0,5,30,7.2,14.4,50.0
GD Arta,"Terdthai Cricket Ground, Bangkok",T20I,5,72,77.0,5,31,6.42,15.4,43.06
GD Arta,Udayana Cricket Ground,T20I,28,504,469.0,30,261,5.58,15.63,51.79
GD Arta,"Yeonhui Cricket Ground, Incheon",T20I,1,12,11.0,0,4,5.5,11.0,33.33
GD Drummond,Cambusdoon New Ground,ODI,1,43,39.0,1,25,5.44,39.0,58.14
GD Drummond,"Civil Service Cricket Club, Stormont",T20I,2,42,36.0,1,23,5.14,36.0,54.76
GD Drummond,Clontarf Cricket Club Ground,ODI,2,59,44.0,1,42,4.47,44.0,71.19
GD Drummond,Dubai International Cricket Stadium,T20I,2,42,56.0,1,14,8.0,56.0,33.33
GD Drummond,Kennington Oval,T20I,2,38,65.0,3,9,10.26,21.67,23.68
GD Drummond,Mannofield Park,ODI,1,54,46.0,0,26,5.11,46.0,48.15
GD Elliott,AMI Stadium,ODI,1,42,60.0,1,10,8.57,60.0,23.81
GD Elliott,Adelaide Oval,ODI,1,54,47.0,1,23,5.22,47.0,42.59
GD Elliott,Basin Reserve,ODI,1,60,43.0,3,30,4.3,14.33,50.0
GD Elliott,Basin Reserve,Test,1,30,8.0,2,25,1.6,4.0,83.33
GD Elliott,Bay Oval,T20I,1,12,18.0,2,3,9.0,9.0,25.0
GD Elliott,Boland Park,ODI,1,6,4.0,0,3,4.0,4.0,50.0
GD Elliott,"Brisbane Cricket Ground, Woolloongabba",ODI,1,12,8.0,0,5,4.0,8.0,41.67
GD Elliott,"Brisbane Cricket Ground, Woolloongabba",Test,1,96,44.0,1,76,2.75,44.0,79.17
GD Elliott,County Ground,ODI,1,32,9.0,2,26,1.69,4.5,81.25
GD Elliott,De Beers Diamond Oval,ODI,1,25,23.0,0,9,5.52,23.0,36.0
GD Elliott,Dubai International Cricket Stadium,PSL,8,114,153.0,9,40,8.05,17.0,35.09
GD Elliott,Eden Gardens,T20I,1,24,12.0,3,17,3.0,4.0,70.83
GD Elliott,Eden Park,ODI,3,72,71.0,1,32,5.92,71.0,44.44
GD Elliott,Eden Park,T20I,1,24,22.0,4,8,5.5,5.5,33.33
GD Elliott,Edgbaston,ODI,2,60,80.0,5,25,8.0,16.0,41.67
GD Elliott,Feroz Shah Kotla,T20I,1,18,21.0,0,5,7.0,21.0,27.78
GD Elliott,Gaddafi Stadium,T20I,1,12,17.0,0,1,8.5,17.0,8.33
GD Elliott,Hagley Oval,ODI,1,12,11.0,0,4,5.5,11.0,33.33
GD Elliott,Harare Sports Club,ODI,3,84,70.0,2,42,5.0,35.0,50.0
GD Elliott,Harare Sports Club,T20I,1,6,7.0,1,4,7.0,7.0,66.67
GD Elliott,Himachal Pradesh Cricket Association Stadium,T20I,1,12,17.0,1,3,8.5,17.0,25.0
GD Elliott,Kennington Oval,ODI,2,18,21.0,0,6,7.0,21.0,33.33
GD Elliott,Kingsmead,ODI,1,60,41.0,2,33,4.1,20.5,55.0
GD Elliott,Kingsmead,T20I,1,6,12.0,0,1,12.0,12.0,16.67
GD Elliott,"MA Chidambaram Stadium, Chepauk",ODI,1,25,27.0,0,15,6.48,27.0,60.0
GD Elliott,McLean Park,ODI,2,36,55.0,3,11,9.17,18.33,30.56
GD Elliott,McLean Park,Test,1,144,85.0,1,110,3.54,85.0,76.39
GD Elliott,Melbourne Cricket Ground,ODI,1,12,8.0,0,6,4.0,8.0,50.0
GD Elliott,Nehru Stadium,ODI,1,30,24.0,0,14,4.8,24.0,46.67
GD Elliott,New Wanderers Stadium,ODI,2,60,38.0,4,35,3.8,9.5,58.33
GD Elliott,"Punjab Cricket Association IS Bindra Stadium, Mohali",T20I,1,12,16.0,0,1,8.0,16.0,8.33
GD Elliott,R Premadasa Stadium,ODI,1,12,9.0,0,7,4.5,9.0,58.33
GD Elliott,Riverside Ground,ODI,1,6,16.0,0,2,16.0,16.0,33.33
GD Elliott,Saxton Oval,ODI,1,18,19.0,0,10,6.33,19.0,55.56
GD Elliott,Seddon Park,ODI,4,60,68.0,2,24,6.8,34.0,40.0
GD Elliott,Seddon Park,T20I,2,30,56.0,1,4,11.2,56.0,13.33
GD Elliott,Senwes Park,ODI,2,60,39.0,1,29,3.9,39.0,48.33
GD Elliott,Sharjah Cricket Stadium,PSL,5,90,96.0,7,25,6.4,13.71,27.78
GD Elliott,Shere Bangla National Stadium,ODI,4,78,57.0,3,48,4.38,19.0,61.54
GD Elliott,SuperSport Park,ODI,3,36,34.0,0,15,5.67,34.0,41.67
GD Elliott,SuperSport Park,T20I,1,6,10.0,0,0,10.0,10.0,0.0
GD Elliott,Sydney Cricket Ground,ODI,1,48,44.0,2,25,5.5,22.0,52.08
GD Elliott,Sydney Cricket Ground,T20I,1,6,11.0,1,1,11.0,11.0,16.67
GD Elliott,The Rose Bowl,ODI,2,24,30.0,1,9,7.5,30.0,37.5
GD Elliott,University Oval,ODI,3,78,65.0,2,31,5.0,32.5,39.74
GD Elliott,University Oval,Test,1,12,3.0,0,9,1.5,3.0,75.0
GD Elliott,"Vidarbha Cricket Association Stadium, Jamtha",T20I,1,12,9.0,0,5,4.5,9.0,41.67
GD Elliott,Westpac Stadium,ODI,4,81,79.0,3,37,5.85,26.33,45.68
GD Elliott,Westpac Stadium,T20I,1,12,7.0,3,6,3.5,2.33,50.0
GD McGrath,AMI Stadium,Test,1,336,134.0,7,279,2.39,19.14,83.04
GD McGrath,Adelaide Oval,ODI,2,99,44.0,2,69,2.67,22.0,69.7
GD McGrath,Adelaide Oval,Test,2,438,220.0,8,336,3.01,27.5,76.71
GD McGrath,"Antigua Recreation Ground, St John's, Antigua",Test,1,255,94.0,3,211,2.21,31.33,82.75
GD McGrath,Basin Reserve,ODI,1,60,48.0,3,33,4.8,16.0,55.0
GD McGrath,Basin Reserve,Test,1,121,60.0,4,98,2.98,15.0,80.99
GD McGrath,"Beausejour Stadium, Gros Islet",ODI,1,48,18.0,3,38,2.25,6.0,79.17
GD McGrath,Bellerive Oval,Test,1,289,60.0,6,254,1.25,10.0,87.89
GD McGrath,"Bellerive Oval, Hobart",ODI,1,45,31.0,0,31,4.13,31.0,68.89
GD McGrath,Brabourne Stadium,ODI,2,90,66.0,3,63,4.4,22.0,70.0
GD McGrath,Brisbane Cricket Ground,Test,1,215,86.0,3,173,2.4,28.67,80.47
GD McGrath,"Brisbane Cricket Ground, Woolloongabba",ODI,2,102,59.0,5,74,3.47,11.8,72.55
GD McGrath,"Brisbane Cricket Ground, Woolloongabba",Test,1,257,103.0,7,211,2.4,14.71,82.1
GD McGrath,"Brisbane Cricket Ground, Woolloongabba, Brisbane",ODI,1,60,33.0,1,42,3.3,33.0,70.0
GD McGrath,Docklands Stadium,ODI,2,91,61.0,2,62,4.02,30.5,68.13
GD McGrath,Dr DY Patil Sports Academy,IPL,1,24,26.0,0,11,6.5,26.0,45.83
GD McGrath,Eden Gardens,IPL,1,24,22.0,0,10,5.5,22.0,41.67
GD McGrath,Eden Park,ODI,1,58,53.0,0,29,5.48,53.0,50.0
GD McGrath,Eden Park,T20I,1,24,48.0,2,5,12.0,24.0,20.83
GD McGrath,Edgbaston,ODI,2,67,70.0,1,37,6.27,70.0,55.22
GD McGrath,Feroz Shah Kotla,IPL,6,133,172.0,9,58,7.76,19.11,43.61
GD McGrath,Harare Sports Club,ODI,3,156,87.0,1,118,3.35,87.0,75.64
GD McGrath,Kennington Oval,ODI,2,120,79.0,3,78,3.95,26.33,65.0
GD McGrath,"Kennington Oval, London",Test,1,319,157.0,5,241,2.95,31.4,75.55
GD McGrath,"Kensington Oval, Bridgetown",ODI,2,84,48.0,5,56,3.43,9.6,66.67
GD McGrath,"Kingsmead, Durban",ODI,1,60,32.0,0,40,3.2,32.0,66.67
GD McGrath,Kinrara Academy Oval,ODI,3,104,41.0,0,80,2.37,41.0,76.92
GD McGrath,Lord's,ODI,1,61,25.0,4,45,2.46,6.25,73.77
GD McGrath,"Lord's, London",Test,1,211,82.0,9,172,2.33,9.11,81.52
GD McGrath,M Chinnaswamy Stadium,IPL,1,24,15.0,2,16,3.75,7.5,66.67
GD McGrath,MA Chidambaram Stadium,Test,1,165,92.0,0,122,3.35,92.0,73.94
GD McGrath,"MA Chidambaram Stadium, Chepauk",IPL,1,24,21.0,1,11,5.25,21.0,45.83
GD McGrath,"Marrara Cricket Ground, Darwin",Test,1,139,45.0,4,115,1.94,11.25,82.73
GD McGrath,Melbourne Cricket Ground,ODI,3,181,127.0,6,104,4.21,21.17,57.46
GD McGrath,Melbourne Cricket Ground,Test,3,660,249.0,8,552,2.26,31.12,83.64
GD McGrath,"National Cricket Stadium, St George's",ODI,2,80,73.0,4,46,5.48,18.25,57.5
GD McGrath,"New Wanderers Stadium, Johannesburg",ODI,2,110,91.0,4,72,4.96,22.75,65.45
GD McGrath,"North West Cricket Stadium, Potchefstroom",ODI,1,42,15.0,7,38,2.14,2.14,90.48
GD McGrath,Old Trafford,ODI,1,36,19.0,0,26,3.17,19.0,72.22
GD McGrath,"Punjab Cricket Association Stadium, Mohali",IPL,1,24,29.0,1,12,7.25,29.0,50.0
GD McGrath,"Punjab Cricket Association Stadium, Mohali",ODI,2,120,56.0,5,85,2.8,11.2,70.83
GD McGrath,"Queen's Park (New), St George's, Grenada",ODI,1,36,29.0,0,24,4.83,29.0,66.67
GD McGrath,"Queens Sports Club, Bulawayo",ODI,1,54,24.0,2,36,2.67,12.0,66.67
GD McGrath,"Rajiv Gandhi International Stadium, Uppal",IPL,1,24,22.0,0,16,5.5,22.0,66.67
GD McGrath,Riverside Ground,ODI,1,61,31.0,2,42,3.05,15.5,68.85
GD McGrath,"Sabina Park, Kingston, Jamaica",ODI,1,48,34.0,1,30,4.25,34.0,62.5
GD McGrath,Sawai Mansingh Stadium,IPL,1,24,12.0,1,16,3.0,12.0,66.67
GD McGrath,Sawai Mansingh Stadium,ODI,1,55,36.0,2,33,3.93,18.0,60.0
GD McGrath,"Sir Vivian Richards Stadium, North Sound",ODI,3,137,109.0,9,83,4.77,12.11,60.58
GD McGrath,Sophia Gardens,ODI,1,62,43.0,0,41,4.16,43.0,66.13
GD McGrath,"St George's Park, Port Elizabeth",ODI,3,132,90.0,5,95,4.09,18.0,71.97
GD McGrath,"SuperSport Park, Centurion",ODI,2,106,48.0,3,83,2.72,16.0,78.3
GD McGrath,Sydney Cricket Ground,ODI,5,285,161.0,13,200,3.39,12.38,70.18
GD McGrath,Sydney Cricket Ground,Test,3,706,273.0,13,594,2.32,21.0,84.14
GD McGrath,The Rose Bowl,ODI,1,36,13.0,1,29,2.17,13.0,80.56
GD McGrath,The Rose Bowl,T20I,1,24,31.0,3,10,7.75,10.33,41.67
GD McGrath,W.A.C.A. Ground,ODI,1,54,27.0,2,38,3.0,13.5,70.37
GD McGrath,W.A.C.A. Ground,Test,2,488,177.0,13,407,2.18,13.62,83.4
GD McGrath,Wankhede Stadium,IPL,1,24,38.0,0,12,9.5,38.0,50.0
GD McGrath,Wankhede Stadium,Test,1,168,64.0,3,144,2.29,21.33,85.71
GD McGrath,"Warner Park, Basseterre",ODI,3,139,109.0,6,83,4.71,18.17,59.71
GD McGrath,Western Australia Cricket Association Ground,ODI,2,122,107.0,4,64,5.26,26.75,52.46
GD McGrath,Westpac Stadium,ODI,1,37,23.0,0,24,3.73,23.0,64.86
GD Phillips,"Barsapara Cricket Stadium, Guwahati",T20I,1,6,16.0,0,1,16.0,16.0,16.67
GD Phillips,"Basin Reserve, Wellington",Test,3,258,171.0,7,149,3.98,24.43,57.75
GD Phillips,"Bay Oval, Mount Maunganui",T20I,1,6,14.0,0,0,14.0,14.0,0.0
GD Phillips,"Bay Oval, Mount Maunganui",Test,2,132,72.0,2,96,3.27,36.0,72.73
GD Phillips,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",T20I,1,24,17.0,2,15,4.25,8.5,62.5
GD Phillips,"Brian Lara Stadium, Tarouba, Trinidad",T20I,1,6,9.0,0,2,9.0,9.0,33.33
GD Phillips,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",T20I,1,6,7.0,0,3,7.0,7.0,50.0
GD Phillips,Dubai International Cricket Stadium,ODI,1,30,31.0,0,8,6.2,31.0,26.67
GD Phillips,Eden Park,T20I,1,9,11.0,1,4,7.33,11.0,44.44
GD Phillips,"Eden Park, Auckland",ODI,1,18,12.0,0,12,4.0,12.0,66.67
GD Phillips,"Gaddafi Stadium, Lahore",ODI,2,36,45.0,3,13,7.5,15.0,36.11
GD Phillips,Galle International Stadium,Test,2,408,243.0,5,252,3.57,48.6,61.76
GD Phillips,"Greenfield International Stadium, Thiruvananthapuram",T20I,1,6,10.0,0,1,10.0,10.0,16.67
GD Phillips,"Hagley Oval, Christchurch",T20I,2,12,19.0,0,1,9.5,19.0,8.33
GD Phillips,"Hagley Oval, Christchurch",Test,2,156,76.0,1,108,2.92,76.0,69.23
GD Phillips,"Himachal Pradesh Cricket Association Stadium, Dharamsala",ODI,2,72,49.0,3,33,4.08,16.33,45.83
GD Phillips,"Holkar Cricket Stadium, Indore",ODI,1,48,54.0,0,16,6.75,54.0,33.33
GD Phillips,"Kennington Oval, London",ODI,1,48,57.0,1,15,7.12,57.0,31.25
GD Phillips,"Kensington Oval, Bridgetown, Barbados",ODI,1,18,34.0,1,5,11.33,34.0,27.78
GD Phillips,"Kotambi Stadium, Vadodara",ODI,1,24,21.0,0,6,5.25,21.0,25.0
GD Phillips,"Lord's, London",ODI,1,18,25.0,0,7,8.33,25.0,38.89
GD Phillips,"M Chinnaswamy Stadium, Bengaluru",ODI,2,36,45.0,0,16,7.5,45.0,44.44
GD Phillips,"M Chinnaswamy Stadium, Bengaluru",Test,1,90,69.0,1,49,4.6,69.0,54.44
GD Phillips,"MA Chidambaram Stadium, Chepauk, Chennai",ODI,1,13,13.0,1,8,6.0,13.0,61.54
GD Phillips,"MA Chidambaram Stadium, Chepauk, Chennai",T20I,2,19,36.0,1,3,11.37,36.0,15.79
GD Phillips,"Maharashtra Cricket Association Stadium, Pune",ODI,1,42,52.0,0,15,7.43,52.0,35.71
GD Phillips,"Maharashtra Cricket Association Stadium, Pune",Test,1,132,86.0,3,79,3.91,28.67,59.85
GD Phillips,McLean Park,T20I,1,18,20.0,1,6,6.67,20.0,33.33
GD Phillips,"Narendra Modi Stadium, Ahmedabad",ODI,1,18,17.0,2,5,5.67,8.5,27.78
GD Phillips,"Narendra Modi Stadium, Ahmedabad",T20I,1,6,5.0,0,2,5.0,5.0,33.33
GD Phillips,"National Stadium, Karachi",ODI,4,138,152.0,2,56,6.61,76.0,40.58
GD Phillips,"Niranjan Shah Stadium, Rajkot",ODI,1,18,13.0,0,8,4.33,13.0,44.44
GD Phillips,Pallekele International Cricket Stadium,ODI,1,54,41.0,1,23,4.56,41.0,42.59
GD Phillips,"R Premadasa Stadium, Colombo",T20I,2,48,64.0,2,16,8.0,32.0,33.33
GD Phillips,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",IPL,2,18,20.0,1,6,6.67,20.0,33.33
GD Phillips,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",ODI,1,12,11.0,0,2,5.5,11.0,16.67
GD Phillips,Rangiri Dambulla International Stadium,ODI,1,24,23.0,0,8,5.75,23.0,33.33
GD Phillips,Rangiri Dambulla International Stadium,T20I,2,23,18.0,4,12,4.7,4.5,52.17
GD Phillips,Rawalpindi Cricket Stadium,ODI,1,12,10.0,0,5,5.0,10.0,41.67
GD Phillips,"Saxton Oval, Nelson",T20I,1,6,12.0,0,0,12.0,12.0,0.0
GD Phillips,Seddon Park,T20I,1,6,5.0,0,3,5.0,5.0,50.0
GD Phillips,"Seddon Park, Hamilton",Test,1,90,50.0,2,59,3.33,25.0,65.56
GD Phillips,Sharjah Cricket Stadium,IPL,1,6,17.0,1,1,17.0,17.0,16.67
GD Phillips,"Shere Bangla National Stadium, Mirpur",Test,1,72,31.0,3,45,2.58,10.33,62.5
GD Phillips,Sky Stadium,T20I,1,12,21.0,0,5,10.5,21.0,41.67
GD Phillips,"Sophia Gardens, Cardiff",ODI,1,24,16.0,0,11,4.0,16.0,45.83
GD Phillips,Sylhet International Cricket Stadium,Test,1,192,100.0,5,137,3.12,20.0,71.35
GD Phillips,"The Rose Bowl, Southampton",ODI,1,12,9.0,0,5,4.5,9.0,41.67
GD Phillips,"The Village, Malahide, Dublin",ODI,3,54,49.0,2,25,5.44,24.5,46.3
GD Phillips,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",T20I,1,6,20.0,0,0,20.0,20.0,0.0
GD Phillips,"Wankhede Stadium, Mumbai",ODI,1,30,33.0,0,11,6.6,33.0,36.67
GD Phillips,"Wankhede Stadium, Mumbai",Test,1,192,126.0,4,115,3.94,31.5,59.9
GD Phillips,"Zayed Cricket Stadium, Abu Dhabi",IPL,1,12,6.0,0,6,3.0,6.0,50.0
GD Phillips,"Zayed Cricket Stadium, Abu Dhabi",T20I,1,6,11.0,0,1,11.0,11.0,16.67
GDR Eranga,National Stadium,T20I,1,18,4.0,2,15,1.33,2.0,83.33
GDR Eranga,Sheikh Zayed Stadium,T20I,3,60,83.0,3,22,8.3,27.67,36.67
GDR Eranga,"White Hill Field, Sandys Parish",T20I,4,92,100.0,5,45,6.52,20.0,48.91
GE Mathurin,"Beausejour Stadium, Gros Islet",T20I,1,25,33.0,1,7,7.92,33.0,28.0
GE Mathurin,Kennington Oval,T20I,1,24,9.0,3,17,2.25,3.0,70.83
GE Mathurin,"Kensington Oval, Bridgetown",T20I,1,12,23.0,1,5,11.5,23.0,41.67
GEF Barnett,Dubai International Cricket Stadium,T20I,1,6,11.0,0,1,11.0,11.0,16.67
GEM Brealey,Koge Cricket Club,T20I,1,24,19.0,1,14,4.75,19.0,58.33
GEM Brealey,Koge Cricket Club 2,T20I,2,31,38.0,0,15,7.35,38.0,48.39
GEM Brealey,Pierre Werner Cricket Ground,T20I,1,6,6.0,0,1,6.0,6.0,16.67
GES Sullivan,"Albert Park 1, Suva",T20I,3,66,62.0,0,37,5.64,62.0,56.06
GES Sullivan,"Albert Park 2, Suva",T20I,2,43,36.0,3,25,5.02,12.0,58.14
GES Sullivan,Udayana Cricket Ground,T20I,3,60,30.0,6,42,3.0,5.0,70.0
GF Cardos,Udayana Cricket Ground,T20I,1,6,12.0,0,0,12.0,12.0,0.0
GF Linde,"Arun Jaitley Stadium, Delhi",T20I,2,42,39.0,2,16,5.57,19.5,38.1
GF Linde,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",IPL,2,60,92.0,2,18,9.2,46.0,30.0
GF Linde,Boland Park,T20I,1,24,27.0,0,10,6.75,27.0,41.67
GF Linde,"Boland Park, Paarl",T20I,1,24,25.0,3,12,6.25,8.33,50.0
GF Linde,"Civil Service Cricket Club, Stormont, Belfast",T20I,1,24,21.0,2,11,5.25,10.5,45.83
GF Linde,"Eden Park, Auckland",T20I,1,18,22.0,0,5,7.33,22.0,27.78
GF Linde,"Gaddafi Stadium, Lahore",PSL,2,24,50.0,0,5,12.5,50.0,20.83
GF Linde,"Gaddafi Stadium, Lahore",T20I,2,36,31.0,0,18,5.17,31.0,50.0
GF Linde,"Hagley Oval, Christchurch",T20I,1,12,11.0,0,5,5.5,11.0,41.67
GF Linde,Harare Sports Club,T20I,5,66,95.0,3,23,8.64,31.67,34.85
GF Linde,"Iqbal Stadium, Faisalabad",ODI,2,60,68.0,1,26,6.8,68.0,43.33
GF Linde,JSCA International Stadium Complex,Test,1,186,133.0,4,120,4.29,33.25,64.52
GF Linde,"Kingsmead, Durban",T20I,1,24,21.0,4,11,5.25,5.25,45.83
GF Linde,"M Chinnaswamy Stadium, Bengaluru",IPL,1,14,18.0,0,2,7.71,18.0,14.29
GF Linde,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",T20I,1,18,23.0,0,6,7.67,23.0,33.33
GF Linde,"Marrara Stadium, Darwin",T20I,1,12,26.0,1,5,13.0,26.0,41.67
GF Linde,Multan Cricket Stadium,PSL,1,24,26.0,1,10,6.5,26.0,41.67
GF Linde,"Narendra Modi Stadium, Ahmedabad",T20I,1,24,46.0,1,5,11.5,46.0,20.83
GF Linde,"National Cricket Stadium, St George's, Grenada",T20I,5,96,125.0,6,38,7.81,20.83,39.58
GF Linde,National Stadium,Test,1,96,51.0,0,74,3.19,51.0,77.08
GF Linde,"National Stadium, Karachi",PSL,1,24,30.0,0,4,7.5,30.0,16.67
GF Linde,Newlands,T20I,2,48,46.0,2,24,5.75,23.0,50.0
GF Linde,"R Premadasa Stadium, Colombo",ODI,2,91,72.0,3,46,4.75,24.0,50.55
GF Linde,Rawalpindi Cricket Stadium,PSL,1,24,40.0,0,10,10.0,40.0,41.67
GF Linde,Rawalpindi Cricket Stadium,T20I,1,18,31.0,3,7,10.33,10.33,38.89
GF Linde,Rawalpindi Cricket Stadium,Test,1,191,68.0,5,157,2.14,13.6,82.2
GF Linde,"Seddon Park, Hamilton",T20I,1,18,33.0,1,6,11.0,33.0,33.33
GF Linde,"Sky Stadium, Wellington",T20I,1,6,15.0,0,1,15.0,15.0,16.67
GF Linde,"SuperSport Park, Centurion",T20I,3,54,69.0,1,16,7.67,69.0,29.63
GF Linde,"The Village, Malahide, Dublin",T20I,1,24,26.0,2,11,6.5,13.0,45.83
GF Linde,"The Wanderers Stadium, Johannesburg",T20I,3,54,63.0,3,24,7.0,21.0,44.44
GG Alta,Kerava National Cricket Ground,T20I,3,54,57.0,5,27,6.33,11.4,50.0
GG Alta,Roma Cricket Ground,T20I,2,48,59.0,7,20,7.38,8.43,41.67
GG Alta,"Simar Cricket Ground, Rome",T20I,2,36,54.0,0,5,9.0,54.0,13.89
GG Alta,Tikkurila Cricket Ground,T20I,1,24,60.0,1,4,15.0,60.0,16.67
GG Alta,"Vassil Levski National Sports Academy, Sofia",T20I,3,42,105.0,0,7,15.0,105.0,16.67
GG Banner,"Sir Vivian Richards Stadium, North Sound, Antigua",T20I,1,12,24.0,1,4,12.0,24.0,33.33
GG Banner,"St Albans Club, Buenos Aires",T20I,1,24,30.0,2,13,7.5,15.0,54.17
GH Bodi,Queens Sports Club,ODI,1,6,8.0,0,1,8.0,8.0,16.67
GH Dockrell,"7he Sevens Stadium, Dubai",T20I,2,36,29.0,1,20,4.83,29.0,55.56
GH Dockrell,Adelaide Oval,ODI,1,36,43.0,1,17,7.17,43.0,47.22
GH Dockrell,Adelaide Oval,T20I,1,12,18.0,0,4,9.0,18.0,33.33
GH Dockrell,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20I,6,96,138.0,7,27,8.62,19.71,28.12
GH Dockrell,Bellerive Oval,ODI,1,60,56.0,1,28,5.6,56.0,46.67
GH Dockrell,"Bellerive Oval, Hobart",T20I,1,6,9.0,0,1,9.0,9.0,16.67
GH Dockrell,Bready,T20I,1,12,16.0,1,4,8.0,16.0,33.33
GH Dockrell,"Bready Cricket Club, Magheramason",T20I,1,24,21.0,3,9,5.25,7.0,37.5
GH Dockrell,"Brisbane Cricket Ground, Woolloongabba",ODI,1,42,39.0,1,22,5.57,39.0,52.38
GH Dockrell,"Brisbane Cricket Ground, Woolloongabba, Brisbane",T20I,1,24,24.0,0,8,6.0,24.0,33.33
