striker,format,cluster,average,strike_rate,boundary_pct,dot_pct,runs,player_score
IA Karim,T20I,3,41.31,106.58,11.03,37.99,1198,4401.7
GH Dockrell,ODI,5,23.94,83.94,8.63,51.75,1197,3079.2
Asif Khan,T20I,3,29.2,137.43,17.45,38.92,1197,4790.6
Zeeshan Maqsood,ODI,6,30.67,65.97,6.4,58.96,1196,2830.2
TP Ura,ODI,6,23.92,80.0,10.37,62.47,1196,2986.4
Iftikhar Ahmed,PSL,0,23.92,133.63,16.54,35.87,1196,4522.6
HMD Rasangika,T20I,3,33.19,113.81,17.62,44.86,1195,4538.4
Dhruv Jurel,IPL,2,31.45,154.19,20.65,30.32,1195,5443.7
H Kaur,WPL,2,42.61,145.49,22.32,33.66,1193,5804.7
K Ndlovu,T20I,0,22.94,100.51,13.98,51.47,1193,3631.9
Zeeshan Maqsood,T20I,0,25.91,118.73,16.04,41.73,1192,4272.6
Aqib Ilyas,ODI,6,41.07,73.43,7.71,57.21,1191,3435.4
GD Phillips,ODI,6,39.7,104.2,11.81,45.41,1191,4253.2
Javeria Khan,T20I,5,18.29,93.55,11.01,47.21,1189,3223.1
Pratika Rawal,ODI,6,45.73,82.34,10.46,54.71,1189,3952.6
Shahriar Nafees,Test,1,25.83,56.98,8.68,71.89,1188,2516.9
TL Seifert,CPL,3,28.26,129.59,16.59,37.88,1187,4602.5
Tanzid Hasan,T20I,3,29.58,127.75,17.06,43.2,1183,4581.2
L Bruce,T20I,3,30.28,117.63,14.74,40.84,1181,4345.6
Aqib Ilyas,T20I,3,29.52,121.13,15.28,39.18,1181,4425.5
Sharjeel Khan,PSL,2,24.6,140.93,21.72,45.47,1181,4855.4
MM Ali,T20I,2,20.34,143.9,18.41,34.76,1180,4669.1
Abid Ali,Test,6,49.17,48.26,6.26,75.99,1180,3108.5
Abdul Waheed,T20I,3,28.1,129.39,17.0,35.64,1180,4652.0
CP Jewell,BBL,0,20.31,126.12,16.49,38.65,1178,4237.2
A Badoni,IPL,3,25.61,140.91,17.11,31.7,1178,4782.0
M Raj,T20I,6,36.81,97.92,11.22,42.39,1178,4059.5
CL Tryon,T20I,0,18.7,130.74,16.65,36.51,1178,4282.2
MDKJ Perera,Test,6,30.97,72.25,10.01,65.81,1177,3068.6
Raqibul Hasan,ODI,6,26.75,63.42,5.23,58.67,1177,2571.0
KP Pietersen,T20I,3,34.59,141.52,18.17,30.57,1176,5213.7
MS Wade,T20I,3,25.54,135.68,16.05,34.3,1175,4598.4
MJ North,Test,1,35.48,48.15,6.09,75.29,1171,2580.9
Nida Dar,ODI,5,22.52,67.77,6.48,57.06,1171,2578.3
Hussain Talat,PSL,0,23.88,123.81,14.18,33.86,1170,4252.2
MM Ali,IPL,2,22.88,139.76,19.4,38.92,1167,4711.5
PM Siddle,Test,1,14.73,47.16,5.27,77.19,1164,1733.3
GH Dockrell,T20I,0,18.73,135.63,15.42,31.78,1161,4334.3
KJ Martin,ODI,6,25.8,77.35,7.46,52.17,1161,2968.0
HC Brook,ODI,6,35.12,102.2,13.23,49.47,1159,4085.6
SE Rutherford,CPL,0,23.65,134.14,16.9,41.9,1159,4451.9
JDP Oram,Test,1,37.35,53.07,6.74,73.51,1158,2760.7
JN Frylinck,ODI,6,28.2,72.57,6.47,55.74,1156,2873.9
TM McGrath,T20I,3,42.78,132.0,20.0,38.63,1155,5392.3
CS Mugeri-Tiripano,T20I,0,22.63,106.65,13.31,47.13,1154,3717.0
MD Shanaka,ODI,5,24.53,89.31,9.68,50.5,1153,3257.1
TM Dilshan,IPL,0,28.12,114.5,16.29,44.79,1153,4263.9
DJ Bravo,CPL,0,21.33,130.32,15.61,38.91,1152,4267.5
BRM Taylor,T20I,3,27.4,124.97,15.96,36.05,1151,4484.8
AR Patwa,T20I,0,25.02,121.16,18.53,47.05,1151,4356.9
TH David,IPL,2,32.89,177.08,24.46,29.23,1151,6078.6
IK Pathan,IPL,0,21.7,121.05,13.26,35.37,1150,4046.2
KA Pollard,PSL,2,38.3,162.29,22.18,33.62,1149,5861.0
KD Kesuma,T20I,0,18.14,112.61,16.06,49.95,1143,3772.8
JA Raval,Test,1,30.08,42.81,5.39,78.95,1143,2253.4
M du Preez,T20I,0,19.66,98.87,10.58,41.54,1140,3393.3
RR Pant,T20I,0,21.51,125.55,15.86,37.11,1140,4248.6
DA Warner,BBL,3,47.46,143.99,18.2,33.63,1139,5683.4
BT Foakes,Test,1,29.21,47.24,4.77,72.42,1139,2240.3
MD Bimenyimana,T20I,5,18.64,73.35,7.74,58.0,1137,2575.7
EJ Villani,T20I,3,31.42,123.2,17.32,39.0,1131,4656.5
M Gilkes,BBL,0,20.56,123.61,15.85,42.51,1131,4106.8
S Muniandy,T20I,0,17.14,115.29,12.13,38.74,1131,3668.9
CD McMillan,ODI,6,28.95,82.83,9.17,56.42,1129,3210.7
KA Green,T20I,5,17.11,84.63,9.75,54.27,1129,2861.1
K Motlanka,T20I,0,31.33,110.7,13.44,43.18,1128,4160.7
BN Cooper,T20I,3,27.49,124.26,15.55,37.6,1127,4425.3
Shafali Verma,WPL,2,33.06,152.1,25.03,40.87,1124,5605.7
JM Clarke,BBL,3,27.34,134.57,16.93,36.97,1121,4663.0
Nahida Khan,ODI,6,29.5,65.48,7.89,63.61,1121,2801.1
Yuvraj Singh,T20I,2,26.69,138.57,18.17,38.69,1121,4752.2
Sikandar Raza,Test,1,30.27,54.63,6.49,71.32,1120,2494.5
GJ Delany,T20I,0,20.33,134.86,16.53,37.27,1118,4372.7
S Bau,T20I,0,24.24,112.74,13.14,42.57,1115,3909.9
P Utseya,ODI,1,18.88,58.91,4.6,61.24,1114,2125.1
DS Smith,Test,1,22.24,45.28,6.11,78.14,1112,2037.0
AD Russell,T20I,2,23.66,165.23,23.77,39.38,1112,5371.0
Mohammad Haris,PSL,2,26.45,166.82,25.98,33.78,1111,5724.9
L Delany,ODI,6,28.46,71.8,6.34,54.14,1110,2880.2
ML Hayden,IPL,2,39.54,137.34,20.47,41.19,1107,5332.5
JM Sharma,IPL,2,23.06,152.48,21.21,36.64,1107,5039.1
JEC Franklin,ODI,6,27.0,79.7,7.27,50.68,1107,3046.2
RW Chakabva,ODI,5,23.04,68.23,5.92,56.45,1106,2565.8
BOP Fernando,Test,1,33.45,49.64,6.25,76.39,1104,2526.1
K Rabada,Test,1,12.38,51.71,7.46,76.68,1102,1845.1
CJ Anderson,ODI,0,27.55,108.89,13.83,49.51,1102,3925.5
DC Thomas,CPL,0,18.58,117.85,15.16,44.73,1096,3869.6
Usman Patel,T20I,0,23.76,130.27,17.52,39.33,1093,4470.4
SPD Smith,T20I,0,25.95,125.58,14.06,31.8,1090,4363.8
S Chandramohan,T20I,0,23.7,119.39,15.99,45.24,1090,4130.2
MJ Santner,Test,1,24.75,47.04,6.65,78.49,1089,2188.1
L Vincent,ODI,6,27.92,71.6,8.55,62.06,1089,2888.2
J Brown,BBL,2,26.49,148.56,23.26,48.02,1086,5084.3
M Vohra,IPL,0,22.56,130.64,17.73,43.18,1083,4388.0
DP Conway,IPL,3,43.2,139.72,19.53,34.28,1080,5534.8
PSP Handscomb,Test,1,38.54,48.3,5.64,73.59,1079,2653.9
VP Thamotharam,T20I,2,26.32,142.54,18.1,38.04,1079,4791.8
LMP Simmons,IPL,3,39.96,126.64,17.96,43.66,1079,4992.9
Ahmed Shehzad,PSL,0,25.64,120.07,15.72,39.91,1077,4268.5
DM Nakrani,T20I,0,25.02,128.71,15.79,41.63,1076,4345.2
Aizaz Khan,T20I,0,16.29,108.81,10.43,37.96,1075,3436.4
F Behardien,ODI,6,29.03,97.9,9.48,44.21,1074,3609.9
DJ Malan,Test,1,28.26,40.96,5.64,79.56,1074,2165.7
SM Pollock,Test,1,32.48,60.46,7.67,69.71,1072,2734.0
NL McCullum,ODI,5,20.98,87.7,8.36,49.59,1070,3014.2
NCR Larkin,BBL,3,30.54,120.38,13.96,36.04,1069,4393.4
RP Arnold,ODI,6,27.38,70.78,5.04,52.55,1068,2755.3
I Liyanage,T20I,3,30.49,123.5,16.78,41.2,1067,4548.8
WW Hinds,ODI,6,32.3,67.64,7.04,62.5,1066,2887.1
LS Livingstone,IPL,2,25.38,155.17,21.25,35.23,1066,5180.2
H Deol,ODI,6,33.25,76.49,8.55,55.28,1064,3249.1
A Sutherland,ODI,6,39.33,93.16,10.26,46.32,1062,3950.3
Aftab Ahmed,ODI,5,20.02,74.93,9.75,61.09,1061,2727.9
S Mostary,T20I,0,19.98,96.8,11.7,47.62,1059,3352.3
N de Klerk,ODI,5,22.04,89.06,10.69,52.02,1058,3191.7
Imran Anwar,T20I,0,17.31,124.82,15.96,47.04,1056,3933.1
DEM Carter,T20I,0,27.08,103.23,13.0,45.94,1056,3818.0
Khushdil Shah,PSL,2,22.93,143.93,18.14,32.47,1055,4762.6
C Sutthiruang,T20I,5,13.01,88.05,8.94,49.04,1054,2764.3
A Capsey,T20I,0,22.89,121.88,17.25,39.47,1053,4295.2
MJ Santner,T20I,0,21.04,131.66,15.64,36.8,1052,4292.4
Basil Hameed,ODI,5,23.36,73.86,7.31,57.62,1051,2723.7
SIR Dunkley,ODI,5,24.98,81.63,8.25,50.97,1049,3049.7
LD Chandimal,T20I,0,19.41,103.46,10.86,40.97,1048,3460.7
RC Belbashi,T20I,5,19.75,94.07,11.23,49.69,1047,3243.0
Sohaib Maqsood,PSL,3,29.03,129.01,17.28,40.12,1045,4616.0
FDM Karunaratne,ODI,6,29.83,78.73,7.62,52.64,1044,3124.7
Nasir Hossain,Test,1,33.68,54.46,6.73,72.14,1044,2624.7
Zubaidi Zulkifle,T20I,2,17.98,140.95,21.08,44.32,1043,4560.5
DP Sibley,Test,1,28.94,34.22,3.78,81.31,1042,1968.8
Junaid Siddique,ODI,5,14.47,68.51,7.43,61.08,1042,2273.2
SM Katich,ODI,6,38.56,69.68,7.76,61.38,1041,3210.4
JDS Neesham,T20I,2,20.02,149.14,19.34,34.38,1041,4776.5
MN Waller,ODI,5,21.65,76.91,8.59,55.22,1039,2819.7
Faheem Ashraf,PSL,2,21.65,144.11,19.56,35.64,1039,4764.1
AP Yadav,T20I,0,25.29,105.39,12.8,42.58,1037,3812.7
RL Chase,ODI,5,25.29,78.21,6.79,49.17,1037,2940.4
Mahmudul Hasan Joy,Test,1,25.27,43.94,5.22,77.06,1036,2061.3
Umar Akmal,PSL,2,29.6,144.69,19.41,35.61,1036,5060.3
AD Russell,ODI,2,26.51,130.23,19.02,47.1,1034,4553.1
PWH de Silva,ODI,0,22.41,106.84,12.44,45.39,1031,3659.8
Afif Hossain,T20I,0,21.48,121.01,13.5,37.44,1031,4006.0
JN Loftie-Eaton,ODI,6,27.84,74.1,7.12,55.68,1030,2906.9
C Green,IPL,2,35.48,151.1,19.53,29.37,1029,5465.9
JP Inglis,T20I,2,27.05,158.4,22.65,31.9,1028,5422.9
V Suryavanshi,IPL,2,44.7,228.95,39.42,34.08,1028,6843.6
KP Pietersen,BBL,3,36.64,135.18,16.34,32.67,1026,5028.0
S Mandhana,WPL,2,31.06,136.48,23.17,42.88,1025,5146.2
JD Ryder,Test,1,37.96,54.84,6.69,69.98,1025,2785.2
JP Faulkner,ODI,6,34.17,104.17,11.28,43.6,1025,4011.1
L Mophakedi,T20I,5,17.37,77.95,7.38,54.22,1025,2605.2
B Sharki,ODI,6,28.44,66.8,6.98,60.21,1024,2753.1
JJ Smit,ODI,5,23.23,74.54,7.51,59.01,1022,2717.4
L Ronchi,PSL,2,36.43,166.12,27.04,35.18,1020,6126.4
ZE Green,ODI,5,24.29,76.35,8.83,58.16,1020,2882.1
O Manishimwe,T20I,5,17.88,91.47,10.68,52.51,1019,3055.6
C Campher,T20I,0,22.13,126.62,13.68,34.08,1018,4166.3
LRPL Taylor,IPL,0,24.8,123.72,13.63,37.35,1017,4176.0
SR Watson,BBL,2,28.17,133.95,18.36,40.69,1014,4711.6
MS Harris,BBL,0,19.46,118.64,15.83,43.38,1012,3964.9
Fawad Alam,Test,1,36.11,46.59,5.3,74.7,1011,2506.2
MD Patel,T20I,2,28.89,137.93,18.96,37.38,1011,4880.7
Kushal Malla,T20I,0,22.95,134.49,16.51,41.01,1010,4394.9
N Davin,T20I,2,29.62,137.57,19.54,41.12,1007,4887.7
MS Chapman,ODI,6,38.65,103.82,13.43,48.97,1005,4237.8
CM Edwards,T20I,0,30.42,103.72,14.57,45.14,1004,4058.4
Umar Akmal,Test,6,35.82,65.99,8.82,69.01,1003,3012.4
CM Gough,T20I,6,43.52,95.52,9.64,41.6,1001,4157.2
J Baker,T20I,3,40.04,130.17,18.34,45.51,1001,5032.1
EJM Cowan,Test,1,32.29,41.28,5.24,77.86,1001,2283.7
KP Pietersen,IPL,3,34.52,134.72,17.63,37.01,1001,4962.4
H Klaasen,T20I,2,23.26,141.84,17.59,33.48,1000,4686.6
MC Henriques,IPL,0,26.32,126.9,14.59,34.14,1000,4384.5
SM Curran,IPL,2,24.32,136.39,17.24,34.34,997,4614.6
Pargat Singh,ODI,6,31.16,76.05,9.76,60.11,997,3166.3
GWHM Perera,T20I,5,15.83,87.38,10.43,50.66,997,2928.4
KH Prajapati,ODI,6,27.67,74.89,8.5,59.25,996,2947.4
NA Greenwood,T20I,2,33.1,146.24,19.59,32.55,993,5262.3
S Dube,T20I,2,31.03,151.37,19.05,29.73,993,5260.2
MG Bracewell,ODI,6,34.17,107.95,13.62,48.15,991,4149.5
FO Kibasu,T20I,0,23.02,101.12,12.87,46.68,990,3607.3
RG Mukasa,T20I,0,24.15,123.9,17.9,44.18,990,4337.1
CL White,T20I,3,32.93,132.97,15.48,34.59,988,4767.7
T Stubbs,IPL,3,42.87,151.93,17.87,24.65,986,5704.9
KA Edwards,Test,1,32.87,48.05,5.99,75.1,986,2447.2
Y Venugopal Rao,IPL,0,23.45,117.82,13.64,38.76,985,4019.1
Tanzid Hasan,ODI,6,30.78,103.58,15.46,56.89,985,3958.6
C Kieswetter,ODI,6,28.97,88.98,11.56,57.27,985,3422.5
O Tuyisenge,T20I,0,16.15,100.92,12.09,48.98,985,3261.3
J Liyanage,ODI,6,44.73,86.32,8.95,51.67,984,3882.4
RW Chakabva,Test,1,28.11,39.25,3.91,78.14,984,2007.5
Ahmed Shehzad,Test,1,40.92,50.99,5.56,73.57,982,2760.7
CM Edwards,ODI,6,44.5,74.39,9.57,58.13,979,3656.4
PD Salt,ODI,3,32.53,115.09,18.04,51.18,976,4436.3
W Mwatile,T20I,5,15.02,86.07,9.08,52.82,976,2755.8
Q Abel,T20I,0,25.66,109.8,15.77,47.97,975,3999.5
JA Morkel,IPL,2,24.38,141.92,16.89,32.9,975,4687.6
SP Narine,CPL,0,13.91,134.34,20.0,48.97,974,4167.3
A Symonds,IPL,3,37.46,129.87,15.33,36.4,974,4856.6
HC Knight,Test,1,44.27,48.24,5.75,73.7,974,2859.6
ADS Fletcher,T20I,0,19.86,110.69,13.42,48.69,973,3627.2
DS Smith,ODI,5,24.32,72.45,8.04,59.34,973,2752.5
SSJ Brooks,CPL,0,23.17,127.02,14.75,36.29,973,4243.9
Aqib Iqbal,T20I,0,23.14,124.3,14.07,37.08,972,4148.2
EA Perry,WPL,7,60.75,132.97,18.33,34.2,972,6004.2
DR Sams,BBL,0,13.69,143.79,17.6,36.83,972,4303.4
CL White,IPL,0,27.74,127.76,15.0,34.21,971,4471.6
FA Allen,CPL,2,22.05,148.32,19.57,36.85,970,4810.6
JP Inglis,ODI,6,30.28,100.83,13.11,50.57,969,3832.8
S Davizi,T20I,2,37.19,147.63,22.29,37.86,967,5535.2
T Stubbs,T20I,3,31.16,133.24,15.45,32.83,966,4725.0
Fawad Alam,ODI,6,38.64,74.54,5.09,48.69,966,3272.9
Kamran Akmal,T20I,0,21.91,119.9,15.92,45.77,964,4039.0
C Campher,ODI,6,34.39,80.52,9.2,55.6,963,3371.5
AC Voges,BBL,0,28.32,126.05,11.78,25.79,963,4374.0
TD Paine,BBL,0,25.92,123.11,15.15,37.87,959,4294.7
Nazmul Hossain Shanto,T20I,0,24.59,109.73,12.24,39.82,959,3837.1
JN Malan,ODI,6,47.9,83.3,9.83,53.74,958,3984.5
M Levitt,T20I,2,31.9,142.2,20.06,43.24,957,5034.4
GD Phillips,Test,6,32.97,72.59,10.1,66.36,956,3113.3
Fargana Hoque,T20I,5,19.83,86.62,8.01,45.77,952,2969.6
CJA Amini,ODI,1,21.64,62.76,5.41,60.78,952,2318.3
Haider Ali,PSL,2,20.19,136.35,18.68,38.51,949,4488.4
KR Mayers,Test,1,32.72,61.23,8.58,70.58,949,2791.8
Ayan Khan,ODI,6,27.09,75.78,8.15,56.59,948,2945.5
Sidra Ameen,T20I,5,17.56,88.1,9.76,47.77,948,2992.5
Shaiman Anwar,ODI,6,33.82,83.95,9.84,55.67,947,3437.0
C Green,ODI,6,43.0,83.42,8.64,52.82,946,3734.4
NPAN Sakarini,T20I,6,36.31,85.58,8.34,48.69,944,3552.3
M Morkel,Test,1,11.8,50.81,7.97,77.29,944,1821.1
Murshida Khatun,T20I,5,21.39,89.11,10.04,49.05,941,3149.5
BP Nash,Test,1,32.45,43.69,5.01,76.97,941,2298.8
Iftikhar Ahmed,T20I,0,22.95,131.06,15.04,32.31,941,4363.1
JM How,ODI,6,29.34,66.22,7.9,63.68,939,2777.8
Sabbir Rahman,T20I,0,22.9,120.38,15.0,39.1,939,4113.0
G Singh,ODI,6,32.34,83.01,9.12,54.16,938,3340.7
AU Rashid,ODI,5,19.14,93.43,10.56,48.61,938,3165.7
Imad Wasim,CPL,0,25.32,123.78,14.4,35.93,937,4255.9
Imad Wasim,ODI,3,42.59,111.55,12.62,38.1,937,4584.0
BA Stokes,IPL,0,22.8,133.95,16.19,33.09,935,4462.3
A Bosch,T20I,0,24.61,109.36,13.68,41.87,935,3895.9
MJ Lumb,BBL,0,23.97,124.5,16.11,43.54,935,4220.3
RV Uthappa,ODI,5,24.58,90.59,12.32,55.97,934,3341.8
KOA Powell,ODI,5,24.58,79.76,10.5,59.35,934,3021.8
Usman Khan,T20I,0,18.31,118.53,13.58,36.8,934,3852.6
RAS Lakmal,Test,1,11.39,48.24,6.51,76.45,934,1671.2
MG Johnson,ODI,5,15.57,95.7,10.45,50.31,934,3031.1
BB McCullum,BBL,2,28.27,137.41,18.7,38.14,933,4810.4
Z Khan,Test,1,13.48,51.3,7.23,76.39,930,1839.5
RR Hendricks,ODI,6,26.57,78.35,9.01,56.95,930,3011.2
JP Greaves,Test,1,32.07,52.16,5.1,69.27,930,2417.0
CS MacLeod,T20I,0,22.68,110.32,11.63,37.6,930,3760.4
RMVD Gunaratne,ODI,6,26.49,73.05,8.59,58.87,927,2878.7
Habibul Bashar,ODI,1,22.05,56.64,4.89,62.57,926,2184.6
LS Livingstone,T20I,2,24.37,149.35,17.74,31.13,926,4865.0
B Tau,T20I,6,27.21,90.51,11.06,49.12,925,3451.8
TP Ludeman,BBL,0,28.0,123.2,15.47,40.4,924,4353.9
Chirag Suri,ODI,1,26.4,64.44,7.53,65.27,924,2593.2
L Goodall,ODI,1,21.98,62.49,6.16,62.69,923,2345.7
J Gunasekar,T20I,3,41.91,109.24,10.9,36.49,922,4432.5
NT Broom,ODI,6,27.85,80.4,7.7,49.87,919,3099.8
T de Zorzi,Test,1,30.63,54.8,6.02,68.93,919,2464.2
G Gambhir,T20I,0,28.69,119.38,15.34,38.49,918,4344.4
AR Patel,ODI,5,22.39,92.26,9.05,45.53,918,3211.6
Yasir Shah,Test,1,14.34,47.05,5.89,76.83,918,1721.6
WPUJC Vaas,Test,1,36.72,47.71,5.72,73.6,918,2558.7
Harbhajan Singh,ODI,5,14.11,81.95,8.13,54.07,917,2574.4
Gulsan Jha,ODI,6,30.53,83.5,9.75,59.34,916,3244.3
R Powell,ODI,5,21.28,89.44,9.78,52.59,915,3078.2
Habibul Bashar,Test,1,24.7,62.47,8.2,67.94,914,2507.1
AP Rajeevan,T20I,0,25.36,112.3,12.3,38.75,913,3914.1
LS Livingstone,ODI,0,31.45,108.57,12.5,45.83,912,4002.7
BJ Rohrer,BBL,0,25.33,133.14,14.01,32.7,912,4402.7
A Johnson,T20I,2,31.38,147.25,23.46,47.9,910,5238.1
Priyansh Arya,IPL,2,29.32,192.99,31.85,34.61,909,6241.4
R Shepherd,T20I,2,26.74,144.98,18.82,39.71,909,4840.1
R Stokell,T20I,0,18.53,102.6,11.41,42.15,908,3414.6
Taijul Islam,Test,1,10.3,38.73,4.4,79.05,906,1353.4
Shashank Singh,IPL,2,37.71,161.61,21.07,27.68,905,5803.7
HE van der Dussen,Test,1,30.17,40.75,4.82,78.7,905,2154.4
Shadab Khan,T20I,2,19.65,146.75,18.02,32.14,904,4652.9
EA Perry,Test,7,64.57,46.84,6.01,75.08,904,3608.2
Ishan Kishan,ODI,6,39.17,101.69,13.77,51.81,901,4194.2
CP Rizwan,ODI,1,26.5,58.66,4.3,59.83,901,2375.6
N Boochatham,T20I,5,11.54,78.95,9.12,55.18,900,2484.0
AE Satterthwaite,T20I,0,23.68,103.45,12.3,42.07,900,3678.8
C Hemraj,CPL,0,20.45,117.8,16.62,48.04,900,3959.7
Shoaib Khan,ODI,6,31.0,81.73,9.18,54.91,899,3260.1
SJ Modani,ODI,6,28.97,63.37,5.86,61.33,898,2615.7
Junaid Siddique,Test,1,27.18,41.05,5.13,79.31,897,2065.9
RD Rickelton,Test,1,35.88,52.86,6.66,71.71,897,2658.2
H Ishimwe,T20I,5,14.93,99.89,11.37,46.49,896,3175.5
D Ganga,Test,1,28.0,39.73,5.23,80.27,896,2084.9
CA Henry,ODI,5,19.87,88.34,9.58,51.28,894,3012.3
Yasim Murtaza,T20I,0,16.24,118.44,13.53,37.67,893,3751.8
AT Nidamanuru,ODI,5,26.26,91.5,9.32,49.8,893,3299.4
A Kumble,Test,1,18.6,40.15,5.31,79.5,893,1743.1
PG Fulton,Test,1,24.11,38.78,5.3,81.39,892,1929.9
E Dusingizimana,T20I,0,18.94,110.56,15.03,50.19,890,3664.3
JO Holder,T20I,2,18.94,142.4,18.08,37.44,890,4492.0
Washington Sundar,IPL,0,21.14,135.37,16.77,31.71,888,4471.1
Muhammad Usman,ODI,6,27.75,75.13,8.46,57.53,888,2959.4
LRPL Taylor,CPL,0,30.59,105.34,10.21,42.04,887,3823.3
J Fraser-McGurk,BBL,0,18.48,129.3,15.45,40.96,887,4066.7
S Mtae,T20I,0,18.85,104.11,13.51,47.83,886,3503.1
SE Rutherford,T20I,2,25.31,149.41,20.4,37.77,886,4977.6
CV Anto,T20I,2,24.61,150.68,20.75,41.67,886,4936.6
WK Dilhari,ODI,5,25.31,80.04,7.41,52.3,886,2940.5
HH Gibbs,IPL,0,27.69,109.79,14.13,46.84,886,3969.0
Washington Sundar,Test,1,38.48,45.85,4.92,75.08,885,2540.6
A Raghuvanshi,IPL,2,35.4,145.56,19.9,31.25,885,5362.2
SK Patel,ODI,6,35.4,80.31,9.89,56.44,885,3428.7
S Nampiina,T20I,5,15.51,87.87,9.74,50.99,884,2855.5
GC Smith,T20I,2,28.52,123.46,18.3,43.85,884,4510.4
MA Leask,T20I,0,16.66,130.04,15.32,37.41,883,4050.2
JJS Sangha,BBL,0,27.56,118.71,12.25,35.8,882,4119.8
Q de Kock,CPL,2,35.28,140.67,18.34,33.65,882,5151.0
W Barresi,ODI,5,24.5,76.23,9.42,59.64,882,2885.8
JE Root,T20I,3,38.3,126.04,15.16,31.9,881,4873.9
BFW de Leede,T20I,0,27.53,106.66,10.77,39.83,881,3794.9
Walid Ghauri,T20I,0,28.42,121.52,15.03,41.24,881,4298.5
STR Binny,IPL,0,20.0,128.84,14.79,36.75,880,4132.4
JWA Taylor,ODI,6,36.62,80.86,7.45,51.89,879,3383.5
MRJ Watt,ODI,5,22.54,81.92,8.48,53.22,879,2919.9
Luqman Butt,T20I,2,39.82,145.03,20.7,35.76,876,5508.1
N Wagner,Test,1,14.34,51.87,7.82,79.31,875,1910.7
S Bau,ODI,1,19.42,60.19,5.44,63.57,874,2149.8
IK Gamantika,T20I,5,15.89,94.9,9.45,45.71,874,3022.0
CS Delport,PSL,0,24.94,126.89,16.42,37.35,873,4389.7
K Nassoro,T20I,0,19.82,99.89,11.11,45.48,872,3352.4
KD Mills,ODI,5,18.93,90.17,10.35,53.83,871,3013.9
TT Bresnan,ODI,5,18.93,90.26,9.95,47.25,871,3082.5
RR Pant,ODI,0,34.84,106.22,14.27,46.83,871,4194.8
Selim Salau,T20I,0,23.54,110.39,13.05,43.98,871,3788.3
G Mckeon,T20I,2,33.46,145.48,19.73,40.13,870,5147.9
SR Magar,T20I,5,17.06,82.23,8.22,51.42,870,2725.8
BA Pai,T20I,0,29.0,112.26,11.74,35.23,870,4056.5
CA Ingram,BBL,3,28.93,135.2,16.67,34.58,868,4710.2
MWR Stokes,T20I,3,34.72,123.82,13.69,33.95,868,4579.6
Muhammad Asim,T20I,2,34.72,135.2,19.63,43.15,868,5002.2
HK Matthews,WPL,2,25.5,121.94,20.53,48.95,867,4449.3
L Siaka,T20I,0,17.69,118.28,12.69,42.43,867,3676.1
SB Styris,Test,6,43.35,55.97,8.07,72.63,867,3071.0
S Ravichandran,T20I,0,18.43,115.47,12.67,38.93,866,3713.3
B Lee,ODI,5,17.65,81.84,7.1,52.89,865,2646.1
RA Reifer,CPL,0,20.6,111.18,12.21,39.97,865,3689.4
H Thaker,ODI,6,36.0,67.08,5.2,56.91,864,2944.9
KD Karthik,Test,1,25.38,49.94,6.83,74.71,863,2230.1
M Musonda,T20I,0,23.3,110.8,12.72,41.0,862,3804.2
LA Dunbar,T20I,3,35.88,124.6,17.37,45.15,861,4718.2
TD Paine,ODI,6,27.77,70.63,8.2,60.05,861,2840.3
TM McGrath,ODI,6,27.77,87.86,11.43,52.35,861,3404.9
Abdul Samad,IPL,2,18.28,148.62,19.03,34.26,859,4657.8
Puja Mahato,T20I,5,16.21,81.89,7.34,49.09,859,2662.1
DJG Sammy,CPL,0,17.51,127.11,15.11,40.89,858,3973.9
Fatima Sana,ODI,5,19.04,82.32,9.13,53.03,857,2837.0
PR Surve,T20I,3,38.95,112.47,11.68,39.37,857,4367.5
MG Vandort,Test,1,34.28,44.89,5.34,75.64,857,2393.5
MN Samuels,CPL,3,30.61,123.49,15.27,39.19,857,4449.7
Hamza Khan,T20I,3,35.58,118.94,14.21,40.25,854,4486.6
Razmal Shigiwal,T20I,2,30.43,141.76,17.97,33.94,852,4951.0
LS Livingstone,BBL,2,30.39,138.15,17.37,39.12,851,4785.2
LJ Evans,BBL,2,31.48,156.83,19.93,31.55,850,5364.1
SE Rutherford,ODI,6,36.91,99.18,12.73,54.44,849,3959.9
Rameez Shahzad,ODI,6,38.55,78.37,8.5,55.27,848,3438.4
H Lakov,T20I,0,31.41,115.22,11.14,35.05,848,4147.3
IJR Zwilling,T20I,5,15.42,94.01,9.53,45.79,848,2992.3
Haris Sohail,Test,1,31.37,43.75,4.49,77.07,847,2210.4
RL Chase,T20I,0,21.69,118.65,13.46,35.76,846,3974.7
Shubman Gill,T20I,2,28.2,137.56,19.35,38.54,846,4834.4
D Visser,T20I,2,46.94,142.02,20.84,40.0,845,5677.4
KAR Hodge,Test,1,29.14,45.77,5.85,76.0,845,2245.2
L Tucker,ODI,5,22.81,82.34,8.59,52.78,844,2944.3
Agha Salman,PSL,0,21.05,123.46,15.54,39.3,842,4105.0
Naeem Islam,ODI,5,24.76,69.53,7.02,57.14,842,2672.2
SSJ Brooks,ODI,6,30.07,75.58,7.63,55.92,842,3013.5
W Madhevere,ODI,5,24.03,79.04,7.8,51.97,841,2902.6
CR Brathwaite,CPL,0,17.16,132.44,16.54,40.0,841,4140.3
Saud Shakeel,PSL,2,31.11,130.84,18.22,38.94,840,4768.2
