striker,bowler,format,balls_faced,runs,dismissals,fours,sixes,dot_balls,strike_rate,average
AD Mathews,R Ashwin,ODI,137,110,2,7,3,68,80.29,55.0
AD Mathews,R Ashwin,Test,372,198,4,15,4,253,53.23,49.5
AD Mathews,R Bhatia,IPL,30,32,0,0,1,6,106.67,32.0
AD Mathews,R McLaren,ODI,33,30,2,1,1,12,90.91,15.0
AD Mathews,R Rampaul,ODI,11,11,0,1,0,3,100.0,11.0
AD Mathews,R Vinay Kumar,IPL,10,8,3,0,0,5,80.0,2.67
AD Mathews,R Vinay Kumar,ODI,26,31,0,2,0,6,119.23,31.0
AD Mathews,RA Jadeja,ODI,173,126,3,5,4,91,72.83,42.0
AD Mathews,RA Jadeja,Test,287,115,8,10,5,231,40.07,14.38
AD Mathews,RG Sharma,ODI,16,7,0,0,0,9,43.75,7.0
AD Mathews,RJ Harris,ODI,14,8,0,0,0,7,57.14,8.0
AD Mathews,RJ Harris,Test,44,24,0,2,1,34,54.55,24.0
AD Mathews,RJ Nicol,ODI,12,11,0,1,0,4,91.67,11.0
AD Mathews,RJ Peterson,ODI,18,13,0,0,1,10,72.22,13.0
AD Mathews,RL Chase,Test,51,24,1,3,0,36,47.06,24.0
AD Mathews,RP Singh,IPL,10,18,0,2,1,4,180.0,18.0
AD Mathews,RRS Cornwall,Test,18,21,0,0,2,7,116.67,21.0
AD Mathews,RS Bopara,ODI,15,20,0,3,0,4,133.33,20.0
AD Mathews,RW Price,ODI,15,11,2,0,0,7,73.33,5.5
AD Mathews,Rahat Ali,ODI,29,31,1,5,0,14,106.9,31.0
AD Mathews,Rahat Ali,Test,178,118,1,14,1,121,66.29,118.0
AD Mathews,Rishad Hossain,T20I,13,17,1,1,1,4,130.77,17.0
AD Mathews,Robiul Islam,Test,56,36,0,5,0,36,64.29,36.0
AD Mathews,Rubel Hossain,ODI,62,54,2,6,0,29,87.1,27.0
AD Mathews,Rubel Hossain,Test,15,9,0,1,0,10,60.0,9.0
AD Mathews,S Kaul,IPL,11,17,1,1,1,3,154.55,17.0
AD Mathews,S Shillingford,Test,22,10,1,0,1,17,45.45,10.0
AD Mathews,S Sreesanth,Test,31,33,1,5,0,15,106.45,33.0
AD Mathews,SB Jakati,IPL,12,11,0,1,0,5,91.67,11.0
AD Mathews,SC Williams,ODI,11,14,0,0,1,6,127.27,14.0
AD Mathews,SC Williams,T20I,12,8,0,0,0,5,66.67,8.0
AD Mathews,SC Williams,Test,170,61,1,4,1,130,35.88,61.0
AD Mathews,SCJ Broad,ODI,32,36,0,4,1,17,112.5,36.0
AD Mathews,SCJ Broad,T20I,21,25,1,4,0,10,119.05,25.0
AD Mathews,SCJ Broad,Test,204,75,2,10,0,169,36.76,37.5
AD Mathews,SE Bond,ODI,11,11,1,1,0,4,100.0,11.0
AD Mathews,SJ Benn,T20I,13,5,0,0,0,8,38.46,5.0
AD Mathews,SK Raina,ODI,26,20,2,0,1,13,76.92,10.0
AD Mathews,SM Boland,ODI,10,7,0,1,0,6,70.0,7.0
AD Mathews,SM Curran,Test,37,17,0,1,0,29,45.95,17.0
AD Mathews,SN Thakur,ODI,17,12,0,2,0,11,70.59,12.0
AD Mathews,SNJ O'Keefe,Test,33,14,1,1,0,25,42.42,14.0
AD Mathews,SP Narine,IPL,16,25,2,1,2,5,156.25,12.5
AD Mathews,SP Narine,ODI,41,24,0,2,0,25,58.54,24.0
AD Mathews,SR Patel,ODI,13,21,0,4,0,5,161.54,21.0
AD Mathews,SR Patel,Test,36,22,0,4,0,26,61.11,22.0
AD Mathews,SR Watson,IPL,14,13,1,1,0,7,92.86,13.0
AD Mathews,SR Watson,ODI,23,23,2,2,0,9,100.0,11.5
AD Mathews,SR Watson,Test,139,35,1,3,0,117,25.18,35.0
AD Mathews,ST Finn,ODI,24,27,1,3,0,10,112.5,27.0
AD Mathews,ST Finn,Test,62,23,1,1,0,44,37.1,23.0
AD Mathews,ST Gabriel,Test,40,30,0,5,0,27,75.0,30.0
AD Mathews,STR Binny,IPL,10,12,1,1,0,4,120.0,12.0
AD Mathews,STR Binny,ODI,23,27,0,4,0,9,117.39,27.0
AD Mathews,STR Binny,Test,84,43,1,8,0,66,51.19,43.0
AD Mathews,Sabbir Rahman,ODI,10,14,0,3,0,5,140.0,14.0
AD Mathews,Saeed Ajmal,ODI,157,106,4,6,3,89,67.52,26.5
AD Mathews,Saeed Ajmal,T20I,38,36,3,3,0,12,94.74,12.0
AD Mathews,Saeed Ajmal,Test,820,328,6,34,3,633,40.0,54.67
AD Mathews,Shafiul Islam,ODI,37,45,0,4,0,10,121.62,45.0
AD Mathews,Shaheen Shah Afridi,Test,90,29,2,3,0,74,32.22,14.5
AD Mathews,Shahid Afridi,ODI,205,138,5,6,2,105,67.32,27.6
AD Mathews,Shahid Afridi,T20I,32,22,0,0,0,11,68.75,22.0
AD Mathews,Shakib Al Hasan,ODI,54,34,0,2,0,29,62.96,34.0
AD Mathews,Shakib Al Hasan,Test,293,104,3,6,2,224,35.49,34.67
AD Mathews,Shoaib Bashir,Test,70,45,1,4,1,43,64.29,45.0
AD Mathews,Shoaib Malik,ODI,40,20,0,1,0,24,50.0,20.0
AD Mathews,Shoaib Malik,Test,17,12,0,2,0,10,70.59,12.0
AD Mathews,Shoriful Islam,Test,45,32,0,4,0,29,71.11,32.0
AD Mathews,Sikandar Raza,ODI,38,32,0,3,1,20,84.21,32.0
AD Mathews,Sikandar Raza,T20I,24,16,0,1,0,12,66.67,16.0
AD Mathews,Sikandar Raza,Test,173,73,0,3,2,125,42.2,73.0
AD Mathews,Sohag Gazi,ODI,15,17,0,0,1,4,113.33,17.0
AD Mathews,Sohag Gazi,Test,113,53,2,3,0,73,46.9,26.5
AD Mathews,Sohail Tanvir,ODI,46,45,0,2,1,15,97.83,45.0
AD Mathews,Sohail Tanvir,T20I,11,9,1,1,0,6,81.82,9.0
AD Mathews,Soumya Sarkar,ODI,26,23,1,1,0,9,88.46,23.0
AD Mathews,T Murphy,Test,19,22,0,4,0,11,115.79,22.0
AD Mathews,T Shamsi,ODI,43,29,1,3,0,24,67.44,29.0
AD Mathews,T Shamsi,Test,22,5,0,0,0,18,22.73,5.0
AD Mathews,TA Boult,ODI,50,42,1,5,0,27,84.0,42.0
AD Mathews,TA Boult,T20I,11,29,0,5,1,2,263.64,29.0
AD Mathews,TA Boult,Test,344,120,3,9,2,273,34.88,40.0
AD Mathews,TA Copeland,Test,105,32,0,4,0,87,30.48,32.0
AD Mathews,TD Astle,Test,58,32,0,5,0,43,55.17,32.0
AD Mathews,TG Southee,ODI,58,57,1,6,1,28,98.28,57.0
AD Mathews,TG Southee,Test,590,218,7,25,0,468,36.95,31.14
AD Mathews,TL Chatara,ODI,29,19,1,2,0,17,65.52,19.0
AD Mathews,TM Head,Test,27,18,0,1,0,14,66.67,18.0
AD Mathews,TT Bresnan,ODI,25,21,1,2,0,12,84.0,21.0
AD Mathews,TT Bresnan,T20I,11,25,0,1,1,0,227.27,25.0
AD Mathews,TT Bresnan,Test,37,16,0,1,0,27,43.24,16.0
AD Mathews,Taijul Islam,ODI,26,8,0,0,0,19,30.77,8.0
AD Mathews,Taijul Islam,Test,370,156,5,15,4,287,42.16,31.2
AD Mathews,Tanzim Hasan Sakib,T20I,10,11,1,1,0,5,110.0,11.0
AD Mathews,Taskin Ahmed,T20I,10,11,0,1,0,2,110.0,11.0
AD Mathews,Taskin Ahmed,Test,21,18,1,4,0,16,85.71,18.0
AD Mathews,UT Yadav,IPL,21,27,3,2,1,5,128.57,9.0
AD Mathews,UT Yadav,ODI,85,101,1,13,0,33,118.82,101.0
AD Mathews,UT Yadav,Test,193,120,3,16,1,140,62.18,40.0
AD Mathews,Umar Gul,ODI,64,58,0,3,2,30,90.62,58.0
AD Mathews,Umar Gul,T20I,20,25,0,3,0,6,125.0,25.0
AD Mathews,Umar Gul,Test,76,41,2,6,0,51,53.95,20.5
AD Mathews,Usman Shinwari,Test,21,13,0,2,0,15,61.9,13.0
AD Mathews,V Kohli,ODI,14,16,1,3,0,7,114.29,16.0
AD Mathews,V Kohli,T20I,11,6,0,0,0,6,54.55,6.0
AD Mathews,V Permaul,Test,13,2,1,0,0,11,15.38,2.0
AD Mathews,V Sehwag,ODI,23,15,0,1,0,12,65.22,15.0
AD Mathews,VD Philander,Test,182,48,3,3,0,152,26.37,16.0
AD Mathews,VM Nyauchi,Test,145,52,1,6,0,120,35.86,52.0
AD Mathews,VR Aaron,Test,22,19,0,3,0,13,86.36,19.0
AD Mathews,W O'Rourke,Test,80,43,1,5,0,53,53.75,43.0
AD Mathews,WD Parnell,ODI,14,13,1,0,0,5,92.86,13.0
AD Mathews,WD Parnell,Test,12,4,0,0,0,10,33.33,4.0
AD Mathews,WER Somerville,Test,30,24,0,3,0,16,80.0,24.0
AD Mathews,WP Masakadza,T20I,14,8,0,0,0,7,57.14,8.0
AD Mathews,Wahab Riaz,ODI,31,28,2,3,0,15,90.32,14.0
AD Mathews,Wahab Riaz,Test,50,27,2,3,0,35,54.0,13.5
AD Mathews,Washington Sundar,ODI,22,23,0,0,2,9,104.55,23.0
AD Mathews,XJ Doherty,ODI,108,59,1,2,1,66,54.63,59.0
AD Mathews,YS Chahal,ODI,84,65,1,2,2,40,77.38,65.0
AD Mathews,Yasir Shah,ODI,36,38,3,3,1,16,105.56,12.67
AD Mathews,Yasir Shah,Test,308,136,4,15,1,234,44.16,34.0
AD Mathews,Younis Khan,Test,32,11,0,0,0,27,34.38,11.0
AD Mathews,Yuvraj Singh,ODI,12,7,2,0,0,7,58.33,3.5
AD Mathews,Yuvraj Singh,Test,20,5,0,1,0,18,25.0,5.0
AD Mathews,Z Khan,ODI,41,44,2,3,0,15,107.32,22.0
AD Mathews,Z Khan,Test,46,35,1,6,0,30,76.09,35.0
AD Mathews,Ziaur Rahman,ODI,26,16,0,1,1,18,61.54,16.0
AD Mathews,Zulfiqar Babar,Test,69,32,0,3,0,47,46.38,32.0
AD Nath,LN Rajbanshi,ODI,25,14,0,0,1,16,56.0,14.0
AD Nath,NK Yadav,T20I,10,14,0,1,1,4,140.0,14.0
AD Nath,S Lamichhane,ODI,18,13,0,0,0,6,72.22,13.0
AD Nath,S Lamichhane,T20I,11,4,0,0,0,7,36.36,4.0
AD Nath,Sompal Kami,ODI,17,19,1,1,1,6,111.76,19.0
AD Poynter,AC Evans,ODI,20,5,0,0,0,15,25.0,5.0
AD Poynter,Ahsan Malik,T20I,12,7,1,1,0,8,58.33,7.0
AD Poynter,DJG Sammy,T20I,13,12,1,2,0,8,92.31,12.0
AD Poynter,I Wardlaw,ODI,10,2,0,0,0,8,20.0,2.0
AD Poynter,JH Davey,ODI,23,14,1,1,1,16,60.87,14.0
AD Poynter,RM Haq,ODI,30,20,1,2,0,15,66.67,20.0
AD Poynter,SP Narine,T20I,11,6,1,1,0,8,54.55,6.0
AD Russell,A Mishra,IPL,20,21,2,1,1,8,105.0,10.5
AD Russell,A Nortje,IPL,12,10,0,2,0,8,83.33,10.0
AD Russell,A Nortje,T20I,12,29,2,0,4,3,241.67,14.5
AD Russell,A Zampa,T20I,28,75,1,5,7,7,267.86,75.0
AD Russell,AJ Tye,IPL,19,43,2,3,4,6,226.32,21.5
AD Russell,AM Phangiso,ODI,12,17,0,0,2,6,141.67,17.0
AD Russell,AR Patel,IPL,28,54,1,4,4,9,192.86,54.0
AD Russell,AU Rashid,T20I,34,52,2,1,6,17,152.94,26.0
AD Russell,Anureet Singh,IPL,15,43,0,4,3,1,286.67,43.0
AD Russell,Arshdeep Singh,IPL,16,34,3,4,2,6,212.5,11.33
AD Russell,Avesh Khan,IPL,25,35,3,1,4,14,140.0,11.67
AD Russell,B Kumar,IPL,37,97,1,9,8,10,262.16,97.0
AD Russell,B Lee,ODI,11,9,0,1,0,5,81.82,9.0
AD Russell,CH Morris,IPL,24,38,4,3,3,11,158.33,9.5
AD Russell,CJ McKay,ODI,34,44,2,3,2,12,129.41,22.0
AD Russell,DJ Bravo,IPL,30,78,0,4,8,5,260.0,78.0
AD Russell,DL Chahar,IPL,12,16,0,0,2,6,133.33,16.0
AD Russell,DW Steyn,ODI,15,17,0,3,0,8,113.33,17.0
AD Russell,GP Swann,ODI,14,14,0,0,1,8,100.0,14.0
AD Russell,HH Pandya,IPL,19,34,1,1,4,8,178.95,34.0
AD Russell,HV Patel,IPL,28,36,3,2,3,13,128.57,12.0
AD Russell,Harbhajan Singh,IPL,12,21,0,1,2,4,175.0,21.0
AD Russell,Harpreet Brar,IPL,16,30,0,1,3,6,187.5,30.0
AD Russell,Imran Tahir,IPL,27,26,2,3,1,16,96.3,13.0
AD Russell,Imran Tahir,ODI,11,2,2,0,0,9,18.18,1.0
AD Russell,JC Archer,IPL,31,56,0,4,5,11,180.65,56.0
AD Russell,JC Tredwell,ODI,10,9,1,0,1,6,90.0,9.0
AD Russell,JF Mooney,ODI,10,13,1,2,0,3,130.0,13.0
AD Russell,JJ Bumrah,IPL,45,57,4,7,2,20,126.67,14.25
AD Russell,JP Faulkner,ODI,18,21,1,2,1,10,116.67,21.0
AD Russell,JW Dernbach,T20I,12,14,0,2,0,4,116.67,14.0
AD Russell,K Rabada,IPL,30,64,2,5,6,12,213.33,32.0
AD Russell,K Rabada,T20I,10,14,0,0,2,6,140.0,14.0
AD Russell,KD Mills,ODI,16,13,0,0,1,8,81.25,13.0
AD Russell,KH Pandya,IPL,15,15,0,0,2,10,100.0,15.0
AD Russell,KJ Abbott,ODI,12,33,0,5,2,4,275.0,33.0
AD Russell,KK Ahmed,IPL,14,15,0,0,1,6,107.14,15.0
AD Russell,Kuldeep Yadav,IPL,10,4,1,0,0,6,40.0,4.0
AD Russell,LH Ferguson,IPL,13,13,0,0,1,4,100.0,13.0
AD Russell,M Jansen,IPL,11,12,1,0,1,5,109.09,12.0
AD Russell,M Markande,IPL,22,32,2,1,4,13,145.45,16.0
AD Russell,M Morkel,ODI,11,17,1,2,1,5,154.55,17.0
AD Russell,M Pathirana,IPL,10,14,1,1,1,4,140.0,14.0
AD Russell,MA Starc,ODI,10,10,1,2,0,7,100.0,10.0
AD Russell,MA Starc,T20I,23,55,0,1,7,8,239.13,55.0
AD Russell,MM Patel,ODI,11,15,0,2,0,4,136.36,15.0
AD Russell,MM Sharma,IPL,14,17,1,0,2,7,121.43,17.0
AD Russell,MP Stoinis,IPL,11,32,0,0,5,4,290.91,32.0
AD Russell,Mahmudullah,ODI,10,4,1,0,0,6,40.0,4.0
AD Russell,Mohammad Amir,PSL,16,23,2,2,2,10,143.75,11.5
AD Russell,Mohammed Shami,IPL,40,99,2,4,12,13,247.5,49.5
AD Russell,Mohammed Siraj,IPL,20,23,2,2,2,13,115.0,11.5
AD Russell,Mukesh Kumar,IPL,11,20,1,0,3,6,181.82,20.0
AD Russell,Mustafizur Rahman,IPL,17,19,1,3,0,8,111.76,19.0
AD Russell,Mustafizur Rahman,T20I,18,39,2,5,3,9,216.67,19.5
AD Russell,NL McCullum,ODI,13,25,1,1,3,6,192.31,25.0
AD Russell,NLTC Perera,IPL,15,22,1,3,1,7,146.67,22.0
AD Russell,NM Lyon,ODI,12,14,0,2,0,7,116.67,14.0
AD Russell,NT Ellis,IPL,11,19,0,3,0,2,172.73,19.0
AD Russell,Noor Ahmad,IPL,10,16,1,2,1,5,160.0,16.0
AD Russell,P Kumar,ODI,17,25,1,3,1,7,147.06,25.0
AD Russell,PP Chawla,IPL,10,16,1,2,1,5,160.0,16.0
AD Russell,PWH de Silva,T20I,10,19,0,1,2,4,190.0,19.0
AD Russell,R Ashwin,ODI,23,28,0,5,0,11,121.74,28.0
AD Russell,R Sharma,ODI,31,42,0,1,5,18,135.48,42.0
AD Russell,RA Jadeja,IPL,34,47,0,4,3,13,138.24,47.0
AD Russell,RA Jadeja,ODI,37,45,3,5,2,20,121.62,15.0
AD Russell,RD Chahar,IPL,33,39,0,1,3,14,118.18,39.0
AD Russell,RJW Topley,T20I,12,22,1,3,1,4,183.33,22.0
AD Russell,RS Bopara,T20I,13,14,1,1,0,4,107.69,14.0
AD Russell,Rashid Khan,IPL,27,28,4,2,2,15,103.7,7.0
AD Russell,Ravi Bishnoi,IPL,14,17,1,0,2,7,121.43,17.0
AD Russell,Rehan Ahmed,T20I,11,23,0,1,2,2,209.09,23.0
AD Russell,Rubel Hossain,T20I,15,18,0,0,2,7,120.0,18.0
AD Russell,SC Kuggeleijn,IPL,15,27,0,4,1,6,180.0,27.0
AD Russell,SH Johnson,T20I,14,35,1,5,2,5,250.0,35.0
AD Russell,SK Raina,ODI,19,28,1,2,2,8,147.37,28.0
AD Russell,SL Malinga,IPL,12,26,2,3,2,5,216.67,13.0
AD Russell,SL Malinga,T20I,12,18,1,0,2,4,150.0,18.0
AD Russell,SM Curran,IPL,23,55,2,5,5,9,239.13,27.5
AD Russell,SM Curran,T20I,10,14,1,1,1,4,140.0,14.0
AD Russell,SN Thakur,IPL,20,54,4,2,7,7,270.0,13.5
AD Russell,SR Watson,IPL,24,46,1,3,3,3,191.67,46.0
AD Russell,SR Watson,ODI,32,25,1,4,0,18,78.12,25.0
AD Russell,Sandeep Sharma,IPL,12,11,1,1,0,4,91.67,11.0
AD Russell,Shakib Al Hasan,T20I,16,23,1,0,3,8,143.75,23.0
AD Russell,T Natarajan,IPL,26,43,1,3,2,4,165.38,43.0
AD Russell,T Shamsi,T20I,15,12,1,1,0,6,80.0,12.0
AD Russell,TA Boult,IPL,10,21,2,3,1,3,210.0,10.5
AD Russell,TG Southee,IPL,16,48,1,1,6,4,300.0,48.0
AD Russell,TG Southee,ODI,20,32,1,3,2,7,160.0,32.0
AD Russell,TS Mills,T20I,12,17,1,0,2,6,141.67,17.0
AD Russell,UT Yadav,ODI,25,54,1,4,4,7,216.0,54.0
AD Russell,Umar Gul,PSL,11,26,0,4,1,4,236.36,26.0
AD Russell,Umran Malik,IPL,11,9,0,1,0,6,81.82,9.0
AD Russell,V Kohli,ODI,10,16,0,3,0,4,160.0,16.0
AD Russell,VR Aaron,IPL,16,38,0,4,3,6,237.5,38.0
AD Russell,WD Parnell,ODI,15,12,1,2,0,10,80.0,12.0
AD Russell,XJ Doherty,ODI,18,19,2,2,0,7,105.56,9.5
AD Russell,YK Pathan,ODI,15,19,0,0,2,8,126.67,19.0
AD Russell,YS Chahal,IPL,50,99,1,8,8,18,198.0,99.0
AD Russell,Yash Dayal,IPL,17,41,0,4,3,2,241.18,41.0
AD Russell,Zulfiqar Babar,PSL,11,12,1,0,1,4,109.09,12.0
ADR Campbell,TM Odoyo,ODI,19,5,0,0,0,14,26.32,5.0
ADS Fletcher,AF Milne,T20I,12,10,0,0,0,5,83.33,10.0
ADS Fletcher,AK Kitchen,T20I,14,26,0,3,2,7,185.71,26.0
ADS Fletcher,Abdur Razzak,ODI,15,19,1,3,1,10,126.67,19.0
ADS Fletcher,Abu Hider,T20I,14,6,0,0,0,8,42.86,6.0
ADS Fletcher,B Lee,ODI,41,27,1,4,0,31,65.85,27.0
ADS Fletcher,CJ Anderson,T20I,38,68,0,4,4,9,178.95,68.0
ADS Fletcher,Faheem Ashraf,T20I,10,12,0,1,1,6,120.0,12.0
ADS Fletcher,GA Lamb,ODI,10,2,1,0,0,8,20.0,2.0
ADS Fletcher,GF Linde,T20I,15,7,0,0,0,9,46.67,7.0
ADS Fletcher,HMRKB Herath,T20I,18,22,0,3,1,10,122.22,22.0
ADS Fletcher,IS Sodhi,T20I,25,25,3,2,1,13,100.0,8.33
ADS Fletcher,Imad Wasim,T20I,15,9,1,0,0,7,60.0,9.0
ADS Fletcher,Imran Tahir,ODI,11,2,2,0,0,9,18.18,1.0
ADS Fletcher,JDF Vandersay,T20I,11,9,0,0,1,8,81.82,9.0
ADS Fletcher,JDS Neesham,T20I,30,27,1,1,1,13,90.0,27.0
ADS Fletcher,JR Hazlewood,ODI,19,12,1,1,1,15,63.16,12.0
ADS Fletcher,JR Hazlewood,T20I,11,10,0,0,1,6,90.91,10.0
ADS Fletcher,JR Hopes,ODI,26,15,1,1,0,15,57.69,15.0
ADS Fletcher,K Rabada,ODI,28,12,0,1,0,20,42.86,12.0
ADS Fletcher,K Rabada,T20I,16,27,1,1,3,8,168.75,27.0
ADS Fletcher,KJ Abbott,ODI,14,5,0,0,0,12,35.71,5.0
ADS Fletcher,KMDN Kulasekara,T20I,16,20,0,2,1,8,125.0,20.0
ADS Fletcher,MA Starc,ODI,33,15,2,2,0,26,45.45,7.5
ADS Fletcher,MG Johnson,ODI,30,18,0,2,0,17,60.0,18.0
ADS Fletcher,MG Johnson,T20I,14,24,1,3,1,5,171.43,24.0
ADS Fletcher,MJ Santner,T20I,15,8,1,0,0,8,53.33,8.0
ADS Fletcher,Mahbubul Alam,ODI,16,28,0,4,2,10,175.0,28.0
ADS Fletcher,Mohammad Amir,PSL,10,4,0,0,0,7,40.0,4.0
ADS Fletcher,Mohammad Hafeez,T20I,11,21,1,0,3,5,190.91,21.0
ADS Fletcher,Mohammad Irfan,PSL,11,24,1,2,2,4,218.18,24.0
ADS Fletcher,Mohammad Nawaz (3),T20I,18,10,2,0,0,8,55.56,5.0
ADS Fletcher,Mohammad Sami,PSL,13,9,0,1,0,7,69.23,9.0
ADS Fletcher,NL McCullum,T20I,15,10,1,0,0,6,66.67,10.0
ADS Fletcher,NM Coulter-Nile,ODI,15,11,0,2,0,10,73.33,11.0
ADS Fletcher,NM Hauritz,ODI,11,5,0,0,0,6,45.45,5.0
ADS Fletcher,NW Bracken,ODI,15,2,1,0,0,13,13.33,2.0
ADS Fletcher,Naved-ul-Hasan,ODI,11,5,1,1,0,9,45.45,5.0
ADS Fletcher,PM Siddle,ODI,17,10,0,2,0,14,58.82,10.0
ADS Fletcher,PVD Chameera,T20I,22,36,1,3,2,8,163.64,36.0
ADS Fletcher,RAS Lakmal,ODI,14,7,2,1,0,11,50.0,3.5
ADS Fletcher,Rubel Hossain,T20I,10,12,0,2,0,4,120.0,12.0
ADS Fletcher,SL Malinga,ODI,16,2,1,0,0,15,12.5,2.0
ADS Fletcher,SL Malinga,T20I,28,30,2,4,1,17,107.14,15.0
ADS Fletcher,SR Patel,PSL,12,21,1,3,1,5,175.0,21.0
ADS Fletcher,SR Watson,ODI,26,21,0,1,1,14,80.77,21.0
ADS Fletcher,Shadab Khan,PSL,12,6,2,0,0,7,50.0,3.0
ADS Fletcher,Shadab Khan,T20I,11,17,0,1,1,2,154.55,17.0
ADS Fletcher,Shakib Al Hasan,ODI,11,1,1,0,0,10,9.09,1.0
ADS Fletcher,Shakib Al Hasan,T20I,16,11,0,1,0,8,68.75,11.0
ADS Fletcher,Sohail Tanvir,T20I,18,11,0,1,0,11,61.11,11.0
ADS Fletcher,Syed Rasel,ODI,14,16,1,3,0,9,114.29,16.0
ADS Fletcher,T Shamsi,T20I,14,17,1,2,0,4,121.43,17.0
ADS Fletcher,TA Boult,T20I,17,18,1,1,1,9,105.88,18.0
ADS Fletcher,TAM Siriwardana,T20I,17,38,1,2,3,3,223.53,38.0
ADS Fletcher,TG Southee,T20I,42,71,0,3,6,16,169.05,71.0
ADS Fletcher,WD Parnell,ODI,17,19,1,4,0,10,111.76,19.0
ADS Fletcher,Wahab Riaz,T20I,10,6,0,1,0,6,60.0,6.0
AE Isesele,I Kamara,T20I,12,10,0,0,0,4,83.33,10.0
AE Isesele,KS Bagabena,T20I,10,20,0,3,1,5,200.0,20.0
AE Jones,A Gardner,ODI,50,29,2,2,0,33,58.0,14.5
AE Jones,A Gardner,T20I,10,16,2,1,1,3,160.0,8.0
AE Jones,A Gardner,Test,38,14,3,2,0,31,36.84,4.67
AE Jones,A Khaka,ODI,39,38,1,6,0,19,97.44,38.0
AE Jones,A Khaka,T20I,17,20,1,1,1,7,117.65,20.0
AE Jones,A King,ODI,73,46,3,6,0,47,63.01,15.33
AE Jones,A King,Test,15,6,0,0,0,10,40.0,6.0
AE Jones,A Reddy,ODI,18,12,0,1,0,12,66.67,12.0
AE Jones,A Reddy,T20I,23,18,2,1,0,9,78.26,9.0
AE Jones,A Sutherland,ODI,50,31,1,2,1,30,62.0,31.0
AE Jones,AA Alleyne,ODI,47,48,1,6,0,21,102.13,48.0
AE Jones,AA Alleyne,T20I,14,20,0,4,0,6,142.86,20.0
AE Jones,AA Patil,T20I,11,12,0,1,0,2,109.09,12.0
AE Jones,AB Kaur,T20I,12,17,1,3,0,5,141.67,17.0
AE Jones,AC Jayangani,T20I,23,27,1,4,0,8,117.39,27.0
AE Jones,AC Kerr,ODI,136,108,1,9,0,69,79.41,108.0
AE Jones,AC Kerr,T20I,47,64,1,7,1,15,136.17,64.0
AE Jones,AE Satterthwaite,ODI,24,34,0,4,1,7,141.67,34.0
AE Jones,AE Satterthwaite,T20I,13,35,1,7,0,1,269.23,35.0
AE Jones,ASS Fletcher,ODI,93,87,1,7,0,29,93.55,87.0
AE Jones,ASS Fletcher,T20I,21,32,1,3,1,5,152.38,32.0
AE Jones,Aliya Riaz,ODI,13,5,0,0,0,8,38.46,5.0
AE Jones,Anam Amin,T20I,20,24,0,1,1,5,120.0,24.0
AE Jones,BM Halliday,ODI,17,18,2,3,0,10,105.88,9.0
AE Jones,BMSM Kumari,ODI,11,14,0,2,0,3,127.27,14.0
AE Jones,BMSM Kumari,T20I,19,32,0,5,0,4,168.42,32.0
AE Jones,Bismah Maroof,T20I,20,41,1,6,1,3,205.0,41.0
AE Jones,CA Henry,ODI,49,62,1,8,0,18,126.53,62.0
AE Jones,CA Henry,T20I,14,20,2,2,1,6,142.86,10.0
AE Jones,CL Tryon,ODI,46,39,1,4,0,20,84.78,39.0
AE Jones,CL Tryon,T20I,13,22,0,4,0,4,169.23,22.0
AE Jones,CR Seneviratna,ODI,11,10,0,1,0,4,90.91,10.0
AE Jones,CS Fraser,ODI,45,60,0,9,1,21,133.33,60.0
AE Jones,D Brown,Test,13,13,0,3,0,9,100.0,13.0
AE Jones,D Tucker,T20I,10,13,0,2,0,4,130.0,13.0
AE Jones,DB Sharma,ODI,88,61,3,4,1,46,69.32,20.33
AE Jones,DB Sharma,T20I,84,111,3,11,2,20,132.14,37.0
AE Jones,DB Sharma,Test,32,12,2,1,0,23,37.5,6.0
AE Jones,DM Kimmince,T20I,10,9,1,0,0,2,90.0,9.0
AE Jones,Diana Baig,ODI,17,24,0,3,0,5,141.18,24.0
AE Jones,Diana Baig,T20I,39,39,1,7,0,23,100.0,39.0
AE Jones,EA Osborne,T20I,12,11,0,0,0,4,91.67,11.0
AE Jones,EA Perry,ODI,20,8,3,1,0,15,40.0,2.67
AE Jones,EA Perry,T20I,43,27,4,4,0,28,62.79,6.75
AE Jones,EA Perry,Test,33,13,1,2,0,28,39.39,13.0
AE Jones,EJ Carson,ODI,33,43,0,6,0,9,130.3,43.0
AE Jones,FC Jonas,ODI,41,33,1,3,0,22,80.49,33.0
AE Jones,Fatima Sana,ODI,16,22,1,3,0,8,137.5,22.0
AE Jones,Fatima Sana,T20I,25,22,2,3,0,13,88.0,11.0
AE Jones,G Wareham,ODI,26,22,1,1,0,10,84.62,22.0
AE Jones,G Wareham,T20I,14,16,2,2,0,8,114.29,8.0
AE Jones,H Deol,T20I,12,20,1,3,1,6,166.67,20.0
AE Jones,H Kaur,ODI,13,12,0,1,0,4,92.31,12.0
AE Jones,HASD Siriwardene,ODI,54,48,2,6,0,27,88.89,24.0
AE Jones,HASD Siriwardene,T20I,16,22,1,1,1,2,137.5,22.0
AE Jones,HK Matthews,ODI,96,80,3,6,1,44,83.33,26.67
AE Jones,HK Matthews,T20I,26,32,3,4,0,9,123.08,10.67
AE Jones,HM Rowe,ODI,70,61,1,7,0,35,87.14,61.0
AE Jones,HNK Jensen,ODI,43,19,0,1,0,28,44.19,19.0
