striker,bowler,format,balls_faced,runs,dismissals,fours,sixes,dot_balls,strike_rate,average
A Brindle,EA Osborne,T20I,17,18,1,1,0,3,105.88,18.0
A Brindle,EA Osborne,Test,13,1,0,0,0,12,7.69,1.0
A Brindle,EA Perry,ODI,34,18,0,1,0,21,52.94,18.0
A Brindle,EA Perry,Test,29,5,1,1,0,26,17.24,5.0
A Brindle,G Sultana,ODI,67,44,2,3,0,36,65.67,22.0
A Brindle,HASD Siriwardene,ODI,10,11,0,2,0,5,110.0,11.0
A Brindle,HL Ferling,ODI,36,30,0,3,0,18,83.33,30.0
A Brindle,HL Ferling,Test,21,9,0,2,0,18,42.86,9.0
A Brindle,J Goswami,ODI,27,24,0,3,0,14,88.89,24.0
A Brindle,JL Hunter,ODI,21,12,2,1,0,13,57.14,6.0
A Brindle,JL Jonassen,ODI,52,32,1,3,0,30,61.54,32.0
A Brindle,JL Jonassen,T20I,22,29,0,3,0,8,131.82,29.0
A Brindle,Julie Hayes,Test,31,18,0,3,0,24,58.06,18.0
A Brindle,LC Sthalekar,Test,16,6,0,1,0,13,37.5,6.0
A Brindle,M Kapp,ODI,28,30,0,5,0,14,107.14,30.0
A Brindle,ML Schutt,ODI,18,5,0,1,0,16,27.78,5.0
A Brindle,ML Schutt,Test,17,9,0,2,0,14,52.94,9.0
A Brindle,MR Meshram,ODI,13,7,0,1,0,9,53.85,7.0
A Brindle,N Niranjana,ODI,31,27,1,2,0,15,87.1,27.0
A Brindle,Nida Dar,T20I,19,17,0,0,0,6,89.47,17.0
A Brindle,Qanita Jalil,ODI,24,10,0,1,0,17,41.67,10.0
A Brindle,RM Farrell,ODI,27,20,0,1,0,12,74.07,20.0
A Brindle,S Ismail,ODI,11,18,1,3,0,3,163.64,18.0
A Brindle,S Loubser,ODI,28,31,0,4,0,10,110.71,31.0
A Brindle,S Nitschke,Test,20,9,1,1,0,16,45.0,9.0
A Brindle,S Ravikumar,ODI,16,8,0,0,0,10,50.0,8.0
A Brindle,SA Campbelle,T20I,13,17,0,1,0,2,130.77,17.0
A Brindle,SEA Ruck,T20I,11,4,0,0,0,8,36.36,4.0
A Brindle,SJ Coyte,ODI,40,20,1,2,0,29,50.0,20.0
A Brindle,SK Dolawatte,ODI,16,5,1,0,0,11,31.25,5.0
A Brindle,SL Quintyne,T20I,13,12,0,0,0,4,92.31,12.0
A Brindle,SW Bates,ODI,12,10,0,2,0,8,83.33,10.0
A Brindle,Sadia Yousuf,ODI,30,12,1,1,0,22,40.0,12.0
A Brindle,Sadia Yousuf,T20I,22,29,1,3,0,5,131.82,29.0
A Brindle,Sana Mir,ODI,19,14,0,1,0,10,73.68,14.0
A Brindle,Sana Mir,T20I,15,14,1,1,0,7,93.33,14.0
A Brindle,Sumaiya Siddiqi,ODI,34,22,0,3,0,23,64.71,22.0
A Brindle,V Krishnamurthy,ODI,24,17,0,2,0,15,70.83,17.0
A Brown-Carrera,Farial Zia Safdar,T20I,10,9,0,1,0,6,90.0,9.0
A Busing-Volschenk,Aizaz Khan,T20I,11,10,0,0,0,4,90.91,10.0
A Busing-Volschenk,Nasrulla Rana,T20I,15,5,1,0,0,11,33.33,5.0
A Busing-Volschenk,VD Adewoye,T20I,10,28,0,1,3,2,280.0,28.0
A Busing-Volschenk,Yasim Murtaza,T20I,10,14,0,0,1,2,140.0,14.0
A Canning,DB Sharma,ODI,12,2,1,0,0,10,16.67,2.0
A Canning,F Chipare,ODI,11,5,0,0,0,6,45.45,5.0
A Canning,K Ndlovu,ODI,17,10,0,1,0,10,58.82,10.0
A Canning,L Tshuma,ODI,10,9,0,0,1,6,90.0,9.0
A Canning,Q Joseph,ODI,17,10,1,1,0,10,58.82,10.0
A Canning,SR Taylor,ODI,12,7,0,0,0,7,58.33,7.0
A Canning,Z James,ODI,12,5,0,0,0,7,41.67,5.0
A Capsey,A Dercksen,ODI,11,6,0,1,0,8,54.55,6.0
A Capsey,A Gardner,ODI,14,4,1,0,0,10,28.57,4.0
A Capsey,A Gardner,T20I,16,34,0,5,1,3,212.5,34.0
A Capsey,A Khaka,ODI,26,16,0,3,0,19,61.54,16.0
A Capsey,A King,ODI,36,11,1,0,0,25,30.56,11.0
A Capsey,A Reddy,T20I,19,15,2,1,0,8,78.95,7.5
A Capsey,A Sutherland,ODI,23,32,0,6,0,10,139.13,32.0
A Capsey,A Sutherland,T20I,10,9,1,1,0,4,90.0,9.0
A Capsey,AC Jayangani,T20I,11,10,1,1,0,4,90.91,10.0
A Capsey,AC Kerr,ODI,34,23,1,2,0,20,67.65,23.0
A Capsey,AC Kerr,T20I,52,51,5,3,1,18,98.08,10.2
A Capsey,ASS Fletcher,ODI,11,13,0,0,0,2,118.18,13.0
A Capsey,Aliya Riaz,ODI,13,12,0,2,0,7,92.31,12.0
A Capsey,Ayesha Zafar,ODI,17,10,0,0,0,9,58.82,10.0
A Capsey,BG Illing,T20I,23,22,0,3,0,12,95.65,22.0
A Capsey,CL Tryon,T20I,18,22,0,4,0,8,122.22,22.0
A Capsey,D Brown,T20I,14,14,1,1,0,6,100.0,14.0
A Capsey,DB Sharma,T20I,32,48,0,7,0,6,150.0,48.0
A Capsey,EA Perry,ODI,14,20,0,5,0,9,142.86,20.0
