striker,matches,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
A Turkmen,15.0,262.0,197.0,11.0,77.0,24.0,12.0,23.82,132.99,39.09,18.27
R Tari,26.0,262.0,254.0,19.0,102.0,11.0,9.0,13.79,103.15,40.16,7.87
Arafat Minhas,18.0,262.0,225.0,13.0,105.0,27.0,10.0,20.15,116.44,46.67,16.44
Qamar Mushtaque,27.0,261.0,256.0,16.0,111.0,17.0,10.0,16.31,101.95,43.36,10.55
B Zuiderent,20.0,261.0,453.0,18.0,295.0,21.0,3.0,14.5,57.62,65.12,5.3
K Tesarikova,16.0,261.0,256.0,13.0,119.0,37.0,0.0,20.08,101.95,46.48,14.45
L Phiri,25.0,261.0,406.0,20.0,235.0,19.0,0.0,13.05,64.29,57.88,4.68
SC Getkate,23.0,261.0,230.0,22.0,84.0,11.0,14.0,11.86,113.48,36.52,10.87
Z Bimenyimana,46.0,261.0,216.0,32.0,110.0,15.0,15.0,8.16,120.83,50.93,13.89
F Samanyika,23.0,261.0,477.0,23.0,309.0,21.0,0.0,11.35,54.72,64.78,4.4
SF Daley,28.0,261.0,412.0,24.0,249.0,21.0,2.0,10.88,63.35,60.44,5.58
T Putthawong,35.0,260.0,455.0,22.0,277.0,17.0,0.0,11.82,57.14,60.88,3.74
Hasan Mahmud,36.0,260.0,549.0,24.0,426.0,24.0,8.0,10.83,47.36,77.6,5.83
KH Abe,21.0,260.0,215.0,17.0,92.0,16.0,13.0,15.29,120.93,42.79,13.49
Atharva Taide,10.0,260.0,177.0,9.0,63.0,30.0,8.0,28.89,146.89,35.59,21.47
A Venkatesh,15.0,260.0,241.0,11.0,88.0,24.0,2.0,23.64,107.88,36.51,10.79
C Hartmann,19.0,259.0,259.0,14.0,110.0,16.0,9.0,18.5,100.0,42.47,9.65
IJ Harvey,17.0,259.0,282.0,12.0,144.0,31.0,2.0,21.58,91.84,51.06,11.7
Amoluk Singh,12.0,258.0,240.0,11.0,124.0,36.0,5.0,23.45,107.5,51.67,17.08
AN Kervezee,15.0,258.0,349.0,18.0,196.0,23.0,1.0,14.33,73.93,56.16,6.88
SY Nihute,17.0,258.0,292.0,15.0,125.0,14.0,4.0,17.2,88.36,42.81,6.16
Lucas Rossi,17.0,258.0,265.0,16.0,130.0,24.0,4.0,16.12,97.36,49.06,10.57
RA Herman,14.0,258.0,220.0,12.0,93.0,21.0,10.0,21.5,117.27,42.27,14.09
Azhar Andani,11.0,258.0,242.0,10.0,105.0,30.0,1.0,25.8,106.61,43.39,12.81
ASF Sirah,20.0,257.0,214.0,14.0,86.0,26.0,8.0,18.36,120.09,40.19,15.89
KO Otieno,19.0,257.0,580.0,19.0,438.0,29.0,4.0,13.53,44.31,75.52,5.69
K Shrestha,31.0,257.0,343.0,24.0,198.0,25.0,0.0,10.71,74.93,57.73,7.29
Nasrulla Rana,36.0,257.0,222.0,24.0,96.0,18.0,12.0,10.71,115.77,43.24,13.51
G Wetherall,19.0,257.0,229.0,14.0,115.0,31.0,6.0,18.36,112.23,50.22,16.16
RRS Cornwall,9.0,256.0,424.0,13.0,304.0,35.0,4.0,19.69,60.38,71.7,9.2
JF Smith,12.0,256.0,248.0,8.0,118.0,23.0,8.0,32.0,103.23,47.58,12.5
Mudassar Bukhari,30.0,255.0,303.0,24.0,144.0,13.0,7.0,10.62,84.16,47.52,6.6
S Kato,24.0,255.0,330.0,21.0,175.0,26.0,0.0,12.14,77.27,53.03,7.88
AA Patil,24.0,255.0,240.0,15.0,91.0,26.0,1.0,17.0,106.25,37.92,11.25
D Cleaver,12.0,254.0,202.0,11.0,79.0,25.0,8.0,23.09,125.74,39.11,16.34
NMS Param,12.0,254.0,201.0,9.0,63.0,21.0,7.0,28.22,126.37,31.34,13.93
CMG Atkins,6.0,254.0,604.0,8.0,463.0,30.0,0.0,31.75,42.05,76.66,4.97
Kashif Siddique,11.0,254.0,184.0,12.0,83.0,39.0,6.0,21.17,138.04,45.11,24.46
Yasin Patel,29.0,253.0,287.0,17.0,121.0,10.0,8.0,14.88,88.15,42.16,6.27
Jordan O'Brien,24.0,253.0,238.0,22.0,106.0,26.0,4.0,11.5,106.3,44.54,12.61
Sayed Monib,24.0,253.0,139.0,15.0,43.0,14.0,22.0,16.87,182.01,30.94,25.9
Ameer Saiyed,19.0,253.0,266.0,16.0,125.0,20.0,4.0,15.81,95.11,46.99,9.02
S Choden,32.0,253.0,438.0,26.0,248.0,12.0,0.0,9.73,57.76,56.62,2.74
Khurram Nawaz,18.0,253.0,239.0,12.0,102.0,17.0,11.0,21.08,105.86,42.68,11.72
Khizar Hayat,29.0,253.0,261.0,19.0,90.0,15.0,5.0,13.32,96.93,34.48,7.66
R Coker,30.0,252.0,385.0,26.0,229.0,18.0,2.0,9.69,65.45,59.48,5.19
H Goto,27.0,252.0,414.0,24.0,236.0,12.0,0.0,10.5,60.87,57.0,2.9
AM Peterson,26.0,251.0,297.0,21.0,153.0,22.0,3.0,11.95,84.51,51.52,8.42
Omair Yousuf,13.0,251.0,199.0,12.0,71.0,23.0,8.0,20.92,126.13,35.68,15.58
ST Gabriel,64.0,251.0,718.0,59.0,603.0,29.0,6.0,4.25,34.96,83.98,4.87
I Ranaweera,66.0,250.0,622.0,28.0,444.0,21.0,0.0,8.93,40.19,71.38,3.38
Yasir Arafat,18.0,250.0,379.0,12.0,244.0,24.0,5.0,20.83,65.96,64.38,7.65
C Overton,13.0,250.0,491.0,15.0,364.0,27.0,2.0,16.67,50.92,74.13,5.91
FA Cossa,15.0,250.0,222.0,10.0,119.0,24.0,13.0,25.0,112.61,53.6,16.67
B Kohler-Cadmore,7.0,249.0,127.0,6.0,42.0,29.0,14.0,41.5,196.06,33.07,33.86
HMCM Bandara,20.0,249.0,400.0,14.0,261.0,17.0,6.0,17.79,62.25,65.25,5.75
Kanchan Rana,14.0,249.0,261.0,13.0,107.0,19.0,0.0,19.15,95.4,41.0,7.28
DA Marillier,10.0,249.0,350.0,10.0,200.0,23.0,2.0,24.9,71.14,57.14,7.14
SH Venugopal,13.0,249.0,231.0,11.0,81.0,14.0,7.0,22.64,107.79,35.06,9.09
K Gowtham,28.0,249.0,151.0,19.0,51.0,15.0,17.0,13.11,164.9,33.77,21.19
Aminuddin Ramly,19.0,249.0,167.0,15.0,55.0,11.0,19.0,16.6,149.1,32.93,17.96
M Raikes,7.0,248.0,161.0,6.0,50.0,25.0,10.0,41.33,154.04,31.06,21.74
Muhammad Siddiqui,11.0,248.0,208.0,12.0,103.0,24.0,12.0,20.67,119.23,49.52,17.31
SN Shihepo,48.0,247.0,335.0,30.0,176.0,19.0,0.0,8.23,73.73,52.54,5.67
D Muhumuza,18.0,247.0,248.0,11.0,115.0,19.0,9.0,22.45,99.6,46.37,11.29
PA van Meekeren,46.0,247.0,277.0,31.0,150.0,17.0,9.0,7.97,89.17,54.15,9.39
F Tunnicliffe,18.0,247.0,304.0,14.0,161.0,27.0,1.0,17.64,81.25,52.96,9.21
Tapash Baisya,20.0,246.0,358.0,18.0,236.0,28.0,2.0,13.67,68.72,65.92,8.38
Abhishek Ahuja,12.0,246.0,216.0,12.0,93.0,19.0,10.0,20.5,113.89,43.06,13.43
S Laomi,44.0,246.0,406.0,30.0,238.0,16.0,0.0,8.2,60.59,58.62,3.94
F Mutizwa,14.0,245.0,372.0,12.0,220.0,17.0,3.0,20.42,65.86,59.14,5.38
A Ostergaard,15.0,245.0,298.0,14.0,166.0,28.0,3.0,17.5,82.21,55.7,10.4
Kainat Imtiaz,26.0,245.0,416.0,23.0,256.0,19.0,0.0,10.65,58.89,61.54,4.57
C Mahamalage,25.0,245.0,386.0,18.0,223.0,19.0,0.0,13.61,63.47,57.77,4.92
SC van Schalkwyk,21.0,245.0,320.0,14.0,178.0,20.0,6.0,17.5,76.56,55.62,8.12
MD Bell,5.0,245.0,510.0,8.0,401.0,42.0,0.0,30.62,48.04,78.63,8.24
JAD Lawrenson,10.0,244.0,291.0,9.0,130.0,18.0,2.0,27.11,83.85,44.67,6.87
KDU Prabodhani,57.0,244.0,592.0,35.0,430.0,20.0,0.0,6.97,41.22,72.64,3.38
AA Rahayu,24.0,244.0,260.0,16.0,129.0,20.0,7.0,15.25,93.85,49.62,10.38
Awais Ahmed,16.0,244.0,219.0,14.0,103.0,25.0,9.0,17.43,111.42,47.03,15.53
MS Panesar,51.0,244.0,818.0,48.0,685.0,25.0,1.0,5.08,29.83,83.74,3.18
S Foster,18.0,243.0,262.0,14.0,113.0,19.0,0.0,17.36,92.75,43.13,7.25
Amir Zaib,16.0,243.0,192.0,13.0,69.0,21.0,7.0,18.69,126.56,35.94,14.58
S Houghton,19.0,243.0,307.0,19.0,174.0,19.0,7.0,12.79,79.15,56.68,8.47
P Mujaji,25.0,243.0,340.0,21.0,193.0,23.0,2.0,11.57,71.47,56.76,7.35
B Evans,30.0,243.0,275.0,27.0,150.0,14.0,9.0,9.0,88.36,54.55,8.36
BM Pecic,12.0,243.0,216.0,12.0,98.0,16.0,14.0,20.25,112.5,45.37,13.89
Harpreet Brar,27.0,243.0,205.0,13.0,83.0,20.0,9.0,18.69,118.54,40.49,14.15
AIV Benatar,11.0,243.0,296.0,7.0,144.0,20.0,0.0,34.71,82.09,48.65,6.76
Karri Gullem Keen,17.0,243.0,296.0,15.0,166.0,32.0,1.0,16.2,82.09,56.08,11.15
P Maziya,28.0,242.0,427.0,25.0,262.0,18.0,0.0,9.68,56.67,61.36,4.22
C Tommy,18.0,242.0,259.0,17.0,117.0,16.0,6.0,14.24,93.44,45.17,8.49
M Veringmeier,11.0,242.0,217.0,10.0,74.0,24.0,4.0,24.2,111.52,34.1,12.9
NFI McCallum,14.0,241.0,374.0,12.0,251.0,23.0,5.0,20.08,64.44,67.11,7.49
Aaftab Alam Khan,21.0,241.0,194.0,14.0,77.0,20.0,9.0,17.21,124.23,39.69,14.95
Danish Kaneria,35.0,240.0,471.0,32.0,359.0,29.0,2.0,7.5,50.96,76.22,6.58
D Sabir,22.0,240.0,209.0,16.0,75.0,19.0,6.0,15.0,114.83,35.89,11.96
A Aitken-Drummond,24.0,240.0,312.0,21.0,180.0,28.0,2.0,11.43,76.92,57.69,9.62
AB Kamara,19.0,240.0,262.0,16.0,110.0,9.0,8.0,15.0,91.6,41.98,6.49
JC Tredwell,32.0,240.0,349.0,17.0,211.0,19.0,5.0,14.12,68.77,60.46,6.88
KA Hope,11.0,239.0,442.0,14.0,331.0,34.0,0.0,17.07,54.07,74.89,7.69
RMMP Rathnayake,7.0,239.0,411.0,10.0,301.0,28.0,3.0,23.9,58.15,73.24,7.54
F Suluoto,24.0,238.0,247.0,18.0,130.0,15.0,12.0,13.22,96.36,52.63,10.93
JDF Vandersay,27.0,238.0,382.0,18.0,237.0,20.0,3.0,13.22,62.3,62.04,6.02
C Dickson,18.0,238.0,249.0,15.0,107.0,13.0,7.0,15.87,95.58,42.97,8.03
FY Fazal,12.0,238.0,234.0,9.0,103.0,29.0,2.0,26.44,101.71,44.02,13.25
CA Young,48.0,238.0,296.0,26.0,168.0,17.0,8.0,9.15,80.41,56.76,8.45
Mohammad Shahzad (2),17.0,238.0,242.0,14.0,129.0,24.0,7.0,17.0,98.35,53.31,12.81
BL Morgan,6.0,238.0,785.0,7.0,653.0,23.0,0.0,34.0,30.32,83.18,2.93
Musa Ahmed,13.0,238.0,371.0,13.0,234.0,20.0,3.0,18.31,64.15,63.07,6.2
Mohamed Arief,14.0,237.0,193.0,11.0,72.0,26.0,5.0,21.55,122.8,37.31,16.06
MD Mishra,17.0,237.0,208.0,15.0,97.0,24.0,8.0,15.8,113.94,46.63,15.38
JD Unadkat,31.0,237.0,258.0,17.0,136.0,18.0,8.0,13.94,91.86,52.71,10.08
MPP San,32.0,236.0,390.0,28.0,241.0,19.0,0.0,8.43,60.51,61.79,4.87
RR Powar,25.0,236.0,322.0,17.0,178.0,20.0,3.0,13.88,73.29,55.28,7.14
H Kaushik,17.0,236.0,212.0,13.0,99.0,6.0,18.0,18.15,111.32,46.7,11.32
D Saxena,8.0,236.0,257.0,14.0,122.0,25.0,0.0,16.86,91.83,47.47,9.73
AD Poynter,15.0,236.0,263.0,14.0,142.0,20.0,9.0,16.86,89.73,53.99,11.03
A Dirannehelage,15.0,236.0,347.0,11.0,193.0,28.0,0.0,21.45,68.01,55.62,8.07
EN Lynch,42.0,236.0,362.0,28.0,228.0,26.0,0.0,8.43,65.19,62.98,7.18
A Pusthay,18.0,236.0,263.0,17.0,129.0,23.0,3.0,13.88,89.73,49.05,9.89
JP Bray,12.0,236.0,384.0,11.0,253.0,25.0,2.0,21.45,61.46,65.89,7.03
K Reyneke,13.0,235.0,161.0,5.0,54.0,18.0,14.0,47.0,145.96,33.54,19.88
CE Coulter Reilly,18.0,235.0,356.0,14.0,210.0,23.0,0.0,16.79,66.01,58.99,6.46
Izaz Ali,15.0,235.0,184.0,15.0,82.0,20.0,12.0,15.67,127.72,44.57,17.39
BF Mailata,15.0,234.0,240.0,12.0,124.0,14.0,14.0,19.5,97.5,51.67,11.67
Saqib Zulfiqar,17.0,234.0,292.0,12.0,157.0,16.0,6.0,19.5,80.14,53.77,7.53
DF Watts,13.0,234.0,325.0,13.0,198.0,25.0,3.0,18.0,72.0,60.92,8.62
A Perera,23.0,234.0,334.0,20.0,175.0,16.0,0.0,11.7,70.06,52.4,4.79
O Batisani,15.0,233.0,316.0,14.0,190.0,28.0,0.0,16.64,73.73,60.13,8.86
A Oxley,8.0,233.0,266.0,7.0,115.0,15.0,2.0,33.29,87.59,43.23,6.39
LM Kasperek,40.0,233.0,358.0,29.0,204.0,18.0,0.0,8.03,65.08,56.98,5.03
DR Gibson,24.0,233.0,188.0,16.0,72.0,32.0,2.0,14.56,123.94,38.3,18.09
AD Nath,16.0,233.0,243.0,13.0,108.0,14.0,10.0,17.92,95.88,44.44,9.88
RMS Eranga,28.0,233.0,540.0,19.0,432.0,31.0,0.0,12.26,43.15,80.0,5.74
J Miyaji,27.0,233.0,218.0,21.0,88.0,5.0,14.0,11.1,106.88,40.37,8.72
AJ Tye,35.0,232.0,201.0,20.0,95.0,16.0,11.0,11.6,115.42,47.26,13.43
GT Taylor,21.0,232.0,286.0,18.0,169.0,24.0,7.0,12.89,81.12,59.09,10.84
Umair Qasim,23.0,232.0,237.0,17.0,119.0,21.0,7.0,13.65,97.89,50.21,11.81
Abdullah Fazal,9.0,232.0,349.0,9.0,240.0,25.0,7.0,25.78,66.48,68.77,9.17
J Tuffin,19.0,232.0,241.0,14.0,97.0,12.0,5.0,16.57,96.27,40.25,7.05
V Zimonjic,24.0,232.0,206.0,17.0,81.0,24.0,3.0,13.65,112.62,39.32,13.11
VE Tembo,19.0,231.0,194.0,16.0,95.0,25.0,8.0,14.44,119.07,48.97,17.01
I Chuma,32.0,231.0,352.0,25.0,200.0,20.0,0.0,9.24,65.62,56.82,5.68
Shahil Momin,15.0,231.0,251.0,11.0,99.0,14.0,1.0,21.0,92.03,39.44,5.98
Mohamed Azzam,30.0,231.0,316.0,24.0,161.0,13.0,2.0,9.62,73.1,50.95,4.75
P Murungi,23.0,231.0,197.0,17.0,92.0,21.0,8.0,13.59,117.26,46.7,14.72
LH Ferguson,51.0,231.0,334.0,28.0,191.0,13.0,7.0,8.25,69.16,57.19,5.99
Khadija Khalil,41.0,231.0,376.0,31.0,209.0,11.0,0.0,7.45,61.44,55.59,2.93
BAD Manenti,11.0,231.0,160.0,10.0,57.0,20.0,12.0,23.1,144.38,35.62,20.0
AB McDonald,13.0,230.0,317.0,10.0,197.0,20.0,4.0,23.0,72.56,62.15,7.57
EMDY Munaweera,15.0,230.0,193.0,15.0,96.0,27.0,7.0,15.33,119.17,49.74,17.62
R Escobar,15.0,230.0,300.0,11.0,137.0,11.0,2.0,20.91,76.67,45.67,4.33
BJ Dwarshuis,21.0,230.0,243.0,14.0,111.0,13.0,9.0,16.43,94.65,45.68,9.05
IY Mckeon,10.0,230.0,207.0,11.0,110.0,28.0,7.0,20.91,111.11,53.14,16.91
B Mavuta,21.0,229.0,355.0,18.0,239.0,24.0,4.0,12.72,64.51,67.32,7.89
Zulfiqar Babar,27.0,229.0,291.0,14.0,182.0,20.0,7.0,16.36,78.69,62.54,9.28
EA Osborne,26.0,229.0,321.0,14.0,181.0,21.0,2.0,16.36,71.34,56.39,7.17
E Solomon,8.0,229.0,209.0,7.0,75.0,24.0,0.0,32.71,109.57,35.89,11.48
B Ito-Davis,19.0,228.0,206.0,16.0,69.0,13.0,5.0,14.25,110.68,33.5,8.74
Z Kamara,30.0,227.0,274.0,22.0,147.0,21.0,0.0,10.32,82.85,53.65,7.66
Devender Singh,18.0,227.0,219.0,13.0,97.0,17.0,7.0,17.46,103.65,44.29,10.96
Nayeem Hasan,12.0,227.0,561.0,16.0,419.0,20.0,0.0,14.19,40.46,74.69,3.57
CJ McKay,35.0,227.0,389.0,24.0,249.0,17.0,3.0,9.46,58.35,64.01,5.14
D Njoroge,13.0,227.0,243.0,8.0,111.0,23.0,0.0,28.38,93.42,45.68,9.47
Zeeshan Ashraf,14.0,226.0,180.0,14.0,76.0,26.0,7.0,16.14,125.56,42.22,18.33
AY Patel,23.0,226.0,589.0,21.0,474.0,22.0,5.0,10.76,38.37,80.48,4.58
N Caruana,11.0,226.0,338.0,10.0,155.0,6.0,0.0,22.6,66.86,45.86,1.78
Saad Nasim,13.0,226.0,240.0,11.0,106.0,18.0,5.0,20.55,94.17,44.17,9.58
AM Samad,10.0,226.0,369.0,8.0,241.0,23.0,1.0,28.25,61.25,65.31,6.5
MA Baig,13.0,226.0,256.0,7.0,119.0,19.0,3.0,32.29,88.28,46.48,8.59
SW Poynter,22.0,226.0,242.0,17.0,115.0,19.0,4.0,13.29,93.39,47.52,9.5
F Eseigbe,28.0,225.0,452.0,23.0,287.0,12.0,0.0,9.78,49.78,63.5,2.65
KNA Bandara,9.0,225.0,296.0,9.0,142.0,13.0,4.0,25.0,76.01,47.97,5.74
DG Blampied,24.0,225.0,244.0,16.0,92.0,12.0,1.0,14.06,92.21,37.7,5.33
Shamyl Hussain,11.0,225.0,176.0,11.0,72.0,16.0,13.0,20.45,127.84,40.91,16.48
J Kila,20.0,225.0,290.0,17.0,171.0,18.0,7.0,13.24,77.59,58.97,8.62
C White,6.0,224.0,370.0,5.0,256.0,24.0,3.0,44.8,60.54,69.19,7.3
Kaleemullah,46.0,224.0,237.0,28.0,124.0,11.0,13.0,8.0,94.51,52.32,10.13
P Sabu,14.0,224.0,241.0,15.0,116.0,21.0,0.0,14.93,92.95,48.13,8.71
Shariz Ahmad,24.0,224.0,344.0,19.0,193.0,16.0,0.0,11.79,65.12,56.1,4.65
Mahmud Jasat,17.0,224.0,307.0,15.0,163.0,14.0,2.0,14.93,72.96,53.09,5.21
SKDT Madusanka,13.0,224.0,249.0,10.0,142.0,30.0,2.0,22.4,89.96,57.03,12.85
UWMBCA Welegedara,22.0,224.0,435.0,24.0,339.0,31.0,4.0,9.33,51.49,77.93,8.05
MM English,5.0,224.0,309.0,3.0,170.0,15.0,5.0,74.67,72.49,55.02,6.47
R Sharma,28.0,224.0,181.0,15.0,82.0,16.0,12.0,14.93,123.76,45.3,15.47
Rony Talukdar,10.0,224.0,174.0,10.0,73.0,24.0,7.0,22.4,128.74,41.95,17.82
CBRLS Kumara,52.0,224.0,624.0,41.0,522.0,35.0,1.0,5.46,35.9,83.65,5.77
G Thakur,11.0,224.0,185.0,9.0,83.0,24.0,6.0,24.89,121.08,44.86,16.22
K Arua,17.0,223.0,297.0,12.0,155.0,17.0,0.0,18.58,75.08,52.19,5.72
R Dhawan,25.0,223.0,202.0,11.0,92.0,19.0,7.0,20.27,110.4,45.54,12.87
Hammad Azam,23.0,223.0,276.0,18.0,136.0,16.0,4.0,12.39,80.8,49.28,7.25
SJ Elliott,4.0,223.0,633.0,3.0,492.0,17.0,0.0,74.33,35.23,77.73,2.69
Zeshan Arif,19.0,223.0,185.0,14.0,89.0,17.0,13.0,15.93,120.54,48.11,16.22
S Maduranga,19.0,223.0,290.0,13.0,164.0,20.0,5.0,17.15,76.9,56.55,8.62
Luka Woods,7.0,222.0,154.0,8.0,66.0,18.0,15.0,27.75,144.16,42.86,21.43
DP Vaidya,15.0,222.0,289.0,11.0,154.0,22.0,1.0,20.18,76.82,53.29,7.96
A Shahi,19.0,222.0,151.0,16.0,67.0,13.0,17.0,13.88,147.02,44.37,19.87
Akhil Anil,20.0,222.0,192.0,15.0,84.0,17.0,10.0,14.8,115.62,43.75,14.06
A Kontopirakis,15.0,222.0,238.0,13.0,122.0,18.0,5.0,17.08,93.28,51.26,9.66
Nasibullah Arab,10.0,222.0,131.0,10.0,56.0,26.0,12.0,22.2,169.47,42.75,29.01
CN Onwuzulike,18.0,222.0,219.0,17.0,104.0,17.0,8.0,13.06,101.37,47.49,11.42
K Mirpuri,19.0,222.0,223.0,5.0,73.0,15.0,4.0,44.4,99.55,32.74,8.52
Junaid Khan,60.0,222.0,469.0,39.0,348.0,20.0,4.0,5.69,47.33,74.2,5.12
UCKA Dona,24.0,222.0,375.0,17.0,230.0,15.0,1.0,13.06,59.2,61.33,4.27
ZP Ikiua,13.0,221.0,263.0,13.0,149.0,27.0,1.0,17.0,84.03,56.65,10.65
MJ McClenaghan,42.0,221.0,233.0,21.0,131.0,17.0,12.0,10.52,94.85,56.22,12.45
C Chukwuonye,28.0,221.0,300.0,22.0,180.0,22.0,1.0,10.05,73.67,60.0,7.67
Delawar Khan,20.0,221.0,165.0,16.0,68.0,13.0,13.0,13.81,133.94,41.21,15.76
AWJ Auguste,13.0,221.0,207.0,11.0,109.0,16.0,13.0,20.09,106.76,52.66,14.01
C Potgieter,11.0,220.0,174.0,10.0,78.0,14.0,15.0,22.0,126.44,44.83,16.67
RM Haq,22.0,220.0,400.0,16.0,256.0,19.0,1.0,13.75,55.0,64.0,5.0
Hadisullah Tarakhel,8.0,220.0,122.0,7.0,52.0,24.0,15.0,31.43,180.33,42.62,31.97
SB Dubey,17.0,220.0,143.0,11.0,47.0,17.0,13.0,20.0,153.85,32.87,20.98
Asim Kamal,3.0,219.0,453.0,4.0,356.0,35.0,1.0,54.75,48.34,78.59,7.95
Ali Farasat,20.0,219.0,185.0,19.0,80.0,12.0,12.0,11.53,118.38,43.24,12.97
E Mathew,22.0,219.0,236.0,19.0,106.0,11.0,6.0,11.53,92.8,44.92,7.2
MK Amusa,14.0,219.0,337.0,15.0,207.0,20.0,0.0,14.6,64.99,61.42,5.93
DR Chumney,11.0,219.0,327.0,10.0,208.0,19.0,6.0,21.9,66.97,63.61,7.65
DK Anefie,21.0,218.0,187.0,16.0,79.0,9.0,11.0,13.62,116.58,42.25,10.7
Saeed Anwar,5.0,218.0,303.0,5.0,176.0,19.0,1.0,43.6,71.95,58.09,6.6
Natim Hassam,11.0,218.0,195.0,6.0,73.0,19.0,5.0,36.33,111.79,37.44,12.31
S Cotter,15.0,218.0,223.0,15.0,109.0,24.0,3.0,14.53,97.76,48.88,12.11
K Goel,16.0,218.0,231.0,14.0,122.0,17.0,9.0,15.57,94.37,52.81,11.26
K Gore,15.0,218.0,277.0,13.0,154.0,17.0,4.0,16.77,78.7,55.6,7.58
M Kartik,23.0,217.0,249.0,14.0,112.0,16.0,2.0,15.5,87.15,44.98,7.23
RS Glen,18.0,217.0,210.0,16.0,101.0,22.0,2.0,13.56,103.33,48.1,11.43
Khalid Ahmadi,19.0,217.0,121.0,11.0,43.0,16.0,17.0,19.73,179.34,35.54,27.27
AA Jhunjhunwala,15.0,217.0,210.0,14.0,89.0,19.0,5.0,15.5,103.33,42.38,11.43
CO Browne,10.0,217.0,261.0,9.0,143.0,19.0,6.0,24.11,83.14,54.79,9.58
R Poddar,22.0,216.0,271.0,17.0,132.0,17.0,1.0,12.71,79.7,48.71,6.64
M Klinger,7.0,216.0,189.0,7.0,68.0,21.0,2.0,30.86,114.29,35.98,12.17
Baseer Khan,21.0,216.0,198.0,14.0,74.0,13.0,9.0,15.43,109.09,37.37,11.11
ARA Chambers,13.0,216.0,231.0,12.0,107.0,25.0,1.0,18.0,93.51,46.32,11.26
Waqas Khan,18.0,216.0,289.0,12.0,144.0,9.0,5.0,18.0,74.74,49.83,4.84
Ali Saleem,12.0,216.0,178.0,12.0,77.0,14.0,11.0,18.0,121.35,43.26,14.04
Atif Rasheed,15.0,215.0,180.0,15.0,78.0,12.0,10.0,14.33,119.44,43.33,12.22
SW Masakadza,18.0,215.0,372.0,19.0,272.0,20.0,6.0,11.32,57.8,73.12,6.99
B Etim,20.0,215.0,309.0,17.0,188.0,22.0,1.0,12.65,69.58,60.84,7.44
D Forrester,11.0,215.0,154.0,6.0,61.0,11.0,15.0,35.83,139.61,39.61,16.88
N Sibanda,30.0,215.0,466.0,22.0,320.0,13.0,0.0,9.77,46.14,68.67,2.79
AR Bisht,11.0,215.0,246.0,11.0,117.0,14.0,5.0,19.55,87.4,47.56,7.72
S Khurana,20.0,214.0,214.0,15.0,84.0,22.0,0.0,14.27,100.0,39.25,10.28
P Suanchuai,23.0,214.0,308.0,22.0,182.0,18.0,3.0,9.73,69.48,59.09,6.82
HV Mandhyan,17.0,214.0,221.0,15.0,105.0,15.0,7.0,14.27,96.83,47.51,9.95
MP Ainsworth,16.0,214.0,269.0,13.0,127.0,12.0,3.0,16.46,79.55,47.21,5.58
CJO Smith,14.0,214.0,290.0,14.0,172.0,29.0,0.0,15.29,73.79,59.31,10.0
DL Piedt,11.0,214.0,619.0,14.0,506.0,20.0,3.0,15.29,34.57,81.74,3.72
LOB Cann,10.0,214.0,172.0,10.0,89.0,23.0,10.0,21.4,124.42,51.74,19.19
KTK Rodrigo,12.0,214.0,231.0,12.0,112.0,22.0,3.0,17.83,92.64,48.48,10.82
PZ Kamunya,32.0,213.0,300.0,27.0,173.0,21.0,0.0,7.89,71.0,57.67,7.0
K Nestor,25.0,213.0,229.0,20.0,122.0,19.0,7.0,10.65,93.01,53.28,11.35
N Khanna,20.0,213.0,161.0,12.0,59.0,24.0,4.0,17.75,132.3,36.65,17.39
IE O'Brien,20.0,213.0,545.0,27.0,449.0,28.0,1.0,7.89,39.08,82.39,5.32
JKC Claxton,21.0,213.0,225.0,15.0,124.0,25.0,5.0,14.2,94.67,55.11,13.33
Saad Baig,12.0,213.0,169.0,12.0,72.0,34.0,1.0,17.75,126.04,42.6,20.71
A Busing-Volschenk,11.0,213.0,150.0,7.0,51.0,4.0,17.0,30.43,142.0,34.0,14.0
Iftikhar Anjum,29.0,212.0,364.0,17.0,229.0,14.0,3.0,12.47,58.24,62.91,4.67
RO Hinds,8.0,211.0,595.0,13.0,488.0,24.0,2.0,16.23,35.46,82.02,4.37
ZL Win,29.0,211.0,271.0,24.0,143.0,20.0,0.0,8.79,77.86,52.77,7.38
Khalid Zahid,19.0,211.0,149.0,16.0,49.0,15.0,10.0,13.19,141.61,32.89,16.78
Hamid Safi,17.0,211.0,144.0,12.0,72.0,8.0,21.0,17.58,146.53,50.0,20.14
Muhammad Fahad,4.0,211.0,89.0,4.0,27.0,21.0,17.0,52.75,237.08,30.34,42.7
CJ Delany,9.0,210.0,193.0,7.0,86.0,22.0,1.0,30.0,108.81,44.56,11.92
MBA Lamplough,26.0,210.0,272.0,21.0,133.0,13.0,0.0,10.0,77.21,48.9,4.78
M Bhanuka,11.0,210.0,277.0,12.0,162.0,21.0,2.0,17.5,75.81,58.48,8.3
WL Madsen,9.0,210.0,174.0,8.0,63.0,20.0,5.0,26.25,120.69,36.21,14.37
J Pandey,12.0,210.0,252.0,9.0,126.0,21.0,0.0,23.33,83.33,50.0,8.33
ZXM Vukusic,8.0,210.0,161.0,8.0,61.0,14.0,12.0,26.25,130.43,37.89,16.15
