striker,year,format,runs,balls_faced,dismissals,matches,fours,sixes,average,strike_rate,lag1_runs,lag1_avg,lag1_sr,lag1_matches,career_runs_to_date,predicted_runs,shap_lag1_runs,shap_lag1_avg,shap_lag1_sr,shap_lag1_matches,shap_career_runs_to_date,shap_base_value
Anshuman Rath,2026,T20I,482,290,8,12,45,26,60.25,166.21,814.0,42.84,135.67,20.0,1825,390.0,238.99331378286558,-5.326638064328926,-51.81592215322142,-10.660738009895157,47.73527964456975,170.64744859122928
Aqib Iqbal,2026,T20I,159,107,6,8,10,10,26.5,148.6,560.0,28.0,127.27,26.0,825,284.0,157.4950695681539,-7.425603081342378,-18.643065084866638,-5.619698175541301,-12.837862936872472,170.64744859122928
Arjun Vinod,2026,T20I,117,102,5,5,14,2,23.4,114.71,203.0,25.38,110.33,8.0,513,183.0,23.153278541541926,-4.148859044508796,-5.077280570798842,-6.394309905004629,4.503122810983367,170.64744859122928
Arshad Khan,2026,IPL,46,22,2,2,2,4,23.0,209.09,45.0,11.25,121.62,4.0,141,78.0,-96.29294555051912,1.0200745214605025,-8.445972933390026,11.177563500101794,-0.3067989263801313,170.64744859122928
Arshdeep Singh,2026,ODI,4,2,1,1,1,0,4.0,200.0,15.0,5.0,88.24,3.0,52,39.0,-141.91163143634475,1.5822890211991454,-0.16924699385528982,16.861826758910208,-8.2407762620663,170.64744859122928
Arshdeep Singh,2026,T20I,27,36,6,9,2,0,4.5,75.0,11.0,2.75,91.67,5.0,74,35.0,-135.06441292352784,2.4566856434240463,-0.19768439677646818,3.387439649902267,-5.890939234582661,170.64744859122928
Arslan Amjad,2026,T20I,15,30,3,3,2,0,5.0,50.0,132.0,18.86,112.82,8.0,337,126.0,-18.578058928579896,-4.768296007916743,-4.087039167636206,-7.149065801738602,-10.11253801650272,170.64744859122928
Arun Yadav,2026,T20I,103,78,3,4,9,2,34.33,132.05,335.0,41.88,159.52,10.0,335,254.0,116.86857644663849,-4.365538225431418,4.702051377694984,-9.575043463190873,-24.005530536019467,170.64744859122928
Ashish Bam,2026,T20I,30,37,3,3,4,0,10.0,81.08,10.0,10.0,142.86,3.0,10,33.0,-147.07887896464848,-1.2304662983662074,1.1765256318748638,15.663151568115238,-5.786010526332523,170.64744859122928
Ashmal Hashmi,2026,T20I,5,28,5,4,0,0,1.0,17.86,5.0,1.25,33.33,5.0,5,19.0,-148.06951047422254,2.1810551445636177,5.487304109015689,3.755533267261595,-15.02672061321549,170.64744859122928
Ashutosh Sharma,2026,IPL,342,188,10,8,30,24,34.2,181.91,341.0,26.23,153.6,9.0,530,245.0,103.89726448110557,-1.8122579350523158,-2.4578014092173546,-8.483250518953774,-16.821180065061068,170.64744859122928
Ashwin Vinod,2026,T20I,25,35,2,5,1,1,12.5,71.43,12.0,6.0,120.0,3.0,46,33.0,-141.68951631118478,1.819526855165539,-6.021564720964322,16.179904807560085,-8.201544815743256,170.64744859122928
Ashwini Govinda,2026,T20I,6,50,0,3,0,0,6.0,12.0,5.0,2.5,18.52,3.0,5,19.0,-168.3133517879357,0.5122520002790558,12.52336952304384,17.806173668387245,-14.172860604011474,170.64744859122928
Asif Afridi,2026,PSL,58,52,6,5,8,2,9.67,111.54,36.0,18.0,78.26,4.0,37,54.0,-110.32222151710852,-7.4563078898835835,1.8938699227794193,8.18377618144487,-9.027782592600628,170.64744859122928
Asif Ali,2026,PSL,92,64,6,5,2,10,15.33,143.75,82.0,10.25,170.83,7.0,1450,129.0,-75.66512583052145,-10.687852688779213,-6.0283611608837955,-5.65568900935752,56.152670833466345,170.64744859122928
Asif Ali,2026,T20I,135,119,9,11,9,11,15.0,113.45,858.0,39.0,153.49,28.0,1630,438.0,268.49045515147094,0.7879860870314426,-33.54018396378046,1.29736988112765,30.57794452029863,170.64744859122928
