bowler,format,recent_wkts,recent_econ,recent_avg,career_econ,career_avg,form_score,form_label
M Spoors,BBL,2,9.309999999999999,46.5,9.82,54.0,110.8,On Fire
M Spoors,ODI,3,5.53,27.67,5.53,27.67,100.0,Good
M Stanikzai,T20I,9,9.575,56.75,9.55,28.0,74.5,Average
M Stevanovic,T20I,4,4.83,15.5,4.83,15.5,100.0,Good
M Syahadat Ramli,T20I,2,6.0,3.0,6.14,8.93,200.0,On Fire
M Syrioti,T20I,16,5.805,17.22,5.72,16.46,97.1,Good
M Taniyama,T20I,13,6.16,13.085,5.63,11.23,88.6,Good
M Taylor,T20I,5,9.75,58.2,6.91,29.94,61.2,Average
M Theekshana,CPL,7,7.62,29.57,6.81,20.2,78.8,Average
M Theekshana,IPL,11,9.69,37.27,8.25,33.53,87.6,Good
M Theekshana,ODI,17,3.5300000000000002,20.0,4.38,22.65,118.7,On Fire
M Theekshana,PSL,4,8.17,24.5,8.17,24.5,100.0,Good
M Theekshana,T20I,28,7.605,29.394999999999996,7.01,24.2,87.3,Good
M Tiwari,IPL,4,11.35,17.875,9.18,25.25,111.1,On Fire
M Tom,ODI,1,3.66,92.0,3.66,92.0,100.0,Good
M Tom,T20I,20,6.73,30.915,5.17,16.58,65.2,Average
M Trajkovi,T20I,3,6.0,12.0,5.34,18.25,120.5,On Fire
M Trajkovic,T20I,2,4.0,4.0,4.0,4.0,100.0,Good
M Turay,T20I,0,6.46,14.0,5.17,15.5,95.4,Good
M Turner,T20I,2,4.0,18.0,4.0,18.0,100.0,Good
M Upadhayay,T20I,40,5.04,10.795,4.63,10.78,95.9,Good
M Uwase,T20I,0,11.0,11.0,11.0,11.0,100.0,Good
M Valner,T20I,14,4.9350000000000005,12.27,4.23,9.53,81.7,Average
M Vandrasi,T20I,1,9.44,85.0,7.38,19.67,50.7,Poor
M Vervitsioti,T20I,12,6.75,20.915,6.51,21.0,98.4,Good
M Wai Siu,T20I,45,5.105,14.649999999999999,5.03,14.52,98.8,Good
M Watson,T20I,3,5.46,20.33,5.46,20.33,100.0,Good
M Whelan,T20I,0,12.0,24.0,11.76,50.0,153.2,On Fire
M Yanagida,T20I,2,5.54,6.0,4.62,13.1,150.9,On Fire
M Zdravkova,T20I,1,5.45,10.0,4.96,38.0,235.5,On Fire
M Zhu,T20I,11,5.06,19.45,5.13,19.5,100.8,Good
MA Abbas,ODI,2,4.550000000000001,22.75,5.0,37.5,137.4,On Fire
MA Algi,T20I,6,10.335,19.125,10.0,20.0,100.7,Good
MA Baig,T20I,6,6.07,13.83,4.84,8.84,71.8,Average
MA Leask,ODI,11,5.795,34.82,5.03,28.47,84.3,Average
MA Leask,T20I,20,6.484999999999999,13.6,7.46,19.76,130.2,On Fire
MA Nyabela,T20I,16,5.46,14.0,6.21,18.08,121.4,On Fire
MA Parker,T20I,3,3.89,8.0,5.9,15.0,169.6,On Fire
MA Starc,BBL,10,8.0,16.0,7.92,15.23,97.1,Good
MA Starc,IPL,32,10.155000000000001,19.14,8.78,19.35,93.8,Good
MA Starc,ODI,3,5.48,38.33,5.25,22.38,77.1,Average
MA Starc,Test,74,3.51,17.479999999999997,3.42,25.22,120.9,On Fire
MA Tsemane,T20I,1,6.0,24.0,7.63,59.33,187.2,On Fire
MA Wood,ODI,4,6.68,44.25,5.57,38.67,85.4,Good
MA Wood,T20I,4,8.77,28.5,8.49,18.77,81.3,Average
MA Wood,Test,0,3.94,44.0,3.32,30.04,76.3,Average
MADI Hemantha,T20I,10,8.870000000000001,25.96,9.1,26.7,102.7,Good
MB Tambe,T20I,10,8.02,13.6,7.13,18.5,112.5,On Fire
MBA Lamplough,T20I,17,5.45,12.24,5.45,17.26,120.5,On Fire
MC Alex,T20I,3,9.45,38.33,9.6,66.67,137.8,On Fire
MC Henriques,BBL,1,7.0,7.0,8.0,31.21,280.1,On Fire
MD Bimenyimana,T20I,49,4.695,11.405,4.41,9.62,89.1,Good
MD Botha,ODI,14,3.83,12.57,3.83,12.57,100.0,Good
MD Botha,T20I,31,3.99,8.65,3.99,8.65,100.0,Good
MD Fisher,Test,5,2.98,24.0,2.84,31.83,114.0,On Fire
MD Rae,Test,10,3.46,22.6,3.46,22.6,100.0,Good
MD Rocha,T20I,0,5.0,10.0,5.0,10.0,100.0,Good
MD Shanaka,CPL,0,12.4,31.0,12.4,31.0,100.0,Good
MD Shanaka,IPL,1,10.0,60.0,10.0,60.0,100.0,Good
MD Shanaka,T20I,12,8.195,34.870000000000005,8.14,25.1,85.7,Good
ME Bessala,T20I,2,6.0,21.0,7.46,48.5,177.6,On Fire
MFD Douma,T20I,12,4.3,11.83,4.35,11.77,100.3,Good
MFI Assuncao,T20I,7,6.82,10.71,7.92,13.57,121.4,On Fire
MG Bracewell,ODI,29,4.779999999999999,28.965,4.93,31.82,106.5,Good
MG Bracewell,PSL,11,9.77,39.235,9.77,39.09,99.8,Good
MG Bracewell,T20I,7,8.76,41.29,7.34,20.56,66.8,Average
MG Bracewell,Test,1,2.64,195.0,3.6,42.79,79.2,Average
MG Erasmus,ODI,20,5.15,26.875,4.52,25.26,90.9,Good
MG Erasmus,T20I,17,7.545,27.615,6.07,14.66,66.8,Average
MG Maceira,ODI,3,6.17,12.33,6.17,12.33,100.0,Good
MG Maceira,T20I,2,7.67,11.5,7.67,11.5,100.0,Good
MG Neser,BBL,6,10.155000000000001,37.125,8.43,24.2,74.1,Average
MG Neser,Test,15,3.565,20.7,3.2,18.91,90.6,Good
MH Ushanga,T20I,23,4.82,12.26,4.71,12.94,101.6,Good
MI Khagoitsa,T20I,11,4.95,8.55,4.18,9.71,99.0,Good
MIW van den Raad,ODI,1,9.0,21.0,9.0,21.0,100.0,Good
MIW van den Raad,T20I,3,10.295,32.75,10.14,41.67,112.9,On Fire
MJ Ansell,T20I,12,5.71,11.42,5.39,15.4,114.6,On Fire
MJ Fisher,ODI,3,4.95,36.0,4.95,36.0,100.0,Good
MJ Fisher,T20I,0,12.23,53.0,12.23,53.0,100.0,Good
MJ Fisher,Test,2,3.21,19.0,3.21,19.0,100.0,Good
MJ Henry,IPL,2,13.0,65.0,11.52,62.2,92.2,Good
MJ Henry,ODI,32,5.1,16.34,5.2,23.74,123.6,On Fire
MJ Henry,T20I,27,9.02,22.395,8.51,21.46,95.1,Good
MJ Henry,Test,32,2.59,12.115,3.1,25.71,166.0,On Fire
MJ Humphreys,ODI,0,4.35,100.0,5.15,211.0,164.7,On Fire
MJ Humphreys,T20I,29,7.085,16.395,7.08,16.56,100.5,Good
MJ Humphreys,Test,14,3.11,33.57,3.35,37.13,109.2,Good
MJ Massawe,T20I,2,6.67,80.0,6.67,80.0,100.0,Good
MJ Owen,BBL,8,11.165,30.0,9.87,30.62,95.2,Good
MJ Owen,ODI,2,7.0,21.0,7.0,21.0,100.0,Good
MJ Owen,PSL,2,7.06,10.0,7.06,10.0,100.0,Good
MJ Owen,T20I,2,11.8,29.5,11.8,29.5,100.0,Good
MJ Potts,ODI,2,6.29,53.5,5.97,30.77,76.2,Average
MJ Potts,T20I,2,11.52,24.0,11.52,24.0,100.0,Good
MJ Potts,Test,0,5.64,141.0,3.29,33.36,41.0,Poor
MJ Santner,IPL,15,8.425,28.15,7.5,27.74,93.8,Good
MJ Santner,ODI,30,4.025,26.27,4.76,33.63,123.1,On Fire
MJ Santner,T20I,20,8.350000000000001,37.785,7.22,23.16,73.9,Average
MJ Santner,Test,7,3.445,35.95,2.86,32.33,86.5,Good
MJ Suthar,IPL,2,11.33,34.0,11.75,47.0,121.0,On Fire
MJ Suthar,Test,16,3.1,21.06,3.1,21.06,100.0,Good
MJ Swepson,BBL,11,8.215,39.8,7.61,29.27,83.1,Average
MJ Tugaga,T20I,3,6.27,28.25,6.27,23.0,90.7,Good
MJM Kavana,T20I,5,5.7,11.4,6.82,12.5,114.6,On Fire
MK Amusa,T20I,16,4.095,12.335,4.09,11.5,96.6,Good
MK Hollard,T20I,6,6.61,9.0,6.61,9.0,100.0,Good
MK Thakur,T20I,10,5.455,14.799999999999999,5.92,17.52,113.5,On Fire
MK Villiers,ODI,1,5.75,46.0,5.43,20.83,69.9,Average
MK Villiers,Test,2,4.03,60.5,4.03,60.5,100.0,Good
ML Castillo,T20I,6,3.78,5.67,5.72,10.9,171.8,On Fire
ML Green,ODI,1,4.33,26.0,5.73,107.0,271.9,On Fire
ML Green,T20I,1,4.0,8.0,5.43,19.0,186.6,On Fire
ML Schutt,ODI,19,5.015,30.32,4.29,23.1,80.9,Average
ML Schutt,T20I,7,7.245,33.0,6.4,15.65,67.9,Average
MLG Silva,T20I,2,0.55,0.5,0.55,0.5,100.0,Good
MLN Sissako,T20I,2,9.69,21.0,6.76,32.2,111.5,On Fire
MM Ali,CPL,5,10.52,42.585,6.79,21.05,57.0,Poor
MM Ali,IPL,6,8.5,22.67,7.22,22.37,91.8,Good
MM Ali,PSL,9,8.75,27.22,9.1,23.67,95.5,Good
MM Baig,T20I,30,7.205,16.04,7.57,14.44,97.5,Good
MM Mabathoana,T20I,2,11.83,34.5,10.8,47.25,114.1,On Fire
MM Penfold,ODI,5,3.38,8.8,5.02,32.4,258.4,On Fire
MM Penfold,T20I,0,4.0,12.0,7.5,28.57,212.8,On Fire
MM Sharma,IPL,2,10.08,128.5,8.74,23.58,52.5,Poor
MNM Aslam,T20I,9,7.625,29.625,6.16,18.16,71.0,Average
MP Ainsworth,T20I,11,9.135,30.04,8.93,27.18,94.1,Good
MP Kuhnemann,BBL,14,8.05,28.75,7.64,28.83,97.6,Good
MP Kuhnemann,ODI,8,5.05,15.135000000000002,4.51,20.31,111.7,On Fire
MP Kuhnemann,T20I,3,8.120000000000001,70.0,8.1,73.33,102.3,Good
MP Kuhnemann,Test,16,2.97,17.19,3.24,21.35,116.6,On Fire
MP O'Dowd,ODI,0,25.0,25.0,6.93,149.0,311.9,On Fire
MP O'Dowd,T20I,0,13.0,26.0,8.72,38.5,107.6,Good
MP Stoinis,BBL,20,7.355,17.165,8.45,22.61,123.3,On Fire
MP Stoinis,IPL,3,12.36,112.0,9.91,32.23,54.5,Poor
MP Stoinis,T20I,8,9.379999999999999,30.75,8.78,23.49,85.0,Average
MP Yadav,IPL,2,11.940000000000001,116.0,10.1,36.7,58.1,Poor
MP Yadav,T20I,5,6.35,14.4,6.55,17.22,111.4,On Fire
MPGT Ketiyage,T20I,5,7.31,16.585,6.71,22.17,112.7,On Fire
MPM Pathirannehelage,T20I,20,3.71,6.85,3.9,7.29,105.8,Good
MPP San,T20I,5,4.475,32.75,4.7,14.36,74.4,Average
MR Adair,ODI,6,5.68,23.83,5.76,31.93,117.7,On Fire
MR Adair,T20I,16,8.66,23.535,7.74,18.17,83.3,Average
MR Adair,Test,6,3.04,28.165,3.68,34.3,121.4,On Fire
MR Corteen-Coleman,ODI,2,5.94,51.0,5.94,51.0,100.0,Good
MR Corteen-Coleman,T20I,1,6.33,19.0,6.33,19.0,100.0,Good
MRJ Watt,ODI,26,4.67,33.195,4.31,26.18,85.6,Good
MRJ Watt,T20I,13,7.585,28.44,7.02,20.85,82.9,Average
MS Beresford,T20I,1,7.89,50.0,6.09,19.0,57.6,Poor
MSN Ekani,T20I,4,7.8,35.75,6.63,22.82,74.4,Average
MT Jacob,T20I,13,6.029999999999999,68.79,6.0,19.64,64.0,Average
MT Renshaw,BBL,6,8.2,18.5,7.57,28.33,122.7,On Fire
MT Renshaw,ODI,6,4.7,25.83,4.7,25.83,100.0,Good
MT Renshaw,T20I,1,5.67,17.0,5.67,17.0,100.0,Good
MT Steketee,BBL,15,7.23,9.4,8.88,22.19,179.4,On Fire
MT Waqanisau,T20I,10,5.2,14.3,5.2,14.3,100.0,Good
MTMMJ Ave,T20I,9,6.29,15.8,6.63,16.2,104.0,Good
MV Fare,T20I,0,10.29,12.0,10.29,12.0,100.0,Good
MV Lehmann,T20I,3,5.715,12.5,4.87,14.33,99.9,Good
MV Pavlovic,T20I,7,8.33,46.85,6.98,17.77,60.9,Average
MVT Fernando,Test,2,2.44,30.5,3.52,31.73,124.1,On Fire
MW Archer,BBL,0,7.5,15.0,7.5,15.0,100.0,Good
MW Forde,CPL,15,9.53,15.67,8.22,17.76,99.8,Good
MW Forde,ODI,15,5.835,35.445,5.74,30.14,91.7,Good
MW Forde,T20I,15,7.665,33.18,8.3,27.0,94.8,Good
MW Jones,ODI,4,9.09,32.125,7.98,40.25,106.5,Good
MW Jones,T20I,6,9.56,17.8,7.8,13.0,77.3,Average
MW Short,BBL,7,7.99,36.4,7.63,30.56,89.7,Good
MW Short,IPL,0,12.32,39.0,8.93,64.0,118.3,On Fire
MW Short,ODI,5,5.18,80.5,5.51,64.33,93.1,Good
MW Short,T20I,2,11.46,57.5,11.44,22.89,69.8,Average
MWR Stokes,T20I,7,6.785,45.75,6.71,24.24,75.9,Average
MY Bawa,T20I,7,2.91,9.57,2.91,9.57,100.0,Good
Ma Luz Barcelona,T20I,0,10.0,10.0,10.0,10.0,100.0,Good
Ma Qiancheng,T20I,0,11.5,23.0,7.45,28.57,94.5,Good
Ma Ruike,T20I,28,3.955,7.6,4.91,12.27,142.8,On Fire
Maahi Madhavan,ODI,4,4.93,18.5,4.93,18.5,100.0,Good
Maahi Madhavan,T20I,18,6.225,29.03,6.1,13.94,73.0,Average
Maaz Sadaqat,CPL,0,3.0,3.0,3.0,3.0,100.0,Good
Maaz Sadaqat,ODI,3,4.88,13.0,4.88,13.0,100.0,Good
Maaz Sadaqat,PSL,2,6.335,16.0,6.33,19.0,109.3,Good
Madhawa Basnayaka,T20I,10,8.765,16.9,8.74,16.9,99.9,Good
Mah Noor,T20I,3,10.57,59.335,11.09,48.67,93.5,Good
