bowler,format,recent_wkts,recent_econ,recent_avg,career_econ,career_avg,form_score,form_label
A Adekunle,T20I,12,5.195,16.68,4.85,14.79,91.0,Good
A Akhigbe,T20I,10,5.895,20.05,4.88,16.55,82.7,Average
A Akurut,T20I,5,6.36,17.6,4.96,13.12,76.3,Average
A Alexander,T20I,4,6.86,12.0,6.17,10.29,87.8,Good
A Alfonso,T20I,1,3.75,15.0,3.75,15.0,100.0,Good
A Ashok,ODI,1,9.17,55.0,7.42,60.0,95.0,Good
A Athanaze,ODI,4,2.97,12.75,3.28,14.0,110.1,On Fire
A Athanaze,T20I,0,13.71,16.0,13.71,16.0,100.0,Good
A Augastin,T20I,9,5.105,12.2,5.34,12.67,104.2,Good
A Awasthi,T20I,1,18.25,73.0,18.25,73.0,100.0,Good
A Badoni,IPL,2,10.9,10.25,9.22,15.75,119.1,On Fire
A Beresford-Peirse,T20I,2,8.88,75.5,8.88,75.5,100.0,Good
A Brown-Carrera,T20I,2,6.1,30.5,4.6,11.2,56.1,Poor
A Bushell,T20I,0,7.0,7.0,7.0,7.0,100.0,Good
A Busing-Volschenk,T20I,4,7.71,13.5,7.71,13.5,100.0,Good
A Canning,ODI,5,5.51,61.4,4.41,39.06,71.8,Average
A Canning,T20I,20,5.6899999999999995,15.545,5.4,21.54,116.7,On Fire
A Capsey,ODI,12,4.94,20.08,4.84,24.47,109.9,Good
A Capsey,T20I,1,9.57,67.0,7.27,31.5,61.5,Average
A Capsey,WPL,1,12.5,25.0,7.14,18.75,66.1,Average
A Chandel,T20I,10,5.26,36.9,4.87,16.72,68.9,Average
A Chenthamara,T20I,17,7.16,13.34,7.07,12.82,97.4,Good
A Cheung,T20I,1,7.57,53.0,7.57,53.0,100.0,Good
A Dalzell,ODI,4,7.32,44.125,5.9,44.5,90.7,Good
A Dalzell,T20I,10,7.3,29.585,6.96,27.39,94.0,Good
A Davidson-Soler,T20I,2,5.48,47.0,5.27,30.5,80.5,Average
A Dcosta,T20I,30,4.705,12.515,5.21,13.53,109.4,Good
A Dercksen,ODI,9,6.77,35.625,6.35,28.67,87.1,Good
A Dercksen,T20I,3,8.415,34.165,8.09,35.6,100.2,Good
A Desai,T20I,6,6.21,9.83,6.96,13.33,123.8,On Fire
A Dhabe,T20I,25,6.165,18.75,6.21,19.12,101.4,Good
A Dhar,T20I,0,10.0,30.0,10.0,30.0,100.0,Good
A Dirannehelage,T20I,16,2.59,4.475,2.92,5.47,117.5,On Fire
A Donovan,T20I,3,6.53,37.0,6.76,47.33,115.7,On Fire
A Dowling,T20I,4,11.47,21.5,11.47,21.5,100.0,Good
A Dutt,ODI,23,4.07,20.34,4.65,28.57,127.4,On Fire
A Dutt,T20I,15,6.425,19.5,6.9,21.77,109.5,Good
A Emch,T20I,5,4.14,5.8,5.04,8.4,133.3,On Fire
A Fillie,T20I,4,6.56,26.25,5.51,11.19,63.3,Average
A Fujikawa,T20I,15,5.515,17.8,5.49,16.76,96.9,Good
A Galan,T20I,13,3.465,10.344999999999999,4.12,10.87,112.0,On Fire
A Gardner,ODI,30,4.640000000000001,24.2,4.29,20.71,89.0,Good
A Gardner,T20I,7,6.8149999999999995,21.715,6.66,18.72,92.0,Good
A Gardner,Test,9,2.18,13.585,2.53,18.15,124.8,On Fire
A Gardner,WPL,15,9.04,32.97,8.74,26.6,88.7,Good
A Gbla,T20I,17,6.245,17.45,6.5,14.0,92.2,Good
A Gianani,T20I,0,4.5,9.0,4.5,9.0,100.0,Good
A Goodridge,CPL,0,11.5,23.0,11.5,23.0,100.0,Good
A Gulati,T20I,5,9.765,29.915,9.74,27.6,96.0,Good
A Gupta,T20I,3,10.485,21.335,8.38,34.0,119.6,On Fire
A Gurung,T20I,14,5.075,15.790000000000001,3.85,11.66,74.9,Average
A Hartley,T20I,1,5.2,26.0,6.3,26.25,111.1,On Fire
A Hlubi,ODI,8,6.035,46.125,6.11,48.7,103.4,Good
A Hlubi,T20I,4,9.27,30.5,8.8,27.22,92.1,Good
A Husain,T20I,8,7.055,29.43,6.63,18.44,78.3,Average
A Ikuzwe,T20I,32,4.915,14.610000000000001,4.79,11.73,88.9,Good
A Ilahi,T20I,8,4.63,9.25,4.62,9.25,99.9,Good
A Johnson,T20I,0,10.67,32.0,7.2,36.0,90.0,Good
A Kalasi,T20I,1,7.5,15.0,4.74,14.75,80.8,Average
A Kamboj,IPL,32,9.165000000000001,21.79,9.83,24.0,108.7,Good
A Kamboj,Test,1,4.77,89.0,4.77,89.0,100.0,Good
A Kanukuntla,T20I,15,5.720000000000001,20.92,5.78,19.27,96.6,Good
A Kanwal,T20I,1,6.92,15.0,6.92,15.0,100.0,Good
A Kato-Stafford,T20I,13,4.145,10.45,4.16,10.23,99.1,Good
A Kayuni,T20I,0,12.0,12.0,12.0,12.0,100.0,Good
A Kessar,T20I,6,5.7,9.67,5.7,9.67,100.0,Good
A Khaka,ODI,21,5.26,22.78,4.31,22.77,90.9,Good
A Khaka,T20I,31,7.725,23.73,7.01,23.49,94.9,Good
A Khasanov,T20I,2,10.26,53.0,10.26,53.0,100.0,Good
A Khullar,T20I,2,6.77,44.0,6.77,44.0,100.0,Good
A King,ODI,40,4.26,16.54,4.28,17.57,103.3,Good
A King,T20I,13,6.6850000000000005,15.665,6.37,17.03,102.0,Good
A King,Test,11,2.8200000000000003,16.945,2.72,24.12,119.4,On Fire
A King,WPL,0,12.67,38.0,12.67,38.0,100.0,Good
A Kirschbaum,T20I,11,4.12,10.915,5.73,17.09,147.8,On Fire
A Kohli,T20I,23,6.01,31.35,5.8,19.59,79.5,Average
A Konhu,T20I,1,6.49,40.0,6.49,40.0,100.0,Good
A Kontopirakis,T20I,3,6.005,36.0,6.06,34.67,98.6,Good
A Kourkoulou,T20I,0,11.33,34.0,11.33,34.0,100.0,Good
A Kuthalingham,T20I,1,4.8,24.0,4.8,24.0,100.0,Good
A Lazic,T20I,0,14.105,22.5,14.21,45.0,150.4,On Fire
A Le Ray,T20I,5,5.69,18.2,5.55,18.5,99.6,Good
A Levaci,T20I,8,5.94,11.5,5.94,11.5,100.0,Good
A Limdawala,T20I,7,8.25,37.14,7.38,28.85,83.6,Average
A Lupascu,T20I,7,8.42,17.6,7.7,16.14,91.6,Good
A Magdalenic,T20I,0,25.0,25.0,18.27,67.0,170.5,On Fire
A Makri,T20I,17,5.140000000000001,16.14,5.85,17.19,110.2,On Fire
A Martel,T20I,17,6.7,41.065,6.47,16.59,68.5,Average
A Mazvishaya,ODI,1,5.825,62.5,4.63,36.31,68.8,Average
A Mazvishaya,T20I,5,6.12,10.6,6.01,15.79,123.6,On Fire
A Merritt,T20I,9,5.085,14.82,6.46,19.48,129.2,On Fire
A Mesarovic,T20I,5,5.09,11.2,4.93,21.2,143.1,On Fire
A Meyenborg,T20I,14,5.945,17.105,5.75,15.58,93.9,Good
A Mohamed,T20I,2,13.0,13.0,5.93,18.2,92.8,Good
A Mokgotlhe,T20I,18,3.745,9.61,5.17,20.25,174.4,On Fire
A Mongar,T20I,5,6.395,20.375,5.86,12.0,75.3,Average
A Morris,T20I,6,7.75,31.0,5.89,16.55,64.7,Average
A Munisar,ODI,7,4.63,36.415,4.73,37.86,103.1,Good
A Munisar,T20I,11,6.415,19.61,6.32,21.07,103.0,Good
A Musaev,T20I,1,12.0,74.0,12.0,74.0,100.0,Good
A Nagarajan,T20I,0,9.67,58.0,9.07,45.33,86.0,Good
A Nanda,T20I,3,9.0,21.0,8.04,31.32,119.2,On Fire
A Nao,T20I,10,6.0600000000000005,17.0,6.1,15.8,96.8,Good
A Natubhai Ahir,T20I,8,4.835,14.0,5.16,17.25,115.0,On Fire
A Nortje,IPL,1,10.805,61.0,9.02,26.92,63.8,Average
A Nortje,T20I,3,9.205,46.835,7.34,19.03,60.2,Average
A Ostergaard,T20I,3,7.665,36.25,6.22,37.0,91.6,Good
A Parima,T20I,6,6.5249999999999995,26.3,6.8,19.83,89.8,Good
A Paul,T20I,8,8.245,13.9,8.41,16.73,111.2,On Fire
A Perera,T20I,2,5.1899999999999995,25.0,4.95,15.38,78.4,Average
A Phillip,Test,9,4.484999999999999,56.68,4.67,63.17,107.8,Good
A Prashar,T20I,8,6.25,12.62,6.23,13.75,104.3,Good
A Pusthay,T20I,5,8.31,18.0,7.59,15.0,87.3,Good
A Rameshan,T20I,8,4.135,6.9350000000000005,5.73,14.08,170.8,On Fire
A Razmilic,T20I,1,13.53,133.0,13.53,133.0,100.0,Good
A Reddy,ODI,9,6.17,32.56,5.34,28.82,87.5,Good
A Reddy,T20I,23,8.07,25.21,7.74,27.06,101.6,Good
A Reddy,WPL,6,9.375,66.125,8.37,37.0,72.6,Average
A Reyes,T20I,4,9.375,40.835,8.72,25.0,77.1,Average
A Roy,ODI,6,3.6,25.17,3.6,25.17,100.0,Good
A Salomao,T20I,20,4.965,19.060000000000002,5.18,16.18,94.6,Good
A Savvani,T20I,6,6.4,58.2,6.38,20.1,67.1,Average
A Shahi,T20I,14,7.595,19.0,7.75,20.15,104.0,Good
A Sharafu,ODI,0,6.0,12.0,6.0,12.0,100.0,Good
A Sharafu,T20I,0,18.0,3.0,18.0,3.0,100.0,Good
A Shukla,T20I,26,7.115,21.015,7.79,25.25,114.8,On Fire
A Simelane,T20I,4,8.14,24.75,9.91,33.88,129.3,On Fire
A Stocks,T20I,8,4.43,11.62,4.85,11.35,103.6,Good
A Stoilova,T20I,0,13.4,24.0,13.09,48.0,148.8,On Fire
A Sutherland,ODI,28,4.805,21.04,4.67,20.48,97.3,Good
A Sutherland,T20I,25,6.74,13.075,6.59,16.88,113.4,On Fire
A Sutherland,Test,6,2.885,31.585,3.18,23.26,91.9,Good
A Sutherland,WPL,10,7.57,25.1,8.59,34.93,126.3,On Fire
A Suwanchonrathi,ODI,1,3.0,12.0,3.0,12.0,100.0,Good
A Suwanchonrathi,T20I,0,4.57,5.0,4.9,16.0,213.6,On Fire
A Taylor,T20I,4,2.895,3.5,2.79,5.2,122.5,On Fire
A Tector,T20I,1,8.0,20.0,8.0,20.0,100.0,Good
A Thorpe,T20I,9,5.76,13.28,5.78,15.93,110.2,On Fire
A Tripathi,T20I,2,3.0,2.0,13.0,13.0,541.7,On Fire
A Turkmen,T20I,6,8.675,39.5,7.19,24.74,72.8,Average
A Vaidya,T20I,11,7.539999999999999,16.2,5.27,12.65,74.0,Average
A Vailoa,T20I,9,6.0,11.0,6.0,11.0,100.0,Good
A Vala,T20I,7,8.265,23.165,6.28,14.93,70.2,Average
A Vessik,T20I,6,4.32,13.915,4.82,12.25,99.8,Good
A Wanjira,T20I,1,4.62,10.0,5.44,17.4,145.9,On Fire
A Wichakam,T20I,0,3.5,14.0,3.5,14.0,100.0,Good
A Wright,T20I,17,4.904999999999999,21.115,5.22,16.74,92.9,Good
A Yon,T20I,0,6.0,18.0,6.65,12.09,89.0,Good
A Zampa,BBL,16,7.16,16.435,7.3,23.23,121.6,On Fire
A Zampa,IPL,2,11.75,47.0,8.38,20.38,57.3,Poor
A Zampa,ODI,16,5.295,68.105,5.5,28.94,73.2,Average
A Zampa,PSL,5,7.71,43.2,7.71,43.2,100.0,Good
A Zampa,T20I,33,8.245000000000001,19.189999999999998,7.4,20.57,98.5,Good
A Zimunu,ODI,11,6.19,69.0,5.91,36.69,74.3,Average
A Zimunu,T20I,4,7.9399999999999995,72.25,8.03,72.25,100.6,Good
AA Alleyne,ODI,28,5.95,32.730000000000004,5.56,26.42,87.1,Good
AA Alleyne,T20I,11,8.355,56.6,7.78,33.35,76.0,Average
AA Banner,T20I,1,9.2,46.0,9.0,63.0,117.4,On Fire
AA Gajic,T20I,4,8.62,17.25,8.22,18.7,101.9,Good
AA Jimoh,T20I,5,5.84,14.2,5.84,14.2,100.0,Good
AA Navicha,T20I,7,10.375,33.96,9.56,28.67,88.3,Good
AA Rahayu,T20I,18,5.12,9.39,5.04,10.33,104.2,Good
AA Senn,T20I,2,3.75,7.5,3.75,7.5,100.0,Good
AA Wagh,T20I,7,7.02,14.71,7.02,14.71,100.0,Good
AAH Bhikari,T20I,0,6.0,1.0,11.36,17.67,978.2,On Fire
AAM Eliane,T20I,1,8.56,77.0,8.56,77.0,100.0,Good
AAP Atkinson,ODI,5,7.1,47.085,6.4,37.56,85.0,Average
AAP Atkinson,T20I,0,19.0,38.0,11.09,17.43,52.1,Poor
AAP Atkinson,Test,29,3.325,27.735,3.55,24.25,97.1,Good
AAP Rivero,T20I,14,4.96,11.64,5.21,12.39,105.7,Good
AAhan Achar,T20I,2,5.85,38.0,5.85,19.0,75.0,Average
AB Kamara,T20I,9,9.995000000000001,22.39,7.18,21.64,84.2,Average
AB Kaur,ODI,15,6.73,35.835,6.17,32.52,91.2,Good
AB Kaur,T20I,4,8.695,36.25,7.57,39.75,98.4,Good
AB Kaur,WPL,11,8.845,31.765,8.7,34.0,102.7,Good
AB Martinez,T20I,0,3.6,12.0,5.48,53.0,296.9,On Fire
AB Mengoumou,T20I,4,3.31,6.75,7.28,19.4,253.7,On Fire
AB Sharma,T20I,0,24.0,4.0,24.0,4.0,100.0,Good
AB Slebsager,T20I,9,7.73,22.855,7.62,24.92,103.8,Good
ABY Smith,T20I,10,5.67,19.0,5.56,23.09,109.8,Good
AC Agar,BBL,9,7.84,26.475,7.35,28.33,100.4,Good
AC Brodin,T20I,0,7.69,41.0,7.53,64.0,127.0,On Fire
AC Dei Castelli,T20I,3,3.71,11.33,3.71,11.33,100.0,Good
AC Douglas,T20I,2,6.9,34.5,6.24,13.14,64.3,Average
AC Frame,T20I,0,7.43,26.0,7.43,26.0,100.0,Good
AC Jayangani,ODI,28,4.8149999999999995,24.755,5.26,31.95,119.2,On Fire
AC Jayangani,T20I,18,7.25,27.82,6.78,20.74,84.0,Average
AC Kerr,ODI,30,4.795,28.384999999999998,4.69,27.34,97.1,Good
AC Kerr,T20I,20,7.21,32.165,6.11,18.76,71.5,Average
AC Kerr,WPL,32,7.63,15.469999999999999,7.61,17.15,105.3,Good
ACF Stokes,T20I,2,7.7,38.5,6.2,18.24,63.9,Average
AD Diwan Ali,T20I,0,8.0,8.0,8.0,8.0,100.0,Good
AD Nath,ODI,3,7.53,37.67,7.53,37.67,100.0,Good
AD Russell,CPL,22,8.905,21.105,8.81,23.48,105.1,Good
AD Russell,IPL,8,11.62,27.12,9.44,21.53,80.3,Average
AD Russell,T20I,1,15.1,78.0,9.47,30.31,50.8,Poor
ADP Diaz,T20I,3,5.04,7.0,5.04,7.0,100.0,Good
AE Isesele,T20I,2,13.0,13.0,9.22,12.6,83.9,Average
AF Aoina,T20I,12,5.61,13.17,5.78,13.06,101.1,Good
AF Ifill,T20I,11,4.42,11.135,6.15,16.44,143.4,On Fire
AF Mapu,T20I,2,5.8,57.0,5.8,57.0,100.0,Good
AF Milne,IPL,0,12.3,41.0,9.68,40.89,89.2,Good
AF Milne,PSL,1,11.38,91.0,11.38,91.0,100.0,Good
AF Milne,T20I,4,6.5,19.5,8.4,23.85,125.8,On Fire
AG Baldie,ODI,0,4.0,24.0,4.0,24.0,100.0,Good
AG Cremer,T20I,5,8.05,37.165,7.45,21.74,75.5,Average
AGC Vimukthi,ODI,4,5.875,45.375,5.7,42.75,95.6,Good
AGC Vimukthi,T20I,3,4.0,5.33,4.0,5.33,100.0,Good
AH Maqsood,ODI,10,4.3149999999999995,17.905,4.5,15.63,95.8,Good
AH Maqsood,T20I,23,5.955,15.825,5.71,15.79,97.8,Good
AI Chudasama,ODI,3,4.59,26.0,3.94,25.08,91.2,Good
AI Chudasama,T20I,24,5.645,22.72,5.14,17.72,84.5,Average
AIV Benatar,T20I,4,4.83,7.25,4.85,9.93,118.7,On Fire
AJ Healy,ODI,0,6.0,12.0,6.0,12.0,100.0,Good
AJ Hosein,BBL,0,7.29,51.0,6.79,18.76,65.0,Average
AJ Hosein,CPL,15,7.935,59.845,6.71,26.44,64.4,Average
AJ Hosein,IPL,9,7.92,22.0,8.21,23.8,105.9,Good
AJ Hosein,ODI,7,4.22,12.86,4.79,26.52,159.9,On Fire
AJ Hosein,PSL,2,10.0,20.0,8.11,23.47,99.2,Good
AJ Hosein,T20I,35,8.18,26.48,7.42,25.56,93.6,Good
AJ Parmar,T20I,18,7.33,28.695,6.42,13.35,67.1,Average
AJ Prajapati,T20I,6,6.54,20.17,6.54,20.17,100.0,Good
AJ Turner,BBL,3,7.5,7.335,7.45,22.74,204.7,On Fire
AJ Turner,PSL,3,8.15,35.33,8.15,35.33,100.0,Good
AJ Tye,BBL,2,11.32,51.75,7.95,19.02,53.5,Poor
AK Ahir,T20I,2,8.0,8.0,8.0,8.0,100.0,Good
AK Bangura,T20I,9,7.49,20.11,7.49,20.11,100.0,Good
AK Gokoel,T20I,6,6.3,17.67,6.14,15.0,91.2,Good
AK Gonerara,T20I,6,6.33,19.33,6.69,20.62,106.2,Good
AK Maguire,ODI,10,6.505,37.644999999999996,6.1,30.25,87.1,Good
AK Maguire,T20I,15,8.765,26.5,7.74,24.12,89.7,Good
AK Markram,IPL,4,11.55,54.25,9.56,59.5,96.2,Good
AK Markram,ODI,1,7.32,233.0,5.88,56.0,52.2,Poor
AK Markram,T20I,3,9.915,42.5,8.79,36.81,87.6,Good
AK Markram,Test,3,2.78,25.0,3.01,52.5,159.1,On Fire
AL Khunti,T20I,3,9.25,37.0,9.25,37.0,100.0,Good
AL Mundundo,T20I,14,6.11,14.665,4.95,12.89,84.5,Average
AM Fernando,ODI,27,6.365,48.71,6.01,31.94,80.0,Average
AM Fernando,Test,25,3.25,28.660000000000004,3.5,26.96,100.9,Good
AM Ghazanfar,CPL,2,6.43,22.5,6.43,22.5,100.0,Good
AM Ghazanfar,IPL,15,10.02,25.93,10.02,25.93,100.0,Good
AM Hardie,BBL,13,8.795,25.29,8.37,23.76,94.6,Good
AM Hardie,ODI,3,6.1,42.67,5.52,39.2,91.2,Good
AM Hardie,PSL,11,7.42,12.82,7.42,12.82,100.0,Good
AM Hardie,T20I,5,9.120000000000001,27.0,8.6,24.38,92.3,Good
AM Kamara,T20I,15,4.97,23.27,4.88,21.0,94.2,Good
AM Kimote,T20I,24,6.05,10.805,6.97,15.05,127.2,On Fire
AM Patel,T20I,0,8.4,42.0,6.43,24.83,67.8,Average
AM Tribe,T20I,0,8.0,8.0,5.0,20.0,156.2,On Fire
AM Zepeda,T20I,12,3.905,13.165,5.17,21.93,149.5,On Fire
AN Davidson-Richards,ODI,1,11.0,33.0,5.77,21.43,58.7,Poor
AN Kelly,ODI,14,5.965,36.230000000000004,4.89,27.08,78.4,Average
AN Kelly,T20I,36,6.609999999999999,14.625,6.2,13.04,91.5,Good
AN Lascu,T20I,0,12.0,74.0,9.05,24.12,54.0,Poor
AN Toube,T20I,1,9.75,39.0,7.8,30.33,78.9,Average
AP O'Connor,BBL,1,8.5,17.0,8.5,17.0,100.0,Good
APS Sanchez,T20I,1,6.0,13.0,6.0,13.0,100.0,Good
AR Bisht,ODI,2,5.585,23.25,6.08,39.5,139.4,On Fire
AR Bisht,T20I,0,8.33,25.0,8.33,25.0,100.0,Good
AR Leo,T20I,2,7.89,35.5,7.47,18.8,73.8,Average
AR McBrine,ODI,3,5.6,93.33,4.84,36.77,62.9,Average
AR McBrine,Test,13,3.8600000000000003,68.66499999999999,3.59,40.72,76.2,Average
AR Naidoo,T20I,0,17.5,35.0,17.33,52.0,123.8,On Fire
AR Nedd,CPL,4,7.7,26.5,7.26,27.78,99.6,Good
AR Patel,IPL,17,8.434999999999999,42.45,7.43,29.98,79.4,Average
AR Patel,ODI,16,4.975,32.935,4.54,31.55,93.5,Good
AR Patel,T20I,37,8.03,22.015,7.7,21.64,97.1,Good
AR Patel,Test,2,2.85,28.5,2.53,19.0,77.7,Average
AR Puri,T20I,9,8.83,28.44,7.91,28.32,94.6,Good
AR Ramjani,T20I,14,4.95,14.5,4.68,9.29,79.3,Average
AR Valdez,T20I,3,7.92,34.33,7.79,49.33,121.0,On Fire
ARH Patel,T20I,0,3.0,3.0,3.0,3.0,100.0,Good
AS Broomfield,T20I,1,4.0,8.0,4.0,8.0,100.0,Good
AS Gorad,T20I,4,6.8,29.75,6.8,29.75,100.0,Good
AS Joseph,CPL,14,9.205,35.7,8.26,23.9,78.3,Average
AS Joseph,ODI,18,5.03,25.125,5.41,26.26,106.0,Good
AS Joseph,PSL,21,9.17,29.11,9.19,28.1,98.4,Good
AS Joseph,T20I,8,12.32,38.75,9.13,23.73,67.7,Average
AS Joseph,Test,20,3.92,27.215,3.7,32.56,107.0,Good
AS Kumaran,T20I,0,36.0,6.0,36.0,6.0,100.0,Good
AS Mehmi,T20I,1,7.14,50.0,7.49,31.57,84.0,Average
AS Nadkarni,T20I,0,6.5,13.0,6.5,13.0,100.0,Good
AS Qwele,T20I,28,5.48,19.915,5.02,10.91,73.2,Average
AS Roy,IPL,11,8.18,21.25,8.9,28.18,120.7,On Fire
AS Samra,T20I,0,11.33,68.0,11.33,68.0,100.0,Good
AS Wikman,T20I,1,9.1,47.0,9.1,47.0,100.0,Good
ASF Sirah,T20I,19,6.59,19.56,6.51,13.5,83.9,Average
ASIH Toppin,CPL,1,12.83,77.0,12.83,77.0,100.0,Good
ASS Fletcher,ODI,43,4.845000000000001,23.19,4.74,23.78,100.2,Good
ASS Fletcher,T20I,21,6.765000000000001,25.975,6.27,19.5,83.9,Average
AT Nidamanuru,T20I,3,7.5,10.0,7.5,10.0,100.0,Good
ATS Silva,ODI,5,4.81,25.0,4.81,25.0,100.0,Good
ATS Silva,T20I,11,5.734999999999999,19.55,5.35,15.09,85.2,Good
AU Rashid,ODI,37,5.65,26.94,5.61,30.3,105.9,Good
AU Rashid,T20I,43,8.37,20.55,7.55,22.73,100.4,Good
AUKDS Kalugala,T20I,1,4.165,7.5,5.71,40.0,335.2,On Fire
AV Lazarus,T20I,2,8.155000000000001,25.0,7.17,26.0,96.0,Good
AWJ Auguste,ODI,0,4.0,12.0,4.0,12.0,100.0,Good
AY Patel,Test,6,1.86,22.67,3.14,27.04,144.0,On Fire
Aamer Jamal,PSL,9,10.629999999999999,34.325,10.36,29.88,92.3,Good
Aamer Jamal,Test,2,5.125,85.0,4.6,35.22,65.6,Average
Aamir Kaleem,ODI,9,3.75,26.67,3.62,21.58,88.7,Good
Aamir Kaleem,T20I,9,8.29,25.0,7.7,18.02,82.5,Average
Aarif Sheikh,ODI,1,4.75,78.0,4.66,81.89,101.5,Good
Aaron Jones,ODI,0,8.18,15.0,5.76,189.0,665.2,On Fire
Aarti Priya,T20I,8,6.449999999999999,35.715,6.51,18.62,76.5,Average
Aayan Afzal Khan,ODI,8,4.865,43.715,4.12,27.84,74.2,Average
Aayan Afzal Khan,T20I,1,5.75,23.0,5.75,16.66,86.2,Good
Abbas Afridi,CPL,3,11.4,19.0,11.4,19.0,100.0,Good
Abbas Afridi,PSL,27,10.600000000000001,26.215,9.61,21.13,85.6,Good
Abbas Afridi,T20I,9,8.81,15.67,8.45,14.75,95.0,Good
Abbas Ghani,T20I,16,8.945,33.3,8.95,17.26,75.9,Average
Abdul Bashir,T20I,1,10.56,88.0,9.24,57.0,76.1,Average
Abdul Gaffar Saqlain,T20I,2,10.29,42.0,10.29,42.0,100.0,Good
Abdul Majid Abbasi,T20I,49,5.775,18.695,5.59,19.65,101.0,Good
Abdul Makda,T20I,0,8.29,58.0,8.29,58.0,100.0,Good
Abdul Naser Baluch,T20I,30,7.455,15.670000000000002,7.08,15.3,96.3,Good
Abdul Rauf,T20I,0,11.05,35.0,11.05,35.0,100.0,Good
Abdul Salman Khan,T20I,1,7.4,37.0,7.4,37.0,100.0,Good
Abdul Samad,IPL,0,27.0,6.0,13.16,62.5,545.2,On Fire
Abdul Samad,T20I,19,4.515,12.235,4.16,10.41,88.6,Good
Abdul Waheed,T20I,0,6.67,20.0,7.09,19.5,101.9,Good
Abdul Wahid,T20I,0,10.43,73.0,8.66,20.73,55.7,Poor
Abdullah Mahmood,T20I,11,5.49,10.39,6.24,13.88,123.6,On Fire
Abdullah Mohd Yousaf,T20I,2,7.525,47.5,8.91,47.5,109.2,Good
Abdullahi Ismail,T20I,9,5.4350000000000005,14.0,5.65,14.44,103.5,Good
Abdurrahman Ahmadzai,T20I,2,4.62,18.5,4.62,18.5,100.0,Good
Abeera Waris,T20I,2,6.0,27.0,7.42,30.0,117.4,On Fire
Abhinandan Singh,IPL,3,12.62,40.67,12.62,40.67,100.0,Good
Abhishek Anand,T20I,1,3.125,6.5,2.6,13.0,141.6,On Fire
Abhishek Sharma,IPL,0,10.16,80.5,9.02,50.0,75.4,Average
Abhishek Sharma,T20I,7,8.61,20.085,8.47,27.4,117.4,On Fire
Abid Ullah Shah,T20I,1,12.33,74.0,12.33,74.0,100.0,Good
Abidullah Kotwa,T20I,1,12.67,38.0,12.67,38.0,100.0,Good
Abraar Khan,T20I,1,5.0,10.0,5.0,10.0,100.0,Good
Abrar Ahmed,ODI,26,4.22,23.375,4.33,20.35,94.8,Good
Abrar Ahmed,PSL,28,7.92,25.635,7.85,23.32,95.0,Good
Abrar Ahmed,T20I,42,6.63,16.384999999999998,6.75,17.37,103.9,Good
Abrar Ahmed,Test,7,3.01,14.57,3.6,32.92,172.8,On Fire
Abul Farhad,T20I,1,12.0,96.0,8.74,24.09,49.0,Poor
Ada Bhasin,T20I,5,4.0,8.0,4.51,14.68,148.1,On Fire
Adam Senn,T20I,20,6.029999999999999,17.405,6.14,13.3,89.1,Good
Adil Butt,T20I,18,7.675,13.21,8.04,17.58,118.9,On Fire
Adil Khan,T20I,4,10.190000000000001,20.375,7.91,18.67,84.6,Average
Adil Latheef,T20I,1,7.14,44.0,7.14,44.0,100.0,Good
Adnan Shnwarei,T20I,0,7.67,23.0,7.67,23.0,100.0,Good
Afida Afthab,T20I,12,4.654999999999999,19.17,4.84,19.0,101.5,Good
Afif Hossain,ODI,0,8.0,8.0,6.27,38.67,280.9,On Fire
Agha Salman,ODI,5,5.9,90.25,5.83,53.1,78.8,Average
Agha Salman,PSL,5,8.465,32.415,8.27,36.38,105.0,Good
Agha Salman,T20I,4,7.085,23.335,7.68,20.86,98.9,Good
Agha Salman,Test,4,4.02,58.625,3.77,58.24,96.6,Good
Ahmad Khalid Ahmadzai,T20I,10,6.14,8.7,6.59,11.25,118.3,On Fire
Ahmad Ullah,T20I,9,6.5,13.0,6.5,13.0,100.0,Good
Ahmadullah Shinwari,T20I,28,7.33,20.18,6.99,20.86,99.4,Good
Ahmed Al Zadjali,T20I,0,15.0,15.0,15.0,15.0,100.0,Good
Ahmed Aqeel,T20I,2,8.46,27.5,6.63,35.8,104.3,Good
Ahmed Daniyal,PSL,13,8.48,17.475,9.02,27.75,132.6,On Fire
Ahmed Daniyal,T20I,3,5.57,13.0,5.57,13.0,100.0,Good
Ahmed Faiz,T20I,1,4.4,22.0,6.14,44.0,169.8,On Fire
Ahmed Wardak,T20I,2,6.86,20.0,6.43,14.83,83.9,Average
Ahmer Bin Nisar,T20I,2,10.085,18.25,9.6,24.0,113.3,On Fire
Ainna Hamizah Hashim,T20I,23,5.305,15.8,5.39,18.31,108.7,Good
Aisya Eleesa,T20I,20,4.71,15.79,5.43,17.83,114.1,On Fire
Aizaz Khan,T20I,13,8.76,24.060000000000002,7.82,19.58,85.3,Good
Ajay Kumar,ODI,11,4.59,15.36,4.59,15.36,100.0,Good
Ajay Kumar,T20I,0,4.0,16.0,4.0,16.0,100.0,Good
Ajaz Patel,T20I,2,5.0,12.5,5.0,12.5,100.0,Good
Ajhar Alam,T20I,3,9.094999999999999,29.5,9.0,30.0,100.3,Good
Ajin Soman,T20I,6,9.04,20.33,9.04,20.33,100.0,Good
Akash Deep,IPL,3,12.05,76.33,11.66,49.82,81.0,Average
Akash Deep,Test,13,4.27,36.46,3.85,35.79,94.2,Good
