bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
DJ Worrall,49,1099,1429.0,43,505,35,3,183.2,7.8,33.23,45.95,25.56
HDJ Siegers,42,733,752.0,43,367,35,0,122.2,6.16,17.49,50.07,17.05
P Awana,35,787,1100.0,43,316,23,4,131.2,8.39,25.58,40.15,18.3
LJ Wright,79,1597,1712.0,43,673,33,6,266.2,6.43,39.81,42.14,37.14
Samiullah Rahmani,23,458,538.0,43,181,12,3,76.3,7.05,12.51,39.52,10.65
Sirajullah Khadim,31,616,662.0,43,282,9,2,102.7,6.45,15.4,45.78,14.33
J Edwards,34,677,900.0,43,275,26,3,112.8,7.98,20.93,40.62,15.74
Sami Sohail,34,599,715.0,43,237,30,1,99.8,7.16,16.63,39.57,13.93
Azhar Mahmood,38,1035,1140.0,43,481,25,11,172.5,6.61,26.51,46.47,24.07
BD Glover,30,782,838.0,43,415,89,3,130.3,6.43,19.49,53.07,18.19
K Waiswa,31,527,619.0,43,228,26,5,87.8,7.05,14.4,43.26,12.26
CO Obuya,43,1149,1017.0,43,579,37,10,191.5,5.31,23.65,50.39,26.72
Mohsin Khan,33,708,989.0,43,305,26,0,118.0,8.38,23.0,43.08,16.47
BC Fortuin,39,1065,1156.0,43,486,16,0,177.5,6.51,26.88,45.63,24.77
M Labuschagne,77,1937,1635.0,43,1039,15,12,322.8,5.06,38.02,53.64,45.05
A Dcosta,32,670,582.0,43,359,28,3,111.7,5.21,13.53,53.58,15.58
NLKWR Dewi,31,561,385.0,43,365,44,1,93.5,4.12,8.95,65.06,13.05
Enamul Haque jnr,22,3398,1856.0,42,2330,5,53,566.3,3.28,44.19,68.57,80.9
Akif Javed,29,696,958.0,42,303,36,9,116.0,8.26,22.81,43.53,16.57
Ikramullah Khan,35,668,923.0,42,241,25,8,111.3,8.29,21.98,36.08,15.9
Umaima Sohail,54,1184,1058.0,42,555,42,3,197.3,5.36,25.19,46.88,28.19
UDU Chandana,29,1875,1362.0,42,1095,14,7,312.5,4.36,32.43,58.4,44.64
AM Blignaut,36,2137,1728.0,42,1349,89,40,356.2,4.85,41.14,63.13,50.88
N Thushara,36,733,1036.0,42,271,44,8,122.2,8.48,24.67,36.97,17.45
NC Monteiro,34,568,419.0,42,319,23,1,94.7,4.43,9.98,56.16,13.52
Nasir Hossain,70,2344,1684.0,42,1333,16,0,390.7,4.31,40.1,56.87,55.81
KKN Egodage,44,750,630.0,42,375,13,2,125.0,5.04,15.0,50.0,17.86
I Nandakumar,53,1013,802.0,42,560,19,1,168.8,4.75,19.1,55.28,24.12
L Paul,56,1085,1006.0,42,495,52,13,180.8,5.56,23.95,45.62,25.83
Rahmatullah Mangal,27,522,563.0,42,276,38,0,87.0,6.47,13.4,52.87,12.43
W Madhevere,70,1617,1435.0,42,786,28,1,269.5,5.32,34.17,48.61,38.5
Syazrul Idrus,25,468,560.0,42,218,20,0,78.0,7.18,13.33,46.58,11.14
RR Patel,39,665,641.0,42,297,10,0,110.8,5.78,15.26,44.66,15.83
A Mazvishaya,39,1069,930.0,42,559,25,2,178.2,5.22,22.14,52.29,25.45
AM Peterson,35,866,658.0,42,464,6,0,144.3,4.56,15.67,53.58,20.62
S Kananji,32,583,452.0,41,398,79,4,97.2,4.65,11.02,68.27,14.22
Ahsan Malik,28,650,753.0,41,269,13,2,108.3,6.95,18.37,41.38,15.85
Mengting Liu,21,444,306.0,41,287,21,0,74.0,4.14,7.46,64.64,10.83
DN Wyatt,39,961,797.0,41,471,20,1,160.2,4.98,19.44,49.01,23.44
K Piet,33,606,648.0,41,302,4,2,101.0,6.42,15.8,49.83,14.78
D Parashar,43,1106,1026.0,41,551,18,0,184.3,5.57,25.02,49.82,26.98
MS Gony,46,971,1363.0,41,410,35,5,161.8,8.42,33.24,42.22,23.68
Sultana Khatun,40,1308,1063.0,41,740,20,2,218.0,4.88,25.93,56.57,31.9
R Rijke,40,703,598.0,41,400,45,1,117.2,5.1,14.59,56.9,17.15
AE Satterthwaite,51,1310,1140.0,41,634,12,2,218.3,5.22,27.8,48.4,31.95
SF Tiai,28,602,689.0,41,239,8,2,100.3,6.87,16.8,39.7,14.68
C Abel,34,751,670.0,41,384,56,6,125.2,5.35,16.34,51.13,18.32
GK Diviya,42,821,570.0,41,511,16,0,136.8,4.17,13.9,62.24,20.02
SA Ahmad,33,643,608.0,41,295,16,1,107.2,5.67,14.83,45.88,15.68
E Otieno,36,886,1017.0,41,454,47,14,147.7,6.89,24.8,51.24,21.61
R Hekure,43,1225,1066.0,40,620,14,3,204.2,5.22,26.65,50.61,30.62
DA Payne,25,557,734.0,40,248,13,1,92.8,7.91,18.35,44.52,13.92
RR Beaton,42,908,1277.0,40,375,78,3,151.3,8.44,31.92,41.3,22.7
SA Wittmann,48,734,641.0,40,432,62,9,122.3,5.24,16.02,58.86,18.35
Chaya Mughal,50,919,712.0,40,556,50,9,153.2,4.65,17.8,60.5,22.98
SK Springer,38,684,1023.0,40,236,42,5,114.0,8.97,25.58,34.5,17.1
J Kariko,28,666,571.0,40,330,8,1,111.0,5.14,14.28,49.55,16.65
P Negi,43,734,955.0,40,257,17,0,122.3,7.81,23.88,35.01,18.35
Shivam Mavi,38,740,1065.0,40,300,37,7,123.3,8.64,26.62,40.54,18.5
AA Patil,34,701,668.0,40,305,21,2,116.8,5.72,16.7,43.51,17.52
M Upadhayay,26,558,431.0,40,323,17,0,93.0,4.63,10.78,57.89,13.95
MJG Nielsen,34,1071,740.0,40,674,28,3,178.5,4.15,18.5,62.93,26.78
JP Greaves,29,2079,1424.0,40,1398,28,9,346.5,4.11,35.6,67.24,51.98
L Idambo,37,615,514.0,40,386,19,1,102.5,5.01,12.85,62.76,15.38
AB Kaur,56,1174,1375.0,40,545,44,0,195.7,7.03,34.38,46.42,29.35
Haider Ali,32,1014,877.0,40,541,7,0,169.0,5.19,21.92,53.35,25.35
S Conteh,29,545,510.0,40,286,23,1,90.8,5.61,12.75,52.48,13.62
K McGill,30,486,493.0,40,225,27,7,81.0,6.09,12.32,46.3,12.15
T Mupariwa,30,1403,1251.0,40,765,47,7,233.8,5.35,31.28,54.53,35.08
M Taniyama,33,467,438.0,39,235,7,6,77.8,5.63,11.23,50.32,11.97
DC Drakes,47,921,1392.0,39,359,71,2,153.5,9.07,35.69,38.98,23.62
LA Burns,25,571,529.0,39,277,17,1,95.2,5.56,13.56,48.51,14.64
Raja Adeel,24,489,480.0,39,264,22,1,81.5,5.89,12.31,53.99,12.54
Akash Deep,24,1844,1550.0,39,1191,24,30,307.3,5.04,39.74,64.59,47.28
Sahel Zadran,34,671,796.0,39,309,28,3,111.8,7.12,20.41,46.05,17.21
Salman Mirza,28,590,805.0,39,268,25,4,98.3,8.19,20.64,45.42,15.13
Rizwan Haider,33,568,696.0,39,256,23,2,94.7,7.35,17.85,45.07,14.56
D Jakiel,30,566,695.0,39,282,38,8,94.3,7.37,17.82,49.82,14.51
Bismah Maroof,73,1200,1048.0,39,529,33,2,200.0,5.24,26.87,44.08,30.77
C Wright,36,638,723.0,39,291,19,3,106.3,6.8,18.54,45.61,16.36
D Paterson,19,1724,1138.0,39,1188,12,17,287.3,3.96,29.18,68.91,44.21
Arafat Sunny,25,956,786.0,39,506,9,0,159.3,4.93,20.15,52.93,24.51
HJ Manenti,21,409,456.0,39,179,28,4,68.2,6.69,11.69,43.77,10.49
SO Tikolo,31,1158,993.0,38,587,20,3,193.0,5.15,26.13,50.69,30.47
Shorna Akter,54,887,863.0,38,396,4,3,147.8,5.84,22.71,44.64,23.34
Mohameed Taiwo,45,773,840.0,38,384,32,7,128.8,6.52,22.11,49.68,20.34
N Nipiko,25,429,563.0,38,180,25,16,71.5,7.87,14.82,41.96,11.29
Waqar Zalmai,35,665,850.0,38,281,41,2,110.8,7.67,22.37,42.26,17.5
Maryam Omar,37,715,577.0,38,405,31,9,119.2,4.84,15.18,56.64,18.82
BA Williams,20,1190,757.0,38,835,48,5,198.3,3.82,19.92,70.17,31.32
S Bau,55,1034,934.0,38,523,8,3,172.3,5.42,24.58,50.58,27.21
M Dillon,23,1789,1085.0,38,1219,21,32,298.2,3.64,28.55,68.14,47.08
Meghna Singh,41,1183,1181.0,38,663,45,2,197.2,5.99,31.08,56.04,31.13
I Danladi,36,532,509.0,38,251,14,0,88.7,5.74,13.39,47.18,14.0
Khaled Ahmed,21,2847,1715.0,38,2022,3,19,474.5,3.61,45.13,71.02,74.92
Ateeq Iqbal,40,723,738.0,38,357,13,1,120.5,6.12,19.42,49.38,19.03
R Andrew,34,630,581.0,38,351,46,5,105.0,5.53,15.29,55.71,16.58
R Sakurano-Thomas,37,536,597.0,38,272,23,1,89.3,6.68,15.71,50.75,14.11
H Masakadza,83,2321,1709.0,38,1359,31,0,386.8,4.42,44.97,58.55,61.08
SAN Maypriani,31,596,378.0,38,384,33,0,99.3,3.81,9.95,64.43,15.68
Ashwin Vinod,27,541,665.0,38,271,39,0,90.2,7.38,17.5,50.09,14.24
C Connolly,43,769,882.0,38,311,13,1,128.2,6.88,23.21,40.44,20.24
Sarfaraz Ali,37,674,801.0,38,257,15,1,112.3,7.13,21.08,38.13,17.74
NK Yadav,28,684,747.0,38,361,50,6,114.0,6.55,19.66,52.78,18.0
JT Ball,31,1748,1673.0,38,973,44,3,291.3,5.74,44.03,55.66,46.0
Sarawut Maliwan,37,630,709.0,38,241,21,1,105.0,6.75,18.66,38.25,16.58
P Koech,34,576,697.0,38,286,41,4,96.0,7.26,18.34,49.65,15.16
ML Cummins,27,2481,1642.0,38,1695,25,43,413.5,3.97,43.21,68.32,65.29
Sazib Bhuiyan,23,424,607.0,38,128,23,2,70.7,8.59,15.97,30.19,11.16
EU Kejarukua,42,842,664.0,37,470,28,4,140.3,4.73,17.95,55.82,22.76
Zahid Mahmood,27,1100,1314.0,37,458,8,0,183.3,7.17,35.51,41.64,29.73
JOA Gordon,26,766,826.0,37,414,65,5,127.7,6.47,22.32,54.05,20.7
DL Piedt,11,2428,1521.0,37,1656,0,1,404.7,3.76,41.11,68.2,65.62
RD Berrington,65,1152,1159.0,37,512,35,1,192.0,6.04,31.32,44.44,31.14
AJ Parmar,23,462,494.0,37,195,11,0,77.0,6.42,13.35,42.21,12.49
Habib Khan,23,475,520.0,37,223,37,0,79.2,6.57,14.05,46.95,12.84
Soumya Sarkar,64,1344,1317.0,37,651,30,2,224.0,5.88,35.59,48.44,36.32
Shabbir Ahmed,18,1625,927.0,37,1182,37,28,270.8,3.42,25.05,72.74,43.92
AC Thomas,35,743,889.0,37,307,26,4,123.8,7.18,24.03,41.32,20.08
G Onions,13,1814,1142.0,37,1304,19,4,302.3,3.78,30.86,71.89,49.03
PJ Ongondo,37,1391,1091.0,37,906,38,23,231.8,4.71,29.49,65.13,37.59
FG Kemp,35,613,749.0,37,271,36,1,102.2,7.33,20.24,44.21,16.57
Ruchitha Venkatesh,52,904,772.0,37,463,50,4,150.7,5.12,20.86,51.22,24.43
Riya Sharma,36,703,622.0,37,368,33,4,117.2,5.31,16.81,52.35,19.0
L Moises,30,575,395.0,37,341,16,3,95.8,4.12,10.68,59.3,15.54
Harpreet Brar,48,860,1145.0,37,295,15,1,143.3,7.99,30.95,34.3,23.24
S Yeshi,35,726,673.0,37,360,11,0,121.0,5.56,18.19,49.59,19.62
R Sai Kishore,29,514,734.0,37,171,13,1,85.7,8.57,19.84,33.27,13.89
SF Daley,34,913,789.0,37,486,17,1,152.2,5.19,21.32,53.23,24.68
Abdul Naser Baluch,22,480,566.0,37,242,49,1,80.0,7.08,15.3,50.42,12.97
Naeem Islam,54,1970,1542.0,37,1013,29,3,328.3,4.7,41.68,51.42,53.24
M Tom,41,844,689.0,37,508,45,8,140.7,4.9,18.62,60.19,22.81
M Markande,41,775,1176.0,37,229,17,1,129.2,9.1,31.78,29.55,20.95
Amjad Mahboob,26,523,724.0,36,207,24,3,87.2,8.31,20.11,39.58,14.53
A Brindle,30,841,648.0,36,450,24,1,140.2,4.62,18.0,53.51,23.36
DM Bess,12,2503,1223.0,36,1868,0,1,417.2,2.93,33.97,74.63,69.53
DG Blampied,38,682,767.0,36,283,10,3,113.7,6.75,21.31,41.5,18.94
A Gbla,28,465,504.0,36,207,23,1,77.5,6.5,14.0,44.52,12.92
Sanjida Akter Meghla,31,659,606.0,36,326,8,0,109.8,5.52,16.83,49.47,18.31
A Chandel,36,742,602.0,36,415,24,8,123.7,4.87,16.72,55.93,20.61
C Mahamalage,33,648,614.0,36,335,31,0,108.0,5.69,17.06,51.7,18.0
Prince Yadav,27,633,936.0,36,238,39,1,105.5,8.87,26.0,37.6,17.58
R Tewatia,52,845,1111.0,36,270,21,2,140.8,7.89,30.86,31.95,23.47
IM Vaghela,34,731,623.0,36,417,67,4,121.8,5.11,17.31,57.05,20.31
D Ravu,36,972,971.0,36,504,35,16,162.0,5.99,26.97,51.85,27.0
SS Weerakkody,54,1338,1073.0,36,792,43,0,223.0,4.81,29.81,59.19,37.17
V Araa,34,719,577.0,36,361,12,3,119.8,4.82,16.03,50.21,19.97
JJ Bazley,39,692,1008.0,36,231,25,1,115.3,8.74,28.0,33.38,19.22
SVE Bharathi,29,575,485.0,36,302,18,0,95.8,5.06,13.47,52.52,15.97
B White,38,1219,1458.0,36,505,18,4,203.2,7.18,40.5,41.43,33.86
Hassan Khan,60,977,1309.0,36,318,15,3,162.8,8.04,36.36,32.55,27.14
Amjad Javed,29,836,885.0,36,428,22,2,139.3,6.35,24.58,51.2,23.22
T Zangmo,34,690,558.0,36,343,24,3,115.0,4.85,15.5,49.71,19.17
CJ Gannon,28,568,823.0,36,176,14,4,94.7,8.69,22.86,30.99,15.78
V Zimonjic,31,622,794.0,36,298,34,6,103.7,7.66,22.06,47.91,17.28
FR Davies,34,893,845.0,36,481,38,2,148.8,5.68,23.47,53.86,24.81
Ahmadullah Shinwari,35,645,751.0,36,337,43,2,107.5,6.99,20.86,52.25,17.92
J Jarvis,28,843,853.0,36,450,35,6,140.5,6.07,23.69,53.38,23.42
ASF Sirah,23,448,486.0,36,197,28,0,74.7,6.51,13.5,43.97,12.44
S Asha,31,610,715.0,36,244,11,0,101.7,7.03,19.86,40.0,16.94
Abu Jayed,16,2103,1277.0,36,1528,16,7,350.5,3.64,35.47,72.66,58.42
Tuba Hassan,47,989,1030.0,36,462,22,0,164.8,6.25,28.61,46.71,27.47
ZL Win,32,652,461.0,35,410,37,3,108.7,4.24,13.17,62.88,18.63
Kartik Tyagi,33,740,1211.0,35,268,35,12,123.3,9.82,34.6,36.22,21.14
DJ Mitchell,69,1449,1284.0,35,818,35,5,241.5,5.32,36.69,56.45,41.4
L Bruce,39,709,977.0,35,281,54,0,118.2,8.27,27.91,39.63,20.26
A Kohli,32,677,661.0,35,328,41,20,112.8,5.86,18.89,48.45,19.34
H Rathod,19,391,423.0,35,140,10,0,65.2,6.49,12.09,35.81,11.17
R Samson,27,505,420.0,35,276,32,3,84.2,4.99,12.0,54.65,14.43
Imran Haider,26,952,915.0,35,467,22,3,158.7,5.77,26.14,49.05,27.2
G Dempsey,40,1173,1097.0,35,628,68,9,195.5,5.61,31.34,53.54,33.51
NMP Suwandewi,32,644,404.0,35,433,33,9,107.3,3.76,11.54,67.24,18.4
Sahir Naqash,24,404,483.0,35,174,24,5,67.3,7.17,13.8,43.07,11.54
MH Ushanga,30,577,453.0,35,306,18,0,96.2,4.71,12.94,53.03,16.49
SR Thompson,37,1016,1009.0,35,548,54,14,169.3,5.96,28.83,53.94,29.03
FL Mackay,28,897,787.0,35,415,5,4,149.5,5.26,22.49,46.27,25.63
S Bodha,27,459,659.0,35,181,18,1,76.5,8.61,18.83,39.43,13.11
M Ashwin,44,873,1162.0,35,298,25,3,145.5,7.99,33.2,34.14,24.94
Ayan Khan,59,1425,1305.0,35,741,40,0,237.5,5.49,37.29,52.0,40.71
A Capsey,48,861,830.0,35,398,29,2,143.5,5.78,23.71,46.23,24.6
A Kamboj,26,610,905.0,35,260,15,11,101.7,8.9,25.86,42.62,17.43
L Mabhero,44,1102,981.0,35,553,22,0,183.7,5.34,28.03,50.18,31.49
J Gunasekar,27,518,403.0,35,258,3,2,86.3,4.67,11.51,49.81,14.8
R Coker,35,686,642.0,34,337,13,2,114.3,5.62,18.88,49.13,20.18
Yash Thakur,24,520,900.0,34,175,33,5,86.7,10.38,26.47,33.65,15.29
Khaled Mahmud,31,1960,1410.0,34,1212,34,21,326.7,4.32,41.47,61.84,57.65
A Salomao,30,637,550.0,34,372,56,12,106.2,5.18,16.18,58.4,18.74
D Sabir,23,379,363.0,34,169,3,0,63.2,5.75,10.68,44.59,11.15
Rameen Shamim,36,1198,1035.0,34,603,13,0,199.7,5.18,30.44,50.33,35.24
FA Sargent,32,1099,1123.0,34,457,25,2,183.2,6.13,33.03,41.58,32.32
K Sinclair,29,1254,1032.0,34,658,17,14,209.0,4.94,30.35,52.47,36.88
TG Norris,23,570,460.0,34,347,27,0,95.0,4.84,13.53,60.88,16.76
SF Jerome,35,627,470.0,34,334,20,0,104.5,4.5,13.82,53.27,18.44
Nazmul Hossain,29,1321,1103.0,34,802,21,5,220.2,5.01,32.44,60.71,38.85
HAM Shah,18,303,342.0,34,129,11,0,50.5,6.77,10.06,42.57,8.91
HRA Rainey,42,756,726.0,34,397,57,4,126.0,5.76,21.35,52.51,22.24
Aliya Riaz,61,1266,1359.0,34,579,71,4,211.0,6.44,39.97,45.73,37.24
Joshua Asia,23,430,335.0,34,208,4,4,71.7,4.67,9.85,48.37,12.65
S Muthusamy,18,1296,967.0,34,806,4,8,216.0,4.48,28.44,62.19,38.12
VP Thamotharam,42,679,866.0,34,266,61,2,113.2,7.65,25.47,39.18,19.97
Mohammad Ghazanfar,32,606,690.0,34,244,11,2,101.0,6.83,20.29,40.26,17.82
MM Letsoalo,42,1149,807.0,34,727,16,3,191.5,4.21,23.74,63.27,33.79
MM Baig,23,389,491.0,34,176,24,2,64.8,7.57,14.44,45.24,11.44
K Hinds,26,547,513.0,34,302,14,1,91.2,5.63,15.09,55.21,16.09
N Shangase,38,954,941.0,34,432,10,1,159.0,5.92,27.68,45.28,28.06
BB Sran,32,838,1067.0,34,376,48,5,139.7,7.64,31.38,44.87,24.65
RN ten Doeschate,31,899,898.0,34,448,36,4,149.8,5.99,26.41,49.83,26.44
A Doddaballapur,22,385,282.0,34,225,21,3,64.2,4.39,8.29,58.44,11.32
D Suzuki,43,526,625.0,33,234,32,2,87.7,7.13,18.94,44.49,15.94
LV Boas,31,460,394.0,33,278,46,3,76.7,5.14,11.94,60.43,13.94
G Kodali,44,890,878.0,33,484,56,3,148.3,5.92,26.61,54.38,26.97
Noman Amjad,39,749,895.0,33,359,42,8,124.8,7.17,27.12,47.93,22.7
Imran Khan (2),13,1707,1017.0,33,1253,3,7,284.5,3.57,30.82,73.4,51.73
MC Sorensen,26,723,770.0,33,366,25,6,120.5,6.39,23.33,50.62,21.91
K Amuge,20,380,273.0,33,241,10,1,63.3,4.31,8.27,63.42,11.52
Aysha,38,635,671.0,33,297,61,10,105.8,6.34,20.33,46.77,19.24
Ma Ruike,26,495,405.0,33,298,52,2,82.5,4.91,12.27,60.2,15.0
Ali Nayyer,23,514,615.0,33,238,37,10,85.7,7.18,18.64,46.3,15.58
Adil Butt,22,433,580.0,33,222,32,1,72.2,8.04,17.58,51.27,13.12
BAD Manenti,49,861,1061.0,33,291,16,0,143.5,7.39,32.15,33.8,26.09
AAP Rivero,23,471,409.0,33,230,19,2,78.5,5.21,12.39,48.83,14.27
W Nalisa,27,572,664.0,33,230,37,2,95.3,6.97,20.12,40.21,17.33
Ijaz Hussain,24,431,504.0,33,198,46,6,71.8,7.02,15.27,45.94,13.06
GM Muthui,26,482,517.0,33,274,24,1,80.3,6.44,15.67,56.85,14.61
B Mavuta,26,1387,1106.0,33,764,32,1,231.2,4.78,33.52,55.08,42.03
SZ Vayani,31,614,691.0,33,284,10,9,102.3,6.75,20.94,46.25,18.61
DAS Gunaratne,41,1150,1049.0,33,499,16,5,191.7,5.47,31.79,43.39,34.85
L Bull,24,413,305.0,33,231,12,2,68.8,4.43,9.24,55.93,12.52
A Kirschbaum,29,591,564.0,33,305,27,2,98.5,5.73,17.09,51.61,17.91
Mosaddek Hossain,65,1538,1406.0,33,703,19,2,256.3,5.49,42.61,45.71,46.61
DMW Rawlins,36,667,678.0,33,338,18,1,111.2,6.1,20.55,50.67,20.21
DT Hondo,32,1346,1168.0,32,784,47,10,224.3,5.21,36.5,58.25,42.06
O Bell,30,708,592.0,32,410,10,0,118.0,5.02,18.5,57.91,22.12
K Arua,21,440,338.0,32,232,15,4,73.3,4.61,10.56,52.73,13.75
Ibrahim Hassan,38,667,823.0,32,317,28,8,111.2,7.4,25.72,47.53,20.84
CM Greechan,20,454,252.0,32,287,10,0,75.7,3.33,7.88,63.22,14.19
P Jayawickrama,15,1598,937.0,32,1108,4,1,266.3,3.52,29.28,69.34,49.94
OEG Baartman,23,599,696.0,32,305,30,0,99.8,6.97,21.75,50.92,18.72
S Gill,23,482,409.0,32,291,19,0,80.3,5.09,12.78,60.37,15.06
S Ishaque,27,510,659.0,32,203,6,1,85.0,7.75,20.59,39.8,15.94
MA Baig,19,351,283.0,32,194,5,0,58.5,4.84,8.84,55.27,10.97
Aamer Yamin,38,758,1024.0,32,311,30,6,126.3,8.11,32.0,41.03,23.69
GM Harris,36,700,680.0,32,339,9,2,116.7,5.83,21.25,48.43,21.88
Haroon Arshad,33,513,714.0,32,215,32,11,85.5,8.35,22.31,41.91,16.03
Festus Benn,23,441,460.0,32,201,2,0,73.5,6.26,14.38,45.58,13.78
Abdullah Akbarjan,21,428,483.0,32,150,12,0,71.3,6.77,15.09,35.05,13.38
BA Pai,33,657,727.0,32,332,17,0,109.5,6.64,22.72,50.53,20.53
P Maziya,21,451,385.0,32,249,29,1,75.2,5.12,12.03,55.21,14.09
HMD Rasangika,32,507,578.0,32,205,23,28,84.5,6.84,18.06,40.43,15.84
Tapash Baisya,30,1782,1532.0,32,1102,34,27,297.0,5.16,47.88,61.84,55.69
AR Adams,21,886,829.0,32,528,26,2,147.7,5.61,25.91,59.59,27.69
Adnan Idrees,28,491,630.0,32,186,9,0,81.8,7.7,19.69,37.88,15.34
AR Caddick,13,1155,776.0,32,824,15,15,192.5,4.03,24.25,71.34,36.09
J Srinath,17,1028,626.0,32,717,23,5,171.3,3.65,19.56,69.75,32.12
LK O'Reilly,27,615,582.0,32,304,46,4,102.5,5.68,18.19,49.43,19.22
T Tshose,35,559,654.0,32,248,14,1,93.2,7.02,20.44,44.36,17.47
MH Yardy,40,1549,1333.0,32,707,23,1,258.2,5.16,41.66,45.64,48.41
Arshad Iqbal,27,559,822.0,32,198,15,5,93.2,8.82,25.69,35.42,17.47
AF Ifill,26,513,526.0,32,256,12,1,85.5,6.15,16.44,49.9,16.03
Irfan Ringku,16,341,371.0,32,183,22,0,56.8,6.53,11.59,53.67,10.66
TD Smartt,36,934,733.0,32,542,22,35,155.7,4.71,22.91,58.03,29.19
EJB Miles,25,528,553.0,32,221,10,0,88.0,6.28,17.28,41.86,16.5
Q Joseph,34,810,725.0,32,394,17,2,135.0,5.37,22.66,48.64,25.31
HS Baidwan,23,931,871.0,32,506,22,1,155.2,5.61,27.22,54.35,29.09
EM Bermingham,29,941,773.0,32,527,32,0,156.8,4.93,24.16,56.0,29.41
A Mokgotlhe,48,752,648.0,32,440,79,12,125.3,5.17,20.25,58.51,23.5
Sufyan Mehmood,34,705,854.0,32,261,14,1,117.5,7.27,26.69,37.02,22.03
SA Mohandas,33,630,826.0,31,302,44,0,105.0,7.87,26.65,47.94,20.32
RJ Gleeson,26,533,767.0,31,192,29,3,88.8,8.63,24.74,36.02,17.19
RK Kleinveldt,19,1268,995.0,31,833,35,26,211.3,4.71,32.1,65.69,40.9
A Morris,24,523,513.0,31,261,6,0,87.2,5.89,16.55,49.9,16.87
E Toguchi-Quinn,25,464,376.0,31,256,15,5,77.3,4.86,12.13,55.17,14.97
K Joshi,42,648,572.0,31,304,23,1,108.0,5.3,18.45,46.91,20.9
U Shantu,17,361,404.0,31,202,23,3,60.2,6.71,13.03,55.96,11.65
Shahbaz Ahmed,54,825,1207.0,31,257,19,2,137.5,8.78,38.94,31.15,26.61
JJ van der Wath,20,774,888.0,31,354,16,7,129.0,6.88,28.65,45.74,24.97
AR Puri,36,666,878.0,31,250,18,0,111.0,7.91,28.32,37.54,21.48
AJ McKay,22,1148,951.0,31,711,47,2,191.3,4.97,30.68,61.93,37.03
SL Quintyne,27,656,545.0,31,309,17,2,109.3,4.98,17.58,47.1,21.16
Haseeb Amjad,16,395,424.0,31,206,16,3,65.8,6.44,13.68,52.15,12.74
WW Hinds,23,984,730.0,31,558,14,4,164.0,4.45,23.55,56.71,31.74
MI Khagoitsa,21,432,301.0,31,291,16,0,72.0,4.18,9.71,67.36,13.94
CAH Stevenson,24,808,809.0,31,429,37,1,134.7,6.01,26.1,53.09,26.06
CA Rose,56,947,1304.0,31,328,14,0,157.8,8.26,42.06,34.64,30.55
BJ Webster,46,1085,997.0,31,522,11,10,180.8,5.51,32.16,48.11,35.0
Umm-e-Hani,28,1144,959.0,31,570,19,0,190.7,5.03,30.94,49.83,36.9
MB Tambe,26,485,572.0,31,190,21,3,80.8,7.08,18.45,39.18,15.65
Waqas Maqsood,21,434,626.0,31,142,19,2,72.3,8.65,20.19,32.72,14.0
Saud Munir,20,400,411.0,31,173,8,0,66.7,6.17,13.26,43.25,12.9
Anas Khan,20,363,394.0,31,157,10,0,60.5,6.51,12.71,43.25,11.71
JJ Krejza,18,1342,1119.0,31,732,11,0,223.7,5.0,36.1,54.55,43.29
A Hartley,27,1112,823.0,31,625,16,0,185.3,4.44,26.55,56.21,35.87
A Singh,23,474,620.0,31,200,12,1,79.0,7.85,20.0,42.19,15.29
Panna Ghosh,34,755,629.0,31,448,14,1,125.8,5.0,20.29,59.34,24.35
S Walaza,32,590,536.0,31,319,22,3,98.3,5.45,17.29,54.07,19.03
Vijaykumar Vyshak,25,522,906.0,31,146,28,3,87.0,10.41,29.23,27.97,16.84
Shafina Mahesh,37,668,669.0,31,359,48,10,111.3,6.01,21.58,53.74,21.55
PV Tambe,36,714,889.0,31,249,15,0,119.0,7.47,28.68,34.87,23.03
Ilenia Sims,22,432,432.0,31,172,10,6,72.0,6.0,13.94,39.81,13.94
Mohammad Ashraful,64,1463,1243.0,31,753,11,1,243.8,5.1,40.1,51.47,47.19
Shafali Verma,43,596,594.0,31,251,18,0,99.3,5.98,19.16,42.11,19.23
CM Gough,30,542,475.0,31,287,36,5,90.3,5.26,15.32,52.95,17.48
M Dale-Bradley,20,448,491.0,30,197,19,0,74.7,6.58,16.37,43.97,14.93
Ibrahim Rizan,31,560,643.0,30,234,13,0,93.3,6.89,21.43,41.79,18.67
Rasikh Salam,25,492,814.0,30,156,25,4,82.0,9.93,27.13,31.71,16.4
B Ito-Davis,20,340,244.0,30,201,1,0,56.7,4.31,8.13,59.12,11.33
Priyada Murali,40,630,621.0,30,279,45,13,105.0,5.91,20.7,44.29,21.0
KT Maphaka,26,817,1054.0,30,391,49,8,136.2,7.74,35.13,47.86,27.23
Nonoha Yasumoto,26,483,359.0,30,301,40,3,80.5,4.46,11.97,62.32,16.1
S Nampiina,19,326,283.0,30,177,25,4,54.3,5.21,9.43,54.29,10.87
CL Cairns,27,1355,1023.0,30,829,15,15,225.8,4.53,34.1,61.18,45.17
R Shimwamana,32,546,324.0,30,353,30,3,91.0,3.56,10.8,64.65,18.2
MV Pavlovic,23,458,533.0,30,196,16,2,76.3,6.98,17.77,42.79,15.27
NM Salonen,22,423,480.0,30,201,31,6,70.5,6.81,16.0,47.52,14.1
