bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
Abdul Majid Abbasi,76,1625,1513.0,77,821,7,1,270.8,5.59,19.65,50.52,21.1
RC Belbashi,76,1353,985.0,77,734,30,1,225.5,4.37,12.79,54.25,17.57
AR Nurse,102,3066,3180.0,77,1295,64,1,511.0,6.22,41.3,42.24,39.82
Rumman Raees,65,1620,1973.0,77,674,58,10,270.0,7.31,25.62,41.6,21.04
S Dharnidharka,72,1359,1078.0,77,864,125,6,226.5,4.76,14.0,63.58,17.65
VR Aaron,68,2595,2847.0,77,1418,98,32,432.5,6.58,36.97,54.64,33.7
UWMBCA Welegedara,32,4367,2767.0,77,3065,28,75,727.8,3.8,35.94,70.19,56.71
Ritu Moni,87,1811,1603.0,76,860,30,1,301.8,5.31,21.09,47.49,23.83
KA Green,74,1445,1075.0,76,877,108,3,240.8,4.46,14.14,60.69,19.01
BJ Currie,38,1193,964.0,76,728,42,0,198.8,4.85,12.68,61.02,15.7
P Aho,62,1160,1191.0,75,626,92,7,193.3,6.16,15.88,53.97,15.47
CB Sole,48,1829,1813.0,75,1048,86,20,304.8,5.95,24.17,57.3,24.39
Naveen-ul-Haq,58,1265,1834.0,75,478,59,9,210.8,8.7,24.45,37.79,16.87
Sajid Khan,22,3767,2243.0,75,2569,9,2,627.8,3.57,29.91,68.2,50.23
Iftikhar Anjum,58,2816,2329.0,75,1646,40,6,469.3,4.96,31.05,58.45,37.55
SA Okpe,76,1335,1311.0,75,601,24,1,222.5,5.89,17.48,45.02,17.8
BJ McMullen,59,2087,1761.0,75,1272,38,13,347.8,5.06,23.48,60.95,27.83
BM Tickner,42,2110,2053.0,75,1186,58,11,351.7,5.84,27.37,56.21,28.13
I Udana,69,1836,2371.0,75,705,85,2,306.0,7.75,31.61,38.4,24.48
GD Elliott,87,1909,1787.0,74,918,39,1,318.2,5.62,24.15,48.09,25.8
E Rukiriza,66,1226,1301.0,74,580,38,1,204.3,6.37,17.58,47.31,16.57
L Tshuma,66,1657,1412.0,74,828,31,6,276.2,5.11,19.08,49.97,22.39
Rosine Irera,61,1200,783.0,74,744,25,2,200.0,3.92,10.58,62.0,16.22
MW Forde,63,1688,1923.0,74,893,78,5,281.3,6.84,25.99,52.9,22.81
L Embuldeniya,17,4879,2611.0,73,3463,1,34,813.2,3.21,35.77,70.98,66.84
S Akiteng,57,1271,996.0,73,705,38,16,211.8,4.7,13.64,55.47,17.41
TM McGrath,92,2369,2032.0,73,1306,64,19,394.8,5.15,27.84,55.13,32.45
N McAndrew,74,1377,2055.0,73,514,66,10,229.5,8.95,28.15,37.33,18.86
T Sangha,62,1428,1740.0,73,491,29,0,238.0,7.31,23.84,34.38,19.56
SK Trivedi,75,1515,1904.0,73,528,42,9,252.5,7.54,26.08,34.85,20.75
Imran Khan,62,1150,1391.0,73,518,41,3,191.7,7.26,19.05,45.04,15.75
CW Perchard,47,1074,1064.0,73,507,24,1,179.0,5.94,14.58,47.21,14.71
DR Tuffey,47,3161,2220.0,73,2157,68,27,526.8,4.21,30.41,68.24,43.3
Shoaib Bashir,19,4430,2799.0,72,2944,2,3,738.3,3.79,38.88,66.46,61.53
G Coetzee,44,1603,1931.0,72,865,80,5,267.2,7.23,26.82,53.96,22.26
LN Oluoch,62,1117,1326.0,72,545,73,6,186.2,7.12,18.42,48.79,15.51
JK Lalor,64,1317,1834.0,72,511,53,9,219.5,8.36,25.47,38.8,18.29
PM Seelaar,79,2163,2085.0,72,981,15,0,360.5,5.78,28.96,45.35,30.04
PWA Mulder,59,3033,2073.0,72,2045,60,55,505.5,4.1,28.79,67.42,42.12
TJ Murtagh,45,2304,1720.0,72,1467,31,1,384.0,4.48,23.89,63.67,32.0
NK Patel,56,1913,1551.0,72,1006,29,0,318.8,4.86,21.54,52.59,26.57
Q Abel,38,776,600.0,71,455,29,1,129.3,4.64,8.45,58.63,10.93
S Siegers,82,1710,1731.0,71,792,49,21,285.0,6.07,24.38,46.32,24.08
F Nsubuga,63,1291,999.0,71,784,7,1,215.2,4.64,14.07,60.73,18.18
Chan Ka Man,62,1247,891.0,71,698,15,3,207.8,4.29,12.55,55.97,17.56
Sadia Yousuf,54,1889,1572.0,71,953,25,1,314.8,4.99,22.14,50.45,26.61
A Ikuzwe,56,1044,833.0,71,608,55,2,174.0,4.79,11.73,58.24,14.7
Salman Irshad,53,1117,1704.0,71,359,50,5,186.2,9.15,24.0,32.14,15.73
JA Diergaardt,69,1202,1152.0,71,588,71,9,200.3,5.75,16.23,48.92,16.93
C Campher,90,2425,2524.0,71,1177,66,8,404.2,6.24,35.55,48.54,34.15
CJA Amini,82,2295,2036.0,71,1119,39,2,382.5,5.32,28.68,48.76,32.32
Syed Rasel,54,3140,2376.0,70,1985,39,54,523.3,4.54,33.94,63.22,44.86
SR Harmer,14,3135,1504.0,70,2347,0,1,522.5,2.88,21.49,74.86,44.79
Marufa Akter,79,2045,1843.0,70,1191,80,3,340.8,5.41,26.33,58.24,29.21
Anwar Ali,83,2019,2574.0,70,830,59,4,336.5,7.65,36.77,41.11,28.84
D Madushanka,45,1566,1795.0,70,802,77,10,261.0,6.88,25.64,51.21,22.37
D Maisuria,35,721,664.0,70,394,9,0,120.2,5.53,9.49,54.65,10.3
FJ Klaassen,56,1724,1738.0,70,906,74,11,287.3,6.05,24.83,52.55,24.63
TM Head,118,2647,2405.0,70,1267,29,1,441.2,5.45,34.36,47.87,37.81
Yasin Patel,54,1202,1198.0,70,594,35,0,200.3,5.98,17.11,49.42,17.17
RA Mair,72,2169,2079.0,69,1114,92,14,361.5,5.75,30.13,51.36,31.43
T Shadrack,52,1077,709.0,69,734,55,8,179.5,3.95,10.28,68.15,15.61
Muhammad Jawadullah,47,1331,1527.0,69,649,67,8,221.8,6.88,22.13,48.76,19.29
Gulsan Jha,77,1847,1940.0,69,917,98,6,307.8,6.3,28.12,49.65,26.77
S Kaul,60,1382,1944.0,69,481,24,7,230.3,8.44,28.17,34.8,20.03
J Maguire,66,1820,1682.0,69,996,80,3,303.3,5.55,24.38,54.73,26.38
SH Johnson,54,1241,1655.0,69,594,56,9,206.8,8.0,23.99,47.86,17.99
Simi Singh,61,1795,1644.0,69,847,23,1,299.2,5.5,23.83,47.19,26.01
Aqib Ilyas,62,1591,1409.0,69,770,18,0,265.2,5.31,20.42,48.4,23.06
Zaman Khan,54,1111,1577.0,69,403,76,15,185.2,8.52,22.86,36.27,16.1
Nur Dania Syuhada,68,1320,1119.0,68,653,30,2,220.0,5.09,16.46,49.47,19.41
Tanzim Hasan Sakib,51,1462,1746.0,68,715,54,6,243.7,7.17,25.68,48.91,21.5
SR Patil,51,1098,1326.0,68,464,25,2,183.0,7.25,19.5,42.26,16.15
JC Tongue,18,2745,1947.0,68,1864,22,19,457.5,4.26,28.63,67.91,40.37
