bowler,opponent,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Khullar,Switzerland,T20I,1,18,19.0,1,9,6.33,19.0,50.0
A King,Bangladesh,ODI,4,193,68.0,5,145,2.11,13.6,75.13
A King,Bangladesh,T20I,2,30,27.0,0,15,5.4,27.0,50.0
A King,Barbados,T20I,1,24,8.0,4,17,2.0,2.0,70.83
A King,England,ODI,11,566,418.0,24,301,4.43,17.42,53.18
A King,England,T20I,5,67,81.0,4,27,7.25,20.25,40.3
A King,England,Test,3,580,256.0,13,435,2.65,19.69,75.0
A King,India,ODI,15,619,556.0,20,286,5.39,27.8,46.2
A King,India,T20I,7,138,202.0,5,32,8.78,40.4,23.19
A King,India,Test,2,192,115.0,2,126,3.59,57.5,65.62
A King,Ireland,ODI,1,42,28.0,0,24,4.0,28.0,57.14
A King,Ireland,T20I,2,42,20.0,5,25,2.86,4.0,59.52
A King,Netherlands,T20I,1,6,10.0,0,2,10.0,10.0,33.33
A King,New Zealand,ODI,3,109,85.0,8,69,4.68,10.62,63.3
A King,New Zealand,T20I,4,66,86.0,3,17,7.82,28.67,25.76
A King,Pakistan,ODI,5,222,141.0,7,136,3.81,20.14,61.26
A King,Pakistan,T20I,6,90,70.0,8,45,4.67,8.75,50.0
A King,South Africa,ODI,5,177,124.0,15,108,4.2,8.27,61.02
A King,South Africa,T20I,2,30,32.0,2,14,6.4,16.0,46.67
A King,South Africa,Test,1,80,15.0,1,70,1.12,15.0,87.5
A King,Sri Lanka,T20I,1,24,22.0,0,11,5.5,22.0,45.83
A King,West Indies,ODI,7,312,179.0,12,199,3.44,14.92,63.78
A King,West Indies,T20I,3,60,55.0,5,36,5.5,11.0,60.0
A Kirschbaum,Bahamas,T20I,3,49,57.0,2,26,6.98,28.5,53.06
A Kirschbaum,Belize,T20I,2,48,37.0,4,26,4.62,9.25,54.17
A Kirschbaum,Bermuda,T20I,4,90,149.0,2,31,9.93,74.5,34.44
A Kirschbaum,Brazil,T20I,4,96,75.0,8,46,4.69,9.38,47.92
A Kirschbaum,Canada,T20I,1,13,21.0,1,7,9.69,21.0,53.85
A Kirschbaum,Cayman Islands,T20I,3,72,46.0,2,41,3.83,23.0,56.94
A Kirschbaum,Chile,T20I,1,6,2.0,0,5,2.0,2.0,83.33
A Kirschbaum,Mexico,T20I,5,84,55.0,8,52,3.93,6.88,61.9
A Kirschbaum,Panama,T20I,2,42,41.0,1,23,5.86,41.0,54.76
A Kirschbaum,Suriname,T20I,3,72,58.0,5,39,4.83,11.6,54.17
A Kirschbaum,United States of America,T20I,1,19,23.0,0,9,7.26,23.0,47.37
A Kohli,Austria,T20I,3,67,41.0,5,46,3.67,8.2,68.66
A Kohli,Brazil,T20I,1,25,21.0,2,15,5.04,10.5,60.0
A Kohli,Denmark,T20I,1,19,10.0,2,14,3.16,5.0,73.68
A Kohli,Finland,T20I,1,25,16.0,2,15,3.84,8.0,60.0
A Kohli,Greece,T20I,3,73,43.0,5,49,3.53,8.6,67.12
A Kohli,Ireland,T20I,2,24,43.0,0,3,10.75,43.0,12.5
A Kohli,Isle of Man,T20I,1,24,29.0,1,6,7.25,29.0,25.0
A Kohli,Italy,T20I,7,127,150.0,3,50,7.09,50.0,39.37
A Kohli,Jersey,T20I,4,89,57.0,5,54,3.84,11.4,60.67
A Kohli,Netherlands,T20I,2,40,88.0,1,6,13.2,88.0,15.0
A Kohli,Nigeria,T20I,1,19,16.0,4,12,5.05,4.0,63.16
A Kohli,Norway,T20I,1,25,22.0,2,15,5.28,11.0,60.0
A Kohli,Spain,T20I,1,25,19.0,2,10,4.56,9.5,40.0
A Kohli,Sweden,T20I,2,48,41.0,5,24,5.12,8.2,50.0
A Kohli,Switzerland,T20I,5,112,115.0,3,37,6.16,38.33,33.04
A Kohli,Uganda,T20I,1,24,27.0,0,12,6.75,27.0,50.0
A Konhu,Fiji,T20I,1,25,24.0,1,11,5.76,24.0,44.0
A Konhu,Vanuatu,T20I,1,12,16.0,0,4,8.0,16.0,33.33
A Kontopirakis,Ireland,T20I,1,6,11.0,0,1,11.0,11.0,16.67
A Kontopirakis,Nepal,T20I,1,18,14.0,1,10,4.67,14.0,55.56
A Kontopirakis,Netherlands,T20I,2,36,29.0,1,20,4.83,29.0,55.56
A Kontopirakis,Rwanda,T20I,1,6,7.0,0,3,7.0,7.0,50.0
A Kontopirakis,United States of America,T20I,1,6,11.0,0,2,11.0,11.0,33.33
A Kontopirakis,Vanuatu,T20I,2,31,32.0,1,13,6.19,32.0,41.94
A Krishna,Hong Kong,T20I,1,24,26.0,2,10,6.5,13.0,41.67
A Krishna,Jersey,T20I,1,22,45.0,1,7,12.27,45.0,31.82
A Krishna,Malaysia,T20I,4,80,100.0,10,31,7.5,10.0,38.75
A Krishna,Nepal,T20I,3,51,87.0,2,13,10.24,43.5,25.49
A Krishna,Oman,T20I,1,6,15.0,0,1,15.0,15.0,16.67
A Krishna,Qatar,T20I,1,18,40.0,0,5,13.33,40.0,27.78
A Krishna,Thailand,T20I,1,24,19.0,2,12,4.75,9.5,50.0
A Krishna,United States of America,T20I,1,12,18.0,0,2,9.0,18.0,16.67
A Krishna,Zimbabwe,T20I,1,24,31.0,1,10,7.75,31.0,41.67
A Kshirsagar,Croatia,T20I,2,24,32.0,0,8,8.0,32.0,33.33
A Kshirsagar,Gibraltar,T20I,2,50,64.0,3,22,7.68,21.33,44.0
A Kumble,Africa XI,ODI,1,60,39.0,1,33,3.9,39.0,55.0
A Kumble,Australia,ODI,7,356,284.0,6,186,4.79,47.33,52.25
A Kumble,Australia,Test,9,2790,1530.0,55,1940,3.29,27.82,69.53
A Kumble,Bangladesh,Test,2,312,191.0,10,234,3.67,19.1,75.0
A Kumble,Bermuda,ODI,1,56,38.0,3,41,4.07,12.67,73.21
A Kumble,Chennai Super Kings,IPL,6,144,113.0,7,66,4.71,16.14,45.83
A Kumble,Deccan Chargers,IPL,8,190,239.0,13,77,7.55,18.38,40.53
A Kumble,Delhi Daredevils,IPL,5,120,127.0,5,41,6.35,25.4,34.17
A Kumble,England,ODI,3,161,139.0,1,78,5.18,139.0,48.45
A Kumble,England,Test,6,1844,892.0,26,1387,2.9,34.31,75.22
A Kumble,Kings XI Punjab,IPL,6,141,189.0,4,50,8.04,47.25,35.46
A Kumble,Kolkata Knight Riders,IPL,5,114,101.0,5,62,5.32,20.2,54.39
A Kumble,Mumbai Indians,IPL,6,134,181.0,3,40,8.1,60.33,29.85
A Kumble,Netherlands,ODI,1,61,32.0,4,46,3.15,8.0,75.41
A Kumble,New Zealand,ODI,3,146,90.0,5,94,3.7,18.0,64.38
A Kumble,New Zealand,Test,1,396,181.0,3,297,2.74,60.33,75.0
A Kumble,Pakistan,ODI,3,158,137.0,5,84,5.2,27.4,53.16
A Kumble,Pakistan,Test,6,1810,999.0,32,1341,3.31,31.22,74.09
A Kumble,Rajasthan Royals,IPL,6,127,108.0,12,61,5.1,9.0,48.03
A Kumble,South Africa,ODI,3,162,99.0,3,94,3.67,33.0,58.02
A Kumble,South Africa,Test,7,2237,928.0,29,1716,2.49,32.0,76.71
A Kumble,Sri Lanka,ODI,2,120,110.0,0,51,5.5,110.0,42.5
A Kumble,Sri Lanka,Test,4,1175,576.0,15,856,2.94,38.4,72.85
A Kumble,West Indies,ODI,2,102,94.0,3,57,5.53,31.33,55.88
A Kumble,West Indies,Test,4,1368,658.0,23,1049,2.89,28.61,76.68
A Kumble,Zimbabwe,ODI,2,120,82.0,1,67,4.1,82.0,55.83
A Kumble,Zimbabwe,Test,1,236,114.0,3,184,2.9,38.0,77.97
A Kuthalingham,Costa Rica,T20I,1,12,6.0,0,7,3.0,6.0,58.33
A Kuthalingham,Mexico,T20I,1,18,18.0,1,7,6.0,18.0,38.89
A Lazic,Cyprus,T20I,1,6,13.0,0,0,13.0,13.0,0.0
A Lazic,Luxembourg,T20I,1,7,16.0,0,1,13.71,16.0,14.29
A Lazic,Slovenia,T20I,1,6,16.0,0,0,16.0,16.0,0.0
A Le Ray,Jersey,T20I,2,43,47.0,4,22,6.56,11.75,51.16
