bowler,format,cluster,wickets,economy,average,dot_pct
MG Neser,BBL,0,115,8.43,24.2,38.41
R Rampaul,ODI,1,115,5.09,26.43,57.32
HK Matthews,ODI,1,115,4.36,24.24,57.8
RJ Harris,Test,5,114,2.77,23.32,79.29
Karan KC,T20I,0,114,7.77,18.47,46.83
SE Bond,ODI,1,113,4.18,20.44,65.63
Vaishnave Mahesh,T20I,7,113,4.8,10.88,56.42
AC Kerr,T20I,0,113,6.07,18.33,39.62
Kuldeep Yadav,IPL,0,113,8.29,27.7,30.86
Junaid Khan,ODI,1,113,5.39,27.74,56.34
FH Edwards,Test,5,112,3.72,37.6,69.8
CH Gayle,ODI,6,112,4.76,31.29,47.04
CV Varun,IPL,0,112,7.64,23.53,37.83
Faheem Ashraf,PSL,0,111,8.72,22.9,35.89
MRJ Watt,ODI,1,111,4.23,25.41,58.01
ST Finn,ODI,1,111,5.05,26.99,59.16
N Boochatham,T20I,7,110,4.47,10.65,58.8
WD Parnell,ODI,1,110,5.58,27.36,54.15
Pavandeep Singh,T20I,7,110,5.86,16.28,52.97
Abdul Razzaq,ODI,1,110,4.84,32.72,56.45
Mohammad Amir,PSL,0,110,7.75,24.09,42.61
RAS Lakmal,ODI,1,110,5.5,31.3,55.96
R Ngarava,T20I,0,110,7.2,19.32,48.59
Hasan Ali,ODI,1,109,5.81,28.29,51.44
L Ngidi,ODI,1,109,5.81,28.87,54.51
J Goswami,ODI,1,109,3.77,19.34,67.22
GD McGrath,ODI,1,109,3.82,18.9,67.05
NT Ellis,BBL,0,109,8.22,22.39,33.37
MT Steketee,BBL,0,108,8.88,22.19,40.02
LMM Tahuhu,ODI,1,108,4.69,24.3,61.49
SR Watson,IPL,0,107,7.88,25.07,41.63
AD Russell,CPL,0,107,8.87,23.89,36.26
KH Pandya,IPL,0,107,7.58,31.03,32.41
CBRLS Kumara,Test,5,107,3.86,35.04,68.23
CH Morris,IPL,0,107,8.0,21.58,40.9
GP Swann,ODI,1,107,4.59,26.18,50.49
Nauman Ali,Test,1,106,3.07,23.91,71.36
Bilal Khan,T20I,0,106,6.83,15.96,48.35
SM Sharif,ODI,1,106,4.87,26.31,58.32
Mohammad Abbas,Test,5,106,2.5,23.07,80.61
AB Agarkar,ODI,1,106,4.96,25.65,60.93
JP Faulkner,ODI,1,106,5.55,27.57,48.7
DW Steyn,IPL,0,105,6.92,24.03,48.61
Taskin Ahmed,ODI,1,105,5.42,30.52,55.89
ST Jayasuriya,ODI,1,105,4.77,30.32,46.74
CJ McKay,ODI,1,105,4.82,22.34,59.14
SN Netravalkar,ODI,1,105,3.89,20.06,64.15
H Ssenyondo,T20I,7,105,5.34,13.74,49.48
DJ Willey,ODI,1,105,5.49,27.65,54.74
SO Ngoche,T20I,0,104,6.17,16.03,47.81
Shoaib Akhtar,ODI,1,104,4.93,27.3,60.39
ASS Fletcher,T20I,0,104,6.21,18.84,40.41
P Utseya,ODI,6,104,4.66,45.89,50.54
Taskin Ahmed,T20I,0,104,7.74,20.99,45.78
SNJ O'Keefe,BBL,0,103,6.59,21.37,36.33
Aizaz Khan,T20I,0,103,7.76,19.25,39.92
Junaid Siddique,T20I,0,103,7.85,18.83,42.48
PWH de Silva,ODI,1,102,5.16,24.34,51.33
