striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
HT Tector,T20I,521,41.56,131.41500000000002,25.36,119.91,136.7,On Fire
HT Tector,Test,118,12.835,41.98,25.44,44.47,72.4,Average
HTRY Thornton,BBL,12,12.0,200.0,14.0,91.8,151.8,On Fire
HV Patel,IPL,31,7.75,95.94,9.33,117.65,82.3,Average
HWA Landheer,T20I,26,6.5,65.83,6.27,74.19,96.2,Good
HWR Cartwright,BBL,154,25.67,133.77499999999998,27.53,124.89,100.2,Good
Habeeba Bader,T20I,63,10.5,54.31,12.0,59.15,89.7,Good
Habib Khan,T20I,237,21.7,130.22,20.81,121.73,105.6,Good
Hadia Siddiqui,T20I,3,1.5,18.75,1.5,18.75,100.0,Good
Hadisullah Tarakhel,T20I,66,22.0,173.68,16.17,159.02,122.6,On Fire
Haider Ali,ODI,25,8.5,27.62,13.4,54.03,57.3,Poor
Haider Ali,PSL,180,14.085,137.32,20.19,136.35,85.2,Good
Haider Ali,T20I,45,4.415,88.86500000000001,15.22,124.55,50.2,Poor
Hailey Wong,T20I,1,1.0,33.33,1.0,33.33,100.0,Good
Hamayun Altaf,PSL,16,16.0,123.08,16.0,123.08,100.0,Good
Hamid Mahmood,T20I,62,22.335,102.695,30.0,106.01,85.7,Good
Hamid Safi,T20I,170,16.145,128.0,15.45,132.81,100.4,Good
Hammad Azam,PSL,16,8.0,88.89,11.0,97.35,82.0,Average
Hammad Mirza,ODI,585,52.5,77.88499999999999,42.87,76.0,112.5,On Fire
Hammad Mirza,T20I,331,18.875,103.18,19.67,107.76,95.9,Good
Hammadullah Shinwari,T20I,9,2.25,60.0,2.25,60.0,100.0,Good
Hamza Dar,T20I,106,106.0,302.86,33.47,145.93,262.1,On Fire
Hamza Khan,T20I,587,66.69,135.965,35.58,118.94,150.9,On Fire
Hamza Riaz,T20I,0,0.0,0.0,0.0,0.0,0.0,
Hardeep Singh,T20I,4,4.0,400.0,4.0,400.0,100.0,Good
Haris Rauf,BBL,4,1.33,66.67,3.5,72.41,65.0,Average
Haris Rauf,ODI,34,4.625,60.95,7.43,73.76,72.4,Average
Haris Rauf,PSL,29,4.835,59.765,7.06,100.84,63.9,Average
Haris Rauf,T20I,22,11.0,68.75,8.38,104.81,98.4,Good
Harmeet Singh,ODI,177,15.02,84.375,19.67,99.66,80.5,Average
Harmeet Singh,T20I,7,2.33,87.5,16.13,145.78,37.2,Poor
Harper Chalmers,T20I,39,13.0,44.83,13.0,44.83,100.0,Good
Harpreet Brar,IPL,16,8.0,125.645,19.15,120.87,72.9,Average
Harpreet Singh,ODI,211,42.2,98.14,42.2,98.14,100.0,Good
Harpreet Singh,T20I,3,1.5,30.0,1.5,30.0,100.0,Good
Harry Johnson,T20I,1,1.0,100.0,1.0,100.0,100.0,Good
Harsh Dubey,IPL,13,6.5,144.44,6.5,144.44,100.0,Good
Harshit Rana,IPL,57,11.4,107.55,8.43,105.36,118.7,On Fire
Harshit Rana,ODI,124,24.085,123.345,24.8,121.57,99.3,Good
Harshit Rana,T20I,101,15.785,111.535,11.22,110.99,120.6,On Fire
Hasan Ali,BBL,26,13.0,138.33499999999998,13.0,136.84,100.5,Good
Hasan Ali,ODI,0,0.0,0.0,13.46,115.29,0.0,
Hasan Ali,PSL,89,14.829999999999998,161.32,10.97,139.34,125.5,On Fire
Hasan Ali,T20I,18,9.0,105.88,12.25,170.93,67.7,Average
Hasan Ali,Test,25,3.125,20.835,11.97,68.98,28.2,Poor
