striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
A Adekunle,T20I,112,9.25,65.97,9.15,65.75,100.7,Good
A Aikenhead,T20I,131,26.165,94.39500000000001,16.21,90.44,132.9,On Fire
A Aitken-Drummond,ODI,45,11.25,69.23,11.14,70.27,99.8,Good
A Akhigbe,T20I,14,2.0,31.695,7.17,63.7,38.8,Poor
A Akurut,T20I,10,10.0,200.0,3.5,53.85,328.6,On Fire
A Alexander,T20I,49,16.33,163.33,16.33,163.33,100.0,Good
A Alfonso,T20I,18,2.55,58.93000000000001,3.44,43.66,104.6,Good
A Amburose,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Amuzu,T20I,7,7.0,30.43,7.0,30.43,100.0,Good
A Argyropoulou,T20I,158,13.165,65.45,13.33,69.83,96.2,Good
A Athanaze,CPL,65,21.67,104.84,24.06,106.51,94.2,Good
A Athanaze,ODI,99,24.75,63.06,23.82,77.14,92.8,Good
A Athanaze,T20I,251,25.1,131.41,25.08,129.37,100.8,Good
A Athanaze,Test,221,18.42,50.46,23.67,52.35,87.1,Good
A Augastin,T20I,315,45.695,124.205,28.64,120.23,131.4,On Fire
A Awasthi,T20I,8,4.0,28.57,4.0,28.57,100.0,Good
A Badoni,IPL,544,27.2,150.33999999999997,25.61,140.91,106.5,Good
A Balbirnie,ODI,190,38.0,71.16,33.27,75.37,104.3,Good
A Balbirnie,Test,174,19.0,57.8,19.5,50.12,106.4,Good
A Beresford-Peirse,T20I,12,4.0,40.0,4.0,40.0,100.0,Good
A Bierwisch,T20I,24,24.0,88.89,11.25,55.33,187.0,On Fire
A Bosch,ODI,139,26.715,80.105,21.48,76.83,114.3,On Fire
A Bosch,T20I,25,8.33,100.0,24.61,109.36,62.6,Average
A Brown-Carrera,T20I,5,1.67,27.78,7.2,65.45,32.8,Poor
A Bushell,T20I,22,11.0,106.35,13.5,87.1,101.8,Good
A Busing-Volschenk,ODI,2,2.0,9.52,2.0,9.52,100.0,Good
A Busing-Volschenk,T20I,213,31.7,151.55,30.43,142.0,105.4,Good
A Canning,ODI,45,7.5,63.38,7.2,58.06,106.7,Good
A Canning,T20I,30,4.5,86.25,5.2,85.71,93.6,Good
A Capsey,ODI,249,31.775,85.53999999999999,21.42,77.76,129.2,On Fire
A Capsey,T20I,352,18.935,107.48500000000001,22.89,121.88,85.5,Good
A Capsey,Test,30,15.0,62.5,15.0,62.5,100.0,Good
A Capsey,WPL,16,16.0,88.89,28.93,133.66,60.9,Average
A Chandel,T20I,122,11.665,90.2,14.67,66.92,107.2,Good
A Chenthamara,T20I,3,1.5,13.635,3.0,25.0,52.3,Poor
A Cheung,T20I,11,3.67,68.75,3.67,68.75,100.0,Good
A Chilia,T20I,37,3.825,42.455,7.71,57.21,61.9,Average
A Curavic,T20I,1,0.5,25.0,0.5,20.0,112.5,On Fire
A Dalzell,ODI,22,11.0,115.28,17.33,65.82,119.3,On Fire
A Dalzell,T20I,37,6.17,82.22,6.17,82.22,100.0,Good
A Davidson Soler,T20I,2,2.0,100.0,18.4,110.84,50.5,Poor
A Davidson-Soler,T20I,36,9.0,70.59,10.0,76.92,90.9,Good
A Dcosta,T20I,81,8.17,66.56,7.53,73.86,99.3,Good
A Dercksen,ODI,681,46.989999999999995,95.235,37.55,91.59,114.6,On Fire
A Dercksen,T20I,385,29.32,125.845,23.0,120.29,116.0,On Fire
A Dhabe,T20I,77,27.835,85.965,19.25,86.52,122.0,On Fire
A Dirannehelage,T20I,100,32.375,65.885,20.0,62.11,134.0,On Fire
A Dizija,T20I,200,24.915,104.645,21.73,105.81,106.8,Good
A Djordjevic,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Donovan,T20I,423,36.69,123.205,38.64,137.99,92.1,Good
A Dowling,T20I,1,1.0,16.67,3.0,33.33,41.7,Poor
A Dutt,ODI,26,3.835,46.36,7.06,58.71,66.6,Average
A Dutt,T20I,101,16.83,122.13,12.36,106.25,125.6,On Fire
A Emch,T20I,17,17.0,94.44,17.0,85.0,105.6,Good
A Ferguson,T20I,67,17.0,94.22999999999999,27.59,93.8,81.0,Average
A Fillie,T20I,3,1.0,23.08,1.0,23.08,100.0,Good
A Fujikawa,T20I,58,28.75,50.245,11.83,65.14,160.1,On Fire
A Galan,T20I,47,4.915,37.625,4.41,40.54,102.1,Good
A Gardner,ODI,575,36.945,104.61,32.73,108.09,104.8,Good
A Gardner,T20I,222,31.71,148.0,24.82,130.1,120.8,On Fire
A Gardner,Test,45,22.5,34.305,29.64,57.8,67.6,Average
A Gardner,WPL,487,28.744999999999997,153.025,25.34,141.78,110.7,On Fire
A Gbla,T20I,123,8.0,88.44,11.68,105.48,76.2,Average
A Griffin,T20I,15,3.165,40.055,3.0,39.47,103.5,Good
A Gulati,T20I,6,6.0,150.0,6.0,150.0,100.0,Good
A Gupta,T20I,6,3.0,83.33500000000001,6.0,75.0,80.6,Average
A Gurung,T20I,21,2.415,55.99,3.63,57.5,82.0,Average
A Halbhavi,T20I,17,4.25,89.47,12.33,106.94,59.1,Poor
A Harris,T20I,16,3.2,69.57,3.57,69.44,94.9,Good
A Hartley,T20I,129,32.25,101.57,38.6,97.97,93.6,Good
A Hlubi,ODI,5,2.5,60.0,5.0,46.88,89.0,Good
A Hunter,ODI,547,51.83,90.69,33.08,86.53,130.7,On Fire
A Hunter,T20I,650,32.1,118.805,30.46,113.92,104.8,Good
A Husain,T20I,5,2.5,25.0,16.0,66.67,26.6,Poor
A Ikuzwe,T20I,270,15.61,84.78,12.82,75.98,116.7,On Fire
A Ilahi,T20I,1,0.5,12.5,0.5,12.5,100.0,Good
A Ilaoa,T20I,20,6.67,95.24,5.83,100.0,104.8,Good
A Johnmary,T20I,11,5.5,100.0,6.33,76.0,109.2,Good
A Johnson,T20I,48,9.6,96.0,31.38,147.25,47.9,Poor
A Kamboj,IPL,72,32.5,134.65,24.67,142.31,113.2,On Fire
A Kamboj,Test,0,0.0,0.0,0.0,0.0,0.0,
A Kano,T20I,61,10.17,70.11,10.04,71.5,99.7,Good
A Kanogullari,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Kanukuntla,T20I,123,14.08,60.57,13.67,54.42,107.2,Good
A Kanwal,T20I,1,1.0,11.11,1.0,11.11,100.0,Good
A Kato-Stafford,T20I,321,32.1,88.66999999999999,32.1,92.24,98.1,Good
A Katoa,T20I,31,10.33,46.27,10.33,46.27,100.0,Good
A Khaka,ODI,38,7.0,34.0,6.35,47.25,91.1,Good
A Khaka,T20I,22,7.33,70.97,9.17,63.22,96.1,Good
A Khakimov,T20I,19,6.33,31.67,6.33,31.67,100.0,Good
A Khasanov,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Khullar,T20I,4,1.33,18.18,1.33,18.18,100.0,Good
A King,ODI,133,24.1,116.08500000000001,21.07,99.33,115.6,On Fire
A King,T20I,12,6.0,95.83500000000001,13.0,90.7,75.9,Average
A King,Test,24,12.0,39.17,10.57,39.57,106.3,Good
A King,WPL,19,19.0,135.71,19.0,135.71,100.0,Good
A Kirschbaum,T20I,196,34.4,112.44,17.65,98.78,154.4,On Fire
A Kohli,T20I,57,7.4350000000000005,86.72,9.15,79.33,95.3,Good
A Kolan,T20I,100,20.0,109.89,16.69,80.42,128.2,On Fire
A Konhu,T20I,19,6.33,79.17,6.33,79.17,100.0,Good
A Kontopirakis,T20I,222,16.73,92.265,17.08,93.28,98.4,Good
A Kourkoulou,T20I,10,4.665,41.07,2.5,38.46,146.7,On Fire
A Kuthalingham,T20I,37,18.5,94.87,18.5,94.87,100.0,Good
A Lazic,T20I,2,2.0,66.67,2.0,66.67,100.0,Good
A Le Ray,T20I,3,3.0,33.33,3.0,33.33,100.0,Good
A Levaci,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Limdawala,T20I,376,12.559999999999999,72.125,16.52,90.04,78.1,Average
A Lister,ODI,133,44.33,94.33,30.43,84.86,128.4,On Fire
A Lister,T20I,277,14.075,102.315,16.37,117.11,86.7,Good
A Lumbe,T20I,101,11.9,52.7,12.62,48.56,101.4,Good
A Lupascu,T20I,2,2.0,22.22,2.0,22.22,100.0,Good
A Magdalenic,T20I,6,3.0,28.57,2.2,30.14,115.6,On Fire
A Makri,T20I,205,23.0,70.11500000000001,15.22,72.49,123.9,On Fire
A Manepalli,T20I,96,16.0,106.67,16.12,105.74,100.1,Good
A Manohar,IPL,61,12.2,100.0,15.37,124.26,79.9,Average
A Mansale,T20I,109,18.17,101.87,23.48,114.26,83.3,Average
A Mare,T20I,8,4.0,57.14,12.8,69.31,56.8,Poor
A Martel,T20I,32,8.0,103.94,11.12,108.54,83.9,Average
A Mazvishaya,ODI,20,6.75,74.7,14.8,51.39,95.5,Good
A Mazvishaya,T20I,27,27.0,55.1,22.5,58.44,107.1,Good
A McAuley,T20I,54,27.0,108.0,19.56,93.62,126.7,On Fire
A McKnight,T20I,67,33.5,90.54,33.5,90.54,100.0,Good
A Merritt,T20I,215,37.644999999999996,132.595,27.81,116.49,124.6,On Fire
A Mesarovic,T20I,80,80.0,115.94,56.67,129.77,115.3,On Fire
A Meyenborg,T20I,4,1.0,18.18,4.0,23.53,51.1,Poor
A Mhatre,IPL,441,37.245000000000005,183.43,36.75,183.75,100.6,Good
A Mohamed,T20I,34,17.0,59.65,11.27,73.81,115.8,On Fire
A Mokgotlhe,T20I,188,23.5,117.595,14.45,99.52,140.4,On Fire
A Mongar,T20I,11,3.5,45.0,5.0,46.88,83.0,Average
A Morris,T20I,16,16.0,45.71,7.5,44.78,157.7,On Fire
A Mossop,T20I,29,29.0,54.72,29.0,54.72,100.0,Good
A Motorwala,T20I,2,1.0,28.57,0.67,25.0,131.8,On Fire
A Mucyodusenge,T20I,11,3.67,45.83,3.67,45.83,100.0,Good
A Mundra,T20I,537,24.71,144.235,28.75,157.53,88.8,Good
A Munisar,ODI,9,1.5,10.975,2.6,20.0,56.3,Poor
A Musaev,T20I,17,8.5,70.83,8.5,70.83,100.0,Good
A Nagarajan,T20I,62,15.5,87.32,13.8,89.61,104.9,Good
A Nanda,T20I,12,12.0,171.43,10.17,98.39,146.1,On Fire
A Nao,T20I,49,24.5,100.0,26.25,112.9,91.0,Good
A Natubhai Ahir,T20I,83,20.75,118.61000000000001,14.68,96.42,132.2,On Fire
A Nookala,T20I,1,0.5,12.5,0.2,3.57,300.1,On Fire
A Nortje,IPL,0,0.0,0.0,8.17,98.0,0.0,
A Nortje,T20I,13,6.5,86.67,3.75,60.0,158.9,On Fire
A Ostergaard,T20I,154,22.335,75.61,15.17,76.15,123.3,On Fire
A Oxley,T20I,117,58.5,106.36,33.29,87.59,148.6,On Fire
A Parima,T20I,170,17.0,101.375,19.26,116.19,87.8,Good
A Patmore,T20I,171,19.165,87.925,15.83,87.96,110.5,On Fire
A Paul,T20I,11,5.5,90.91,12.5,80.65,78.4,Average
A Pavlickova,T20I,1,1.0,6.25,1.0,6.25,100.0,Good
A Perera,T20I,183,14.4,72.495,11.04,70.11,116.9,On Fire
A Phillip,Test,79,7.9,12.345,16.5,30.84,44.0,Poor
A Prashar,T20I,86,21.5,159.26,21.0,168.0,98.6,Good
A Prince,T20I,1,0.33,14.29,1.86,30.23,32.5,Poor
A Pusthay,T20I,151,13.71,87.305,16.54,94.3,87.7,Good
A Raghuvanshi,IPL,722,40.11,143.03,35.4,145.56,105.8,Good
A Rameshan,T20I,39,13.165,74.765,15.29,66.88,98.9,Good
A Randhawa,T20I,245,17.884999999999998,107.86500000000001,15.19,87.58,120.5,On Fire
A Rautela,T20I,10,5.0,27.03,5.0,27.03,100.0,Good
A Raza,T20I,206,13.605,134.54000000000002,13.5,146.25,96.4,Good
A Razmilic,T20I,2,0.335,9.09,0.33,9.52,98.5,Good
A Reddy,ODI,37,12.33,77.08,9.67,63.74,124.2,On Fire
A Reddy,T20I,75,21.25,154.89,8.88,103.65,194.4,On Fire
A Reddy,WPL,44,7.835,80.85499999999999,7.83,88.68,95.6,Good
A Reyes,T20I,29,14.5,125.0,12.0,85.25,133.7,On Fire
A Roy,ODI,21,21.0,77.78,21.0,77.78,100.0,Good
A Saifee,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Salomao,T20I,27,2.41,56.25,4.47,58.02,75.4,Average
A Saud,T20I,13,13.0,118.18,20.75,112.16,84.0,Average
A Savvani,T20I,91,8.875,55.745000000000005,9.07,53.12,101.4,Good
A Shahi,T20I,90,18.2,149.49,14.45,155.88,110.9,On Fire
A Sharafu,ODI,176,17.6,78.92,16.65,72.29,107.4,Good
A Sharafu,T20I,740,28.95,121.02499999999999,31.69,131.72,91.6,Good
A Sharma,ODI,461,38.5,82.17500000000001,24.5,77.78,131.4,On Fire
A Sharma,T20I,250,31.25,123.75,20.88,108.07,132.1,On Fire
A Shukla,T20I,11,5.25,110.0,4.42,62.35,147.6,On Fire
A Simelane,T20I,35,11.67,109.38,8.0,98.25,128.6,On Fire
A Soni,WPL,11,11.0,78.57,11.0,78.57,100.0,Good
A Sootaga,T20I,89,17.8,86.41,15.17,85.85,109.0,Good
A Stocks,T20I,70,10.0,46.98,10.93,56.88,87.0,Good
A Stoilova,T20I,6,1.335,17.03,1.2,16.67,106.7,Good
A Sutherland,ODI,328,35.69,97.24000000000001,39.33,93.16,97.6,Good
A Sutherland,T20I,134,16.75,140.75,13.35,140.53,112.8,On Fire
A Sutherland,Test,292,146.0,69.31,89.38,64.07,135.8,On Fire
A Sutherland,WPL,95,15.83,121.79,12.5,109.49,118.9,On Fire
A Suwanchonrathi,ODI,3,3.0,75.0,3.0,75.0,100.0,Good
A Suwanchonrathi,T20I,263,14.014999999999999,77.295,11.82,75.23,110.7,On Fire
A Taylor,T20I,22,8.085,28.33,5.29,33.94,118.2,On Fire
A Tector,T20I,51,12.75,89.47,12.75,89.47,100.0,Good
A Thorpe,T20I,18,3.6,47.37,3.6,47.37,100.0,Good
A Tomar,T20I,7,2.33,25.0,2.4,30.77,89.2,Good
A Tripathi,T20I,6,6.0,50.0,2.67,32.0,190.5,On Fire
A Turay,T20I,57,9.5,105.56,14.55,105.26,82.8,Average
A Turkmen,T20I,157,26.165,125.83500000000001,20.07,127.15,114.7,On Fire
A Vaidya,T20I,149,18.62,86.63,16.64,89.71,104.2,Good
A Vailoa,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Vala,T20I,173,21.625,103.75,25.6,117.68,86.3,Good
A Vessik,T20I,42,8.625,49.07,6.71,48.45,114.9,On Fire
A Vishwakarma,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Wichakam,T20I,0,0.0,0.0,0.0,0.0,0.0,
A Wright,T20I,7,1.75,41.18,2.6,38.24,87.5,Good
A Yon,T20I,20,5.0,60.61,16.45,113.84,41.8,Poor
A Zampa,BBL,14,4.67,107.69,8.09,91.75,87.5,Good
A Zampa,ODI,71,11.375,54.91,10.21,64.4,98.3,Good
A Zampa,PSL,1,1.0,16.67,1.0,16.67,100.0,Good
A Zampa,T20I,12,2.915,42.71,4.67,77.78,58.7,Poor
A Zimunu,ODI,97,17.25,71.595,11.56,72.73,123.8,On Fire
A Zimunu,T20I,83,10.665,100.91999999999999,13.83,76.85,104.2,Good
AA Alleyne,ODI,245,20.5,78.055,16.79,67.02,119.3,On Fire
AA Alleyne,T20I,43,10.75,88.045,11.72,90.14,94.7,Good
AA Banner,T20I,7,7.0,140.0,4.4,68.75,181.4,On Fire
AA Jangoo,CPL,185,46.25,113.5,20.88,95.98,169.9,On Fire
AA Jangoo,ODI,124,24.875,62.415000000000006,38.0,81.43,71.1,Average
AA Jangoo,T20I,160,40.0,126.98,40.0,126.98,100.0,Good
AA Jangoo,Test,297,40.875,57.055,49.5,59.76,89.0,Good
AA Jimoh,T20I,17,8.5,73.91,8.5,73.91,100.0,Good
AA Kawirawira,T20I,5,5.0,45.45,5.0,45.45,100.0,Good
AA Kulkarni,IPL,17,8.5,68.0,6.5,78.79,108.5,Good
AA Moiane,T20I,10,1.43,25.64,3.46,44.55,49.4,Poor
AA Navicha,T20I,140,26.25,162.10500000000002,21.83,111.02,133.1,On Fire
AA Rahayu,T20I,146,18.25,91.675,16.1,88.95,108.2,Good
AA Senn,T20I,284,18.35,84.35,18.93,87.38,96.7,Good
AA Wagh,T20I,25,8.33,96.15,8.33,96.15,100.0,Good
AAM Eliane,T20I,1,1.0,12.5,4.0,12.9,60.9,Average
AAP Atkinson,ODI,64,21.75,150.72,21.17,138.04,106.0,Good
AAP Atkinson,T20I,2,2.0,15.38,10.0,43.48,27.7,Poor
AAP Atkinson,Test,161,14.715,53.92,19.73,66.28,78.0,Average
AAP Rivero,T20I,70,19.335,143.795,11.71,88.65,163.7,On Fire
AAhan Achar,T20I,10,10.0,76.92,12.0,80.0,89.7,Good
AB Kamara,T20I,203,17.55,87.285,15.0,91.6,106.1,Good
AB Kaur,ODI,202,22.25,81.75999999999999,19.77,77.18,109.2,Good
AB Kaur,T20I,100,26.0,100.21000000000001,32.0,129.73,79.2,Average
AB Kaur,WPL,267,32.92,133.49,24.86,129.85,117.6,On Fire
AB Mengoumou,T20I,38,12.67,38.78,6.57,34.85,152.1,On Fire
AB Sharma,T20I,72,24.0,102.86,24.0,102.86,100.0,Good
AB Sharma,WPL,177,25.29,129.2,25.29,129.2,100.0,Good
AB Slebsager,T20I,58,27.25,75.04,14.75,85.51,136.3,On Fire
ABY Smith,T20I,163,12.54,57.19,16.81,68.97,78.8,Average
AC Agar,BBL,84,16.5,129.63,16.16,117.33,106.3,Good
AC Dei Castelli,T20I,11,11.0,137.5,11.0,137.5,100.0,Good
AC Douglas,T20I,21,5.25,75.0,19.72,134.47,41.2,Poor
AC Frame,T20I,1,1.0,33.33,1.0,33.33,100.0,Good
AC Jayangani,ODI,540,25.77,78.15,35.11,79.56,85.8,Good
AC Jayangani,T20I,666,35.67,128.79,29.26,118.49,115.3,On Fire
AC Kerr,ODI,548,40.769999999999996,79.145,38.13,78.06,104.2,Good
AC Kerr,T20I,753,60.535,134.615,30.13,118.58,157.2,On Fire
AC Kerr,WPL,147,17.55,102.13,26.89,119.67,75.3,Average
AC Sabino,T20I,175,11.725000000000001,88.24000000000001,12.0,82.19,102.5,Good
ACF Stokes,T20I,1,0.5,16.67,3.0,54.55,23.6,Poor
AD Diwan Ali,T20I,1,1.0,14.29,1.0,14.29,100.0,Good
AD Dore,T20I,117,19.5,109.35,17.64,107.18,106.3,Good
AD Hales,CPL,386,38.6,127.81,28.57,131.58,116.1,On Fire
AD Hales,PSL,88,44.0,237.84,28.82,145.08,158.3,On Fire
AD Mathews,Test,172,28.67,46.99,42.71,48.31,82.2,Average
AD Nath,ODI,73,24.33,76.84,24.33,76.84,100.0,Good
AD Nath,T20I,70,70.0,140.0,70.0,140.0,100.0,Good
AD Russell,CPL,89,14.83,153.45,26.85,170.14,72.7,Average
AD Russell,IPL,167,20.88,163.73,28.86,174.1,83.2,Average
AD Russell,T20I,59,19.67,159.46,23.66,165.23,89.8,Good
ADS Fletcher,CPL,310,31.0,129.17,29.58,123.86,104.5,Good
AE Isesele,T20I,35,7.0,70.0,9.31,92.37,75.5,Average
AE Jones,ODI,660,33.75,99.985,35.93,86.74,104.6,Good
AE Jones,T20I,279,15.025,115.1,21.17,123.29,82.2,Average
AE Jones,Test,115,28.75,53.395,17.29,55.06,131.6,On Fire
AE Jones,WPL,1,1.0,50.0,1.0,50.0,100.0,Good
AF Aoina,T20I,24,4.8,64.86,8.12,80.25,70.0,Average
AF Ifill,T20I,5,5.0,83.33,7.23,61.84,102.0,Good
AF Mapu,T20I,59,6.56,100.0,6.56,100.0,100.0,Good
AF Milne,IPL,2,2.0,100.0,5.0,80.65,82.0,Average
AF Milne,PSL,16,16.0,228.57,16.0,228.57,100.0,Good
AG Cremer,T20I,3,1.5,37.5,5.42,65.66,42.4,Poor
AGC Vimukthi,ODI,9,4.5,29.63,4.5,27.27,104.3,Good
AGS Gous,CPL,170,56.67,131.78,35.17,123.39,134.0,On Fire
AGS Gous,ODI,258,28.67,77.25,34.58,87.37,85.7,Good
AGS Gous,PSL,155,21.0,122.45,25.83,139.64,84.5,Average
AGS Gous,T20I,78,19.5,113.41999999999999,30.84,142.78,71.3,Average
AH Maqsood,ODI,8,4.0,57.14,3.33,42.55,127.2,On Fire
AH Maqsood,T20I,9,1.5,36.43,3.36,50.54,58.4,Poor
AI Chudasama,ODI,42,21.0,64.62,20.17,71.18,97.4,Good
AI Chudasama,T20I,223,19.13,92.965,16.53,91.51,108.7,Good
AI Ross,BBL,184,36.8,139.39,27.96,128.96,119.9,On Fire
AIV Benatar,T20I,96,96.0,124.68,38.67,81.4,200.7,On Fire
AJ Healy,ODI,693,59.614999999999995,116.595,38.32,101.28,135.3,On Fire
AJ Healy,Test,47,23.5,49.075,29.53,56.6,83.1,Average
AJ Hosein,BBL,10,10.0,71.43,14.29,119.05,65.0,Average
AJ Hosein,CPL,44,22.0,183.33,15.48,110.56,154.0,On Fire
AJ Hosein,IPL,5,5.0,166.67,21.0,161.54,63.5,Average
AJ Hosein,ODI,43,21.5,134.38,16.26,78.03,152.2,On Fire
AJ Hosein,PSL,13,13.0,108.33,21.33,119.63,75.8,Average
AJ Hosein,T20I,63,19.25,184.72000000000003,17.06,114.55,137.0,On Fire
AJ Mosca,T20I,226,25.915,126.275,33.69,130.19,87.0,Good
AJ Parmar,T20I,1,1.0,20.0,2.0,25.0,65.0,Average
AJ Prajapati,T20I,48,6.86,55.81,6.86,55.81,100.0,Good
AJ Turner,BBL,342,27.515,165.78,28.24,147.83,104.8,Good
AJ Turner,PSL,235,20.835,154.12,26.11,169.06,85.5,Good
AJ Tye,BBL,8,4.0,76.19,10.3,115.35,52.4,Poor
AK Bangura,T20I,14,2.8,19.72,2.8,19.72,100.0,Good
AK Gokoel,T20I,44,14.67,81.48,8.25,56.41,161.1,On Fire
AK Gonerara,T20I,20,6.67,47.62,4.0,43.48,138.1,On Fire
AK Maguire,ODI,21,10.5,107.14500000000001,7.17,79.63,140.5,On Fire
AK Maguire,T20I,8,2.335,58.335,2.5,43.48,113.8,On Fire
AK Markram,IPL,676,29.95,143.16500000000002,30.38,135.41,102.2,Good
AK Markram,ODI,368,36.8,102.51,36.8,97.8,102.4,Good
AK Markram,T20I,594,39.095,156.13,31.77,148.73,114.0,On Fire
AK Markram,Test,366,33.27,55.71,35.08,59.03,94.6,Good
AK Mohan,T20I,194,30.95,128.555,19.29,100.25,144.3,On Fire
AK Roger,T20I,4,2.0,23.53,2.2,22.45,97.9,Good
AK Sah,ODI,2,2.0,12.5,26.83,87.26,10.9,Poor
AK Sah,T20I,4,2.0,66.67,16.77,119.78,33.8,Poor
AK Yadav,T20I,26,6.5,63.41,6.5,63.41,100.0,Good
AL Mundundo,T20I,160,10.219999999999999,53.010000000000005,8.57,47.12,115.9,On Fire
AM Fernando,ODI,6,1.0,13.045,1.75,21.88,58.4,Poor
AM Fernando,Test,10,2.5,16.13,3.41,25.66,68.1,Average
AM Ghazanfar,CPL,1,1.0,20.0,1.0,20.0,100.0,Good
AM Ghazanfar,IPL,2,2.0,66.67,2.0,66.67,100.0,Good
AM Hardie,BBL,433,34.19,134.865,29.98,133.48,107.5,Good
AM Hardie,ODI,46,11.5,68.66,16.36,80.0,78.1,Average
AM Hardie,PSL,133,44.33,149.44,44.33,149.44,100.0,Good
AM Hardie,T20I,52,26.0,120.93,22.5,126.76,105.5,Good
AM Kamara,T20I,154,11.85,58.33,18.28,76.81,70.4,Average
AM Kimote,T20I,31,7.75,83.78,12.29,97.04,74.7,Average
AM Rahane,IPL,725,31.685000000000002,141.405,29.98,125.6,109.1,Good
AM Tribe,T20I,4,4.0,66.67,23.88,116.46,37.0,Poor
AM Zepeda,T20I,240,48.0,99.17,35.2,91.67,122.3,On Fire
AN Aminou,T20I,8,2.67,80.0,6.09,106.35,59.5,Poor
AN Davidson-Richards,ODI,104,52.0,92.86,40.0,84.21,120.1,On Fire
AN Kelly,ODI,129,14.33,102.38,15.63,66.56,122.7,On Fire
AN Kelly,T20I,50,6.665,197.825,8.14,92.75,147.6,On Fire
AN Lascu,T20I,333,29.189999999999998,154.04500000000002,30.8,139.58,102.6,Good
AN Toube,T20I,142,23.67,125.66,9.38,95.63,191.9,On Fire
AP Rajeevan,T20I,65,21.67,85.53,25.36,112.3,80.8,Average
AP Yadav,T20I,371,20.5,90.53999999999999,25.29,105.39,83.5,Average
AR Bisht,ODI,83,18.835,70.475,20.75,76.15,91.7,Good
AR Bisht,T20I,132,18.86,96.35,18.86,96.35,100.0,Good
AR Leo,T20I,22,5.5,42.31,9.44,63.91,62.2,Average
AR McBrine,ODI,70,70.0,118.64,23.2,76.03,228.9,On Fire
AR McBrine,Test,270,61.4,58.94,38.88,55.09,132.5,On Fire
AR Naidoo,T20I,301,60.045,120.93,27.2,103.23,168.9,On Fire
AR Nair,T20I,0,0.0,0.0,1.0,50.0,0.0,
AR Nedd,CPL,2,2.0,50.0,5.5,73.33,52.3,Poor
AR Odedara,ODI,117,16.1,50.615,27.0,52.37,78.1,Average
AR Odedara,T20I,17,3.165,57.0,5.62,71.43,68.1,Average
AR Patel,IPL,436,21.015,144.275,21.1,133.74,103.7,Good
AR Patel,ODI,350,31.11,94.205,22.39,92.26,120.5,On Fire
AR Patel,T20I,252,13.614999999999998,108.005,17.16,129.7,81.3,Average
AR Patel,Test,42,21.0,67.74,34.4,53.05,94.4,Good
AR Patwa,T20I,131,26.2,139.36,25.02,121.16,109.9,Good
AR Poulter,T20I,2,2.0,33.33,2.0,33.33,100.0,Good
AR Puri,T20I,19,9.5,51.35,5.12,53.25,141.0,On Fire
AR Ramjani,T20I,114,22.8,134.12,24.03,132.09,98.2,Good
AR Valdez,T20I,215,18.335,85.13,19.29,78.49,101.8,Good
ARH Patel,T20I,0,0.0,0.0,0.0,0.0,0.0,
AS Broomfield,T20I,8,4.0,30.77,4.0,30.77,100.0,Good
AS Gorad,T20I,148,13.84,94.63,12.5,65.15,128.0,On Fire
AS Hundal,T20I,0,0.0,0.0,0.0,0.0,0.0,
AS Joseph,CPL,38,12.67,115.15,15.0,112.03,93.6,Good
AS Joseph,ODI,80,10.71,82.275,15.42,75.51,89.2,Good
AS Joseph,PSL,64,13.415,128.81,12.8,125.49,103.7,Good
AS Joseph,T20I,8,8.0,88.89,16.12,103.2,67.9,Average
AS Joseph,Test,103,20.0,69.16499999999999,12.56,57.39,139.9,On Fire
AS Kumaran,T20I,6,3.0,100.0,3.0,100.0,100.0,Good
AS Miranda,T20I,25,3.12,27.78,3.11,28.87,98.3,Good
AS Qwele,T20I,112,8.25,64.545,7.35,65.33,105.5,Good
AS Roy,IPL,52,5.2,66.665,8.67,121.88,57.3,Poor
AS Samra,T20I,317,25.645,140.74,31.58,136.99,92.0,Good
AS Wikman,T20I,175,25.0,123.24,25.0,123.24,100.0,Good
ASF Sirah,T20I,208,15.25,107.06,17.92,120.73,86.9,Good
ASH Parsons,T20I,19,3.5,39.61,3.8,37.25,99.2,Good
ASS Fletcher,ODI,119,12.75,80.545,10.94,70.74,115.2,On Fire
ASS Fletcher,T20I,13,3.25,81.25,7.69,85.77,68.5,Average
AT Carey,BBL,149,24.835,173.33499999999998,31.52,131.18,105.5,Good
AT Carey,ODI,373,27.905,84.315,32.65,89.46,89.9,Good
AT Carey,T20I,34,11.33,121.43,10.68,109.88,108.3,Good
AT Carey,Test,799,39.97,77.97,35.89,65.15,115.5,On Fire
AT Nidamanuru,ODI,180,22.5,84.91,26.26,91.5,89.2,Good
AT Nidamanuru,T20I,94,15.67,101.08,13.56,108.44,104.4,Good
ATS Silva,ODI,1,1.0,100.0,1.0,100.0,100.0,Good
ATS Silva,T20I,8,2.0,18.18,2.67,33.33,64.7,Average
